,NFIX,KMT2A,TCF4,SMAD3,TEAD1,ZEB1,LMX1B,CUX1,SIX1,RORB,RARB,SOX11,FOXO3,TBX15,CREB1,EGR1,SP100,EHF,TCF12,SOX9,FOS,MEIS2,ESR1,TCF7L2,ASCL1,JUNB,NFKB1,ZBTB18,HSF2,ZBTB7A,NR3C2,GRHL2,JUN,PROX1,NCAM1,ETS1,PRDM16,NFIA,RORA,SIX4,NFIB,CUX2,STAT1,NFATC2,PBX1,REST,ZBTB20,ICAM1,RUNX1,PPARG,EPCAM,CD44,PKNOX2,JUND
TCF12,,,,,,10.490142863888627,,,,,,,,27.214846794158426,,27.844122973617548,,,,,-22.92594975105338,,,,,-15.305286554845297,,,,,,,-13.985896679660442,,,,,,,,,,,10.396128657621574,,,,,,,,,,16.60123609253484
SOX9,,,,,,,,,,,,,,,,,,,,0.7370604138691879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOS,,,,,,10.96750327813778,,,,,9.692042603758136,,-27.027294410257692,,,,7.295513521116773,,,,,,,,,,,-23.59403309411919,-16.31887622783289,-14.015625297334651,,,,,,,10.011909000505819,,,,,,,,,,,,,,,,,
MEIS2,,,31.27285029226581,,,28.344102856217116,,,,,,,-13.070539407656963,,,43.58638814176363,,-28.665378361714495,,,,,,-26.61761535711052,,,,11.218126597949567,,,,,,,,,,,,,,,-8.445755399377251,,,-49.272421580700104,,,,,,,,
ESR1,,,,,5.821364619827481,,,,,,,,18.41777050328506,,3.9983314171890565,-15.615683077578318,,,,,-1.4610600033101986,,,,,,,,,,,,3.929009093800003,,,,,32.31811183949073,,,,,,,,,,,,,,,,14.052068200985666
TCF7L2,7.43470533241104,,,,-1.9684358278037792,,,,,,,,,-1.8882252775443484,,,,,,,,,,,,,,,,,,,,-4.127573635410661,,,,7.950782574146533,,,,,,,,,,,,5.490015938543599,,,,
ASCL1,,,30.671265815914314,,,,,,,,,,,,,19.6248475413275,,,,,-12.279930345519672,,,,,-2.1743970224358264,,14.811781475647164,,,,,,,,,,,,,,,17.719691037060546,29.3928253732125,,,,,,-9.83788125307183,,,,
JUNB,,,-6.577306841920001,,-9.216532419819757,6.71700836077543,,,,-4.372931342862528,,,,,,21.681046612171656,,,,,,,,,,,,,,,,,,-3.322513893083329,,,,,-11.3317443080811,,,,,,,,,,,,,,,
NFKB1,,,,,,,,,,,,,16.976772242384794,,,,,,,,-12.824367777958402,,7.913643147618691,,,2.8354400021265325,,,,,,,,17.80339888114016,,,,,,,,,,,,,,,,,,,11.152147761614529,12.868640794259125
ZBTB18,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7345362820280877,,,,,,,,,,,,,,,,,,,,,,,,,,
HSF2,,,,,14.276113369448115,,,,,30.726441502147846,,,,,,25.31516538709034,,,,,-14.449279571894039,,,,,-4.913475956489051,,,,,,,-13.65314157266242,,,,,,20.350057345575358,,,,1.204899073921887,,,,,,,,,,,
ZBTB7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7303636384328371,,,,,,,,,,,,,,,,,,,,,,,,
NR3C2,,,,,,,,,,1.589926288332402,,,,0.9083767686028283,,,,,,,,,,,,,,,,,,,,,,,,,0.6070243413477281,,,,,,,,,,,,,,,
GRHL2,,,,-1.8189281196377634,,-4.279863409301252,,,,26.326346420611458,,,,,,,21.40796100671773,,,,-14.36540016604495,,,,,-1.2212200176712056,,,,,,,,,,,19.961658006724353,,39.58650509636525,,,,,,,,,,,,,,,
JUN,,,,12.933606280690281,,12.123039361167246,,,,,,,-27.055064619942073,,,2.337357863233847,,-2.285726043533479,,,,-13.76261227323703,,20.50384456124891,,,,,,,,,,,,-29.942108283101973,,,,,,,,,,,,,,,,,,
PROX1,,,,,,,,,,,,,13.06795140905307,,,,,,,,,18.345056483451774,,-13.74078635560711,29.091036739923904,,,,,,,,-15.751887496186923,,,,,,,,,,16.478124257987062,16.5676647764569,,,,,,,,,21.701713138356414,
NCAM1,,,8.449276507107989,,6.096105766013588,,,-3.9521680781731163,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.743667491493973,,,,,,,,,,-7.3397821911297685,,,,-4.504407484471083,,,,
ETS1,,,24.089436862408483,,,,,,,23.751272073480425,,,,,,,,,,,-19.44191949539334,,,-4.636552829862003,,-4.259461405482267,,,,,,,,,,,,,27.055978199513298,,,,,,,,,,,-4.139005326292725,,,,15.670031291615778
PRDM16,,,,,,-12.10116753622849,,,,-23.422492511453463,,,,,,-13.671857068757772,,9.445947170124194,,,,,,,,,,,,,,,15.211905943050887,,,,,29.027653399880236,-14.771408813954555,,,,23.096113100595026,,,,,,,,,,,
NFIA,,,,,,,,,,-1.117653904274109,,,,,,-0.834775031350993,,,,,-2.570701772277463,-12.466768426696886,,,,-5.928327611694791,,,,,,,,,,,,,7.715728140830087,,,,,,,,,,,,,,,24.965593919882018
RORA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7806655860104149,,,,,,,,,,,,,,,
SIX4,,,42.160008583375834,-5.181688861023845,,-5.616334541841192,,,,,,,,,,13.399548154285863,,,,,,6.103452467042471,,-17.12800990952113,,,,,,,,,,,,,,30.05660896762397,,,,,,13.672409550131313,,,,,,,,,,
NFIB,,,,-15.469997671873694,,,,,,,,,11.544178698574278,,,,,,,,,,,-4.0344412108483745,,,,16.551965928816877,,,,,-13.66672621757829,,,,,,,,,,18.153351133355518,,9.17836635239761,,,,,,,,,
CUX2,,,,,,13.959740792712523,,,,31.24218413581263,,,,,,24.7474390023918,,,,,-1.8873286962392233,,,,,,,17.009678599979328,,-6.944511338008443,,,,,,,,,18.192890104064126,,,,,,,,,,,,,,,4.415729322679134
STAT1,,,,,,-2.371258141032186,,,,,,,,,,,,14.060610765351555,,,-7.154230529537096,,,3.723561669345691,,-5.612999395155089,,,,,,,-14.21517649959388,,,,,32.8406010432221,,,,,,,,,,,,,,,,30.734970370607382
NFATC2,,,,-21.487314566168642,,18.959235590073234,,,,,,,,,,25.27832436128419,,,,,-3.911048132271969,,,,21.383406435835138,5.100816364505057,,,,,,,-13.26899562052739,,,,,,,,,,,,,,,,,,,,,-14.028596783601124
PBX1,,,,,15.134604283338346,,,-0.35391261349501524,,,,,,,,,,,,,1.241045354987918,,,,,-1.975423195855,,,,,,,,,,,6.557603224499351,,,,,3.437582702181329,,,,,,,,,,,,4.771727774906731
REST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7111206557299512,,,,,,,,
ZBTB20,,,45.94337129916183,,,5.840293662171332,,,,,,,,,,,,10.210224152282189,,,-12.374465288270029,,,-4.7878577554016015,,7.203596078061239,,,,,,,-24.26213138849121,,,,,,,,,,,,,,,,,,,,,38.92706464288313
ICAM1,,,-1.3652791063672745,,,,,,,,,,,,,-0.5232261154341055,,,,4.987503913378226,,,,,,,1.2373801106474969,,,,,,,,,,,,,,,,,,,,,,6.5353076349131145,,,,,
RUNX1,,,8.995015701322426,,,-21.476650253178647,,,,-12.506453136127423,,,,,,,,,,,,-39.44102887346926,,46.23487431717176,,,,,-1.2110450472652121,3.1521163760212993,,,,,,,,,10.591559225183238,,,,41.5315770480897,,,,,,,,,,,
PPARG,,,-10.854932577301328,,,-17.96070656323182,,,,-35.12458087771471,,,,,,,,,,,1.240918279756723,,,,,-10.22905744548061,,,,,,,1.7335686154397545,,,,,,-14.091328120499757,,,,,,,,,,,,,,,10.890240055355179
EPCAM,,,,,,,,,,,,,,,,,,,,-1.2772836694604854,,,4.214126633437179,,,,,,,,,,,,,,,,,,,,5.590296082441465,,,,,,-2.1306954670139433,-4.234741375213425,,,,
CD44,,,,13.789227471011806,,,,,,,,,,,10.811277560926374,,,,,7.407609285403676,,,8.234611330974728,,,,,,,,,,-10.552302042522,,,,,,,,,,,,,,,,16.207366780018493,3.249824219511691,,,,
PKNOX2,,,24.462908651871974,,,2.2784202013916977,,,,,,,,,,12.436537197445528,,,,,,,,-10.460760106833865,,,,17.830474275802967,9.350484080655809,,,,,,,,,,,,,,14.043107337926498,,,-21.018096868732727,,,,,,,,
JUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9330901055005651,,,,,0.7013626522593978,,,,,,,,,,,,,,,,,
