,STAT2,PPARG,FOXO3,NFKB1,JUND,LCOR,ZBTB20,PKNOX2,SOX9,SOX6,EGR1,TEAD1,TCF7L2,NFIB,GRHL2,MECOM,SOX5,HSF2,STAT4,TCF12,PBX1,NFE2L2,LMX1B,CREB1,NFIX,FOSB,PROX1,CUX1,SIX1,BACH1,RORA,ARID5B,BBX,HIF1A,RARB,RORB,JUN,NR3C2,CUX2,STAT1,JUNB,TCF7L1,BACH2,KMT2A,NFATC2,ZBTB7A,TCF4,ASCL1,ZEB1,MEIS2,SMAD3,ETS1,EHF,GLIS3,NFIA,ZBTB18,RUNX1,REST,FOS,SP100,AHR,NPAS2,THRB,PRDM16,TBX15,EPAS1,ESR1,SIX4
HIF1A,,,,,,,,,,,,,20.366776742652114,,,,,,,,,,,30.94321197023091,,,,14.590613079774098,,,,,,,,,10.303543374519725,,14.490672743261403,,,,,,,,,,,,,,,,11.578564415747643,,,,10.495561269627988,,,,,,,,8.653209652458646,
RARB,,,,,,,,,,,10.534320232109943,9.566680713307523,30.769553037282577,,,,,29.07514959649458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.159725684195251,,,9.629692782710565,,,,18.758504110077528,,,,,,,,24.442178783741966,,,,
RORB,,,11.072826792727255,,13.346985528483366,,,,,,11.280168431790464,,,,,,,,,,,,,,,,,,13.119306730031875,,,,,,,,,,,,21.177114702773505,,,,,,,,,27.55665483948618,,,,,,,,,14.40954992059724,,,,,,,,,13.107246103154155
JUN,,,13.270178847810989,,,,,,,,48.563094476956934,,9.71721135583509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.48598726170994,14.743208609840496,10.348013994293172,8.916449127596033,9.590755050491085,,,,,,,,,,,,,,,
NR3C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4006146546397877,,,,,1.7862485788965283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.209569989772898,,,
CUX2,,,,,14.268482362911563,,,,,,11.971113940195865,,,,,,,,,,,,,,,,,,,,26.023972400510736,,,,,16.918403308054806,,,,,,,,,,12.145396473061124,,,15.79235220465685,,,,,,,20.458643974669044,,,13.54322204385472,,,,,,,,,
STAT1,,,,,14.211642466421912,,,,,,,,17.394587567045733,,,,,,,,,,,,,,,,,,,,,,,,13.146347663067436,,,,9.291356962528223,,,,,,,,18.286407766853127,,,,17.727053466830736,,27.435734765054782,,,,9.413087658652085,,,,,,,,,
JUNB,,,,,,,,,,,33.34307398148943,6.637871307531339,,,,,,,,,,,,,,,11.805945368586741,,,,7.381699340044706,,,,,15.388289352552894,,,,,46.449663092319554,,,,,,8.127309963314568,,8.87528241849871,,,,,,,,,,,,,,,,,,,
TCF7L1,,,,,14.051009275623064,,,,,,12.300786657056227,,18.113826742308266,,,,,,,,,,,,,,,,,,,,,,,,10.257760077472973,,,,11.644738428783617,,,,,,,,,,,,,,,16.12960375832981,,,14.293338514064537,,,,,20.836993503082155,,,,
BACH2,,10.952710016281864,,,14.629268181732767,,,,,,12.658942364389361,,15.883577946803982,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.687945331175708,,,,,,,,15.424868280544246,,,,,,,,16.252237593180134,,13.359546188788585,,,,,,,,,
KMT2A,,24.820789707341095,,,11.539389410137726,,,,,,10.301762357808759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.573639986663924,11.151494552182136,,,,,,,,18.776350824199582,,13.374153974499535,,,,,,,,,,,,,,,,14.724111530911195,
NFATC2,,,,,11.02660112222311,,,,,,9.236574086463431,,,,,,,,,,,,,,,,,,,,,,,,,,9.23051818821221,,,,8.66644007834522,,,,,,,43.72057413712987,19.60505429070158,,22.07138994962936,,,,,,,,16.513484804071457,,,,,,,,,
ZBTB7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7296524585676625,,,,,,,,,,,,,,,,,,,,,,
TCF4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7210536429256846,,,,,,,,,,,,,,,,,,,,,
ASCL1,,22.19439041103666,,,,,,,,,10.50780646910053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.176540546258018,9.682749826711488,,,,42.209339411633486,,13.956638162080218,,,,,,,,,10.338393446459914,,,10.6452490717094,,,,,,,,,
ZEB1,,1.450945668117202,,,,,,,,,,,,,,,,,,,,,,,3.885125951202765,,,,,,1.2444638340990888,,,,,7.076793591189699,,,,,,,,,,,,,,,,,,,2.050126116911442,,,,,,,,,,,,,
MEIS2,,,31.526578849789473,,,,,,,,23.879878346862935,,23.673430714303024,,,,,,,,,,,,,,,,,,,,,,,,,,,23.740109245408703,,,,,,,22.74144352431074,,39.77213021791076,,,,35.29661675868019,,,33.230097947803806,,40.26919897410403,,,,,,,,,,
SMAD3,,,19.77568026017505,,,,,,,,,,,,,,,,,,,,,,,,,31.04782010010338,,,15.606112198497687,,,,,15.247665534799946,11.34118972500634,,26.88503028955251,15.829065250399351,,,,,,,,,,,,,,,,,,,,,,,,,12.348264009687332,,,
ETS1,,14.843896626298553,,,13.129581046884807,,,,,,,,16.17898198799014,,,,,,,,,,,,,,,,,,24.068784225343478,,,,,12.546666801152975,,,,,9.910860120135412,,,,,,17.49331634449238,,,,,,,,,,,,11.852291571039343,,,,,,,,,
EHF,,,,,13.106233077675684,,,,,,,,13.29570424080139,,,,,16.90542230337672,,,,,,,,,,,,,,,,,,,,10.80467998902944,,,10.280131262040753,,,,,,,,,,,,,,41.19038107941542,,,,16.69720427305466,,,,,,18.650783568880048,,,
GLIS3,,,,,25.338353320121545,,,,,,,18.250946996523272,19.41130290596883,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.651161547416011,,,,,,19.668874874879773,,15.050700357510161,,,,,,,,,,11.408215797032518,,,,,,20.72672117660839,,,
NFIA,,,,,11.110999343194386,,,,,,8.721206526899959,,,,,,,,,,,,,,,,,,,,10.809734434250108,,,,,10.314999244274887,,,,,9.036513124877242,,,,,,,,,18.71851645195398,,,,,55.646296914862724,,,,11.037142697231301,,,,,,,,,
ZBTB18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7280531207140541,,,,,,,,,,,,
RUNX1,,,,,,,,,,,,,59.88754632834194,,,,,27.817950582361746,,,,,,,,,,,,,22.85936740240126,,,,,24.739825925505016,,,,20.22631593049448,,,,,,16.373888521735825,23.598325977267447,,25.139530291926373,38.73631150052734,,,,,,,,,,,,,,,,,,
REST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7291774088235881,,,,,,,,,,
FOS,,,26.00451772248912,,,,,,,,,,,,,,,8.574333550714194,,,,,,,,,,,,,,,,,10.710940453091244,,,,,,,,,,,8.348460253378553,,,19.254739563411086,,,,,,,37.41409456054507,,,,12.562780292334878,,,,10.440218070488541,,,,
SP100,,,,,,,,,30.049722345207975,,9.144659741747256,11.163182512777766,,,,,,,,,,,,,,,,11.57136763188333,,,10.216024740793948,,,,,13.229181442226409,,,26.005746092174995,,,,,,,,,,,,,,,,17.224450164584184,,,,,,,,,,,,,
AHR,,,,,13.075010037981665,,,,,,,15.42391478165148,,,,,,,,,,,,,,,,,,,18.95321569080356,,,,,11.798165324953743,,,,,9.338450184815457,,,,16.05317366844869,,,,,,,,,,,,,37.546308091389086,9.465066016665087,,,,,,,,,
NPAS2,,,,,,,,,,,,10.323104998144059,,,,,,,,,,,,,,,26.1652314539802,,,,13.09086124696597,,,,,14.285196560408542,,,,,,,,,,10.77947400158574,25.189323867352837,,13.559795993943819,,,,,,,,,,,29.020282996313767,,,,,,,,
THRB,,,20.557127319304293,12.942994114272864,,,,,,,,,,,,,,,,,,,,,,,,11.827717536412003,,,,,,,9.337192224195062,,,,9.935341091390196,,,,,,,,,,,,,,,,11.129988359054158,16.278235598219936,,,,,,,,,,,16.859452323329993,
PRDM16,,,,,,,,,,,10.400421434067141,,,,,,,,,,,,,,,,,,,,21.36278307839531,,,,,14.84759754389996,11.202956775286346,,,11.24858572773993,,,,,,,,,14.723875003152676,,,,15.58952394111387,,24.456135585287612,,,,,,,,,,,,,
TBX15,,,8.239363112958634,,,,,,16.86855721073682,,10.584390016067285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.739367969971722,,,,,18.685245857219254,,,24.199832906110537,,25.96577691045364,,,,,11.242704443129568,,,,,,,,,,,,,
EPAS1,,,21.53392638613645,,9.669078707561118,,,,,,8.567278998078487,,,,,,,,,,,,,,,,,,,,,,,,,,10.421771869705205,,,12.679272533581896,,,,,,,,,,,,,,,,14.60432967911713,,,12.209209780392472,,,,,,29.52728824724954,,,
ESR1,,,19.33291233360768,,10.792345216550341,,,,,,10.40451217733615,12.231921071161867,,,,,,,,,,,,11.558594115879977,,,,,,,,,,,,,10.539768366259327,,,,,,,,,,,,,,,,,,42.81707048033346,,,,19.475329817794222,,,,,,,,,
SIX4,,,,,,,,,,,9.660064324453893,,28.391723603836073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.073176640846471,,32.95355683500881,,14.157481572197606,11.883125944307377,10.847282509661703,,,,15.472550615678102,,,,,,,,,,,,,
