Gene,Club cells_1_corr,Club cells_1_pval,Club cells_1_ci_low,Club cells_1_ci_high,NE_7_corr,NE_7_pval,NE_7_ci_low,NE_7_ci_high
Chd6,-0.19844047840713508,5.974798311111447e-40,-0.2268863251326207,-0.16965634883151118,0.19844053308204587,5.974500724791582e-40,0.16965640410946886,0.22688637911891485
Egfr,-0.19813848225823047,7.865100131496397e-40,-0.2265881298814675,-0.16935102452449147,0.19813862493694084,7.864079610740653e-40,0.16935116877429235,0.22658827076569507
Tnrc6c,-0.19783257477677268,1.0385515013425452e-39,-0.22628606708796725,-0.1690417514134473,0.1978324843625512,1.0386367588592768e-39,0.16904166000531615,0.22628597780927534
Limch1,-0.1978308351438353,1.0401931369382123e-39,-0.2262843493033304,-0.16903999265707928,0.19783070414601495,1.0403168597297082e-39,0.169039860219234,0.2262842199507234
Ptprt,-0.19767130041808836,1.2022401153418125e-39,-0.2261268174448468,-0.16887870497797888,0.19767126869126458,1.2022747161067292e-39,0.16887867290269695,0.22612678611618714
Mical3,-0.19628686981946308,4.200496078579e-39,-0.2247597050755911,-0.1674791271274494,0.19628657964735874,4.201593388065584e-39,0.1674788337927015,0.2247594185215805
Rundc3a,-0.19628485022709563,4.208139242943626e-39,-0.22475771066498582,-0.1674770855232487,0.1962848187477322,4.208258486188981e-39,0.167477053700789,0.22475767957812834
Baz2b,-0.19560880431425626,7.72461179084534e-39,-0.2240900807834542,-0.16679368517107304,0.19560885997828836,7.724226213063753e-39,0.16679374143951273,0.2240901357556305
Syt1,-0.19558622866402714,7.882577993101944e-39,-0.22406778571408953,-0.1667708644068547,0.19558627959139568,7.882218056295713e-39,0.16677091588712986,0.2240678360085422
Pex5l,-0.19506358459072093,1.2586087733037372e-38,-0.22355162897460404,-0.16624255438202648,0.19506349109782523,1.2587139774496302e-38,0.16624245987706032,0.22355153664076208
Nfasc,-0.193040952083098,7.599121106563192e-38,-0.22155395186945137,-0.16419815054953724,0.19304092721192118,7.599288163835549e-38,0.16419812541217402,0.22155392730366563
Atp8b1,-0.1918805183666427,2.112322740737517e-37,-0.22040772762733757,-0.1630253379405377,0.19188046219009983,2.1124269417081365e-37,0.16302528116670706,0.22040767213676749
Map1b,-0.19084833112778402,5.214800423090722e-37,-0.2193881132769121,-0.16198220839703703,0.19084859171362242,5.213614287619743e-37,0.161982471737227,0.21938837069646852
Hcn1,-0.19058084767458106,6.585204478224713e-37,-0.21912387782061132,-0.16171189985368656,0.1905807111171039,6.5859883453625965e-37,0.16171176185503144,0.21912374292025438
B4galt6,-0.19025247146793495,8.765114681934834e-37,-0.21879948329404406,-0.16138006134701016,0.19025245475501276,8.765242129173805e-37,0.16138004445803808,0.21879946678361148
Cnot6l,-0.18761230355092334,8.566164626364181e-36,-0.21619109902478945,-0.15871229353418345,0.18761219388591518,8.566969635763038e-36,0.15871218273151858,0.21619099067150946
Unc13a,-0.18604556818663398,3.259860072996658e-35,-0.21464303189959066,-0.15712937925422438,0.18604549849322688,3.2600529957833773e-35,0.15712930884443183,0.2146429630334105
Cdh13,-0.18551782735698488,5.09940102536432e-35,-0.21412154694609162,-0.15659622215074842,0.18551771866783495,5.099870238507685e-35,0.15659611234784343,0.21412143954367094
Tcerg1l,-0.18489009084658511,8.66725108290647e-35,-0.21350123043504513,-0.15596206504579316,0.18488995509784092,8.668243501278004e-35,0.15596192791116695,0.21350109628838926
Chga,-0.18459276720753656,1.113515939423875e-34,-0.21320741318269543,-0.1556617086528094,0.18459275379800044,1.1135285115856882e-34,0.15566169510661426,0.21320739993118343
Pam,-0.1841691419356615,1.5900423028379875e-34,-0.21278877485253506,-0.15523377156869517,0.1841689113014752,1.590350333005758e-34,0.15523353858998787,0.21278854693052615
Scg2,-0.18343705594895737,2.9367629301752497e-34,-0.2120652822551708,-0.15449425974283792,0.1834368845491738,2.9371839099276355e-34,0.15449408660827546,0.21206511286364174
Six4,-0.18305355080521102,4.045735531479483e-34,-0.21168626625471723,-0.15410687749772756,0.18305333430784518,4.046466433692101e-34,0.15410665881416316,0.21168605228914245
Sema3e,-0.1818399055536878,1.1097274718520763e-33,-0.2104867706481124,-0.15288102136155363,0.18183976229858698,1.1098591783289835e-33,0.15288087667037603,0.21048662905810242
Rere,-0.1805273572027086,3.278025359046167e-33,-0.2091894279407706,-0.15155536732846742,0.18052736246470635,3.278011180575737e-33,0.15155537264279687,0.2091894331420113
Rev1,-0.18006521000364054,4.7903295829455803e-33,-0.2087326106178311,-0.15108863043684476,0.18006504556867275,4.790975324058736e-33,0.15108846437113382,0.20873244807704142
Ogfrl1,-0.18002670828920117,4.943910033759077e-33,-0.20869455237351972,-0.1510497469358189,0.1800265951630896,4.944368411304068e-33,0.1510496326880704,0.20869444055028846
Kif1b,-0.18002600805628552,4.9467479967151776e-33,-0.20869386020521707,-0.15104903976015865,0.180026346090864,4.945377779842796e-33,0.15104938114631497,0.20869419434664016
Rgs17,-0.17978521993786314,6.025033564327818e-33,-0.2084558435510846,-0.1508058660084443,0.17978534131762217,6.024435114959092e-33,0.15080598858990238,0.20845596353462162
Nbea,-0.17944785668176413,7.938531905873225e-33,-0.20812235762386924,-0.15046516618979686,0.179447860690021,7.938505918566912e-33,0.15046517023765493,0.20812236158609865
Insrr,-0.17944443936569715,7.960718636631023e-33,-0.20811897954903974,-0.1504617151112892,0.17944442073598332,7.960839757529255e-33,0.15046169629751927,0.20811896113325012
E330009J07Rik,-0.1791910961774972,9.789057922151768e-33,-0.20786854361010218,-0.15020587090723206,0.17919110682476105,9.788972930742076e-33,0.1502058816595246,0.20786855413526192
Srrm3,-0.17878368779214468,1.3641016665713394e-32,-0.2074658025704463,-0.14979444870819286,0.1787836030020084,1.3641957564760153e-32,0.1497943630837436,0.20746571875066952
Rab3c,-0.1786955583587482,1.4654566007129095e-32,-0.2073786814849843,-0.14970545233862087,0.17869554117281594,1.4654770771878705e-32,0.14970543498367503,0.20737866449564343
Arfgef1,-0.1786880365283449,1.4744458083333768e-32,-0.20737124569581217,-0.14969785653713713,0.178688060531454,1.474417035766883e-32,0.14969788077629187,0.20737126942435816
Glg1,-0.1784775650351245,1.7494224711644842e-32,-0.20716318041450138,-0.1494853166155551,0.17847719592454792,1.749946859101043e-32,0.1494849438798631,0.20716281552149596
Tmem158,-0.17773159791553325,3.201520530452775e-32,-0.2064257206532751,-0.14873204000928603,0.1777313562427738,3.2021460067865685e-32,0.14873179597390784,0.20642548173138248
Map3k15,-0.17769944536749815,3.285809274197262e-32,-0.20639393405510675,-0.14869957316553067,0.17769935616687235,3.2860461530479614e-32,0.14869948309304307,0.20639384586964926
Pcdh9,-0.17621614624568321,1.083738448565528e-31,-0.20492745151306893,-0.1472018425527168,0.1762160603394142,1.0838130183191487e-31,0.1472017558144912,0.20492736657701027
Eml5,-0.1761692283428968,1.1252323333423408e-31,-0.20488106342849674,-0.1471544703414057,0.17616950172537799,1.1249860469605424e-31,0.14715474637067827,0.20488133372419265
St18,-0.17609332123570573,1.1957277679056264e-31,-0.20480601322560574,-0.14707782850357642,0.17609340728235234,1.1956454250976316e-31,0.14707791538290044,0.20480609830107538
Rev3l,-0.1757462296637695,1.5781495401826404e-31,-0.2044628356185634,-0.14672738175344946,0.17574619344954323,1.5781951848907846e-31,0.14672734518953662,0.2044627998123372
Insm1,-0.1747888582261491,3.3825505526466307e-31,-0.20351622335387465,-0.1457607935923028,0.17478889412250254,3.3824541459447114e-31,0.14576082983319566,0.20351625884782304
Jag2,-0.1736103726992353,8.593210945599552e-31,-0.2023509081817189,-0.14457103874276875,0.17361031102957655,8.593628695529565e-31,0.14457097648558803,0.20235084719912966
Clca3a2,-0.1728044835696906,1.6194348450701905e-30,-0.20155397853457718,-0.14375749160018272,0.17280453258665518,1.619372583026316e-30,0.14375754108174021,0.20155402700775257
Clca3b,-0.1725803110347818,1.9305212985457684e-30,-0.20133229147371037,-0.1435311958308016,0.17258036466135632,1.930440208813441e-30,0.1435312499649332,0.20133234450606177
Cdh1,-0.17254951923326514,1.977644629068612e-30,-0.20130184084086802,-0.14350011262417858,0.17254960297938524,1.9775149301329007e-30,0.1435001971627711,0.20130192365916869
Phip,-0.1715501167750244,4.3152640998232735e-30,-0.20031348144221625,-0.1424912832143173,0.17155049819198123,4.313983270533192e-30,0.1424916682175071,0.2003138586558122
Slc4a3,-0.17121732273044268,5.589584306571221e-30,-0.19998435166564713,-0.1421553634594903,0.17121718739170824,5.590171895453638e-30,0.142155226850972,0.19998421781575512
Ttc28,-0.17072526781117736,8.186574814827448e-30,-0.1994977026789559,-0.14165869926547103,0.17072525849522874,8.186633868791524e-30,0.14165868986239472,0.199497693465222
Chd7,-0.16963273471628518,1.9021708904762474e-29,-0.19841712189029861,-0.1405559842921863,0.16963290611729057,1.9019201722684426e-29,0.14055615728490828,0.19841729142166623
Nol4,-0.1684679641927128,4.6435876798557064e-29,-0.19726501687651854,-0.13938043811806206,0.16846787973588243,4.64388709475783e-29,0.139380352882868,0.19726493333517278
A330076H08Rik,-0.16817704613572504,5.797229628003797e-29,-0.19697724979630724,-0.13908684148376285,0.16817693844386636,5.797705395767897e-29,0.13908673280129707,0.19697714326995627
Tubgcp3,-0.16807531111316937,6.264386970141387e-29,-0.19687661550978774,-0.13898417096060106,0.16807507211750458,6.265527227103938e-29,0.13898392976799687,0.19687637909925484
Pde3b,-0.16786411523596956,7.356677394196775e-29,-0.19666770275773715,-0.13877103503628577,0.16786412748544566,7.356608859188577e-29,0.1387710473982075,0.1966677148748666
Ets2,-0.16781164582523378,7.656126905788716e-29,-0.1966158001600068,-0.13871808405905706,0.1678116940664868,7.655846109770781e-29,0.13871813274299394,0.19661584788019662
Dclk2,-0.1677800168201507,7.84244454799032e-29,-0.19658451275661684,-0.1386861648419749,0.16777994216253975,7.842889611528217e-29,0.1386860894994144,0.19658443890525862
Ptn,-0.16777298472385618,7.884475773881221e-29,-0.19657755660086754,-0.13867906823088033,0.16777285049908258,7.885280211559471e-29,0.1386789327747129,0.19657742382557697
Gpc1,-0.16769758461057038,8.349427108187208e-29,-0.1965029705612272,-0.1386029765595467,0.16769763654780717,8.349097661794307e-29,0.13860302897302548,0.1965030219378271
Usp31,-0.16750823177283372,9.640406370454082e-29,-0.1963156606425783,-0.13841188852171804,0.16750809704111155,9.641392023993292e-29,0.13841175255610655,0.19631552736372201
Cacna1c,-0.16709479031060123,1.3187625853970915e-28,-0.19590667247428328,-0.13799466587494097,0.16709470533888113,1.3188473966364316e-28,0.1379945801271621,0.19590658841678718
Psip1,-0.16653720383503504,2.0096200217124778e-28,-0.1953550760438704,-0.13743199627345606,0.16653719862637337,2.009627915770614e-28,0.13743199101739845,0.19535507089107923
Plppr4,-0.1662042011944874,2.582645999466184e-28,-0.1950256420912509,-0.13709596683949715,0.16620415190940227,2.5827417908649076e-28,0.13709591710693614,0.19502559333385772
Lrba,-0.1661482116569781,2.6937711611154355e-28,-0.19497025193793932,-0.1370394690487159,0.16614801002723567,2.6941797918670523e-28,0.13703926558899202,0.1949700524663694
Rims3,-0.16603307764074937,2.937397739401539e-28,-0.19485634988693737,-0.13692329048163734,0.166033128503908,2.9372854284811294e-28,0.13692334180607404,0.19485640020601802
Cdc14a,-0.164570348463551,8.775637107878321e-28,-0.19340920462848993,-0.1354473604392473,0.16457051752440838,8.7745322903162e-28,0.13544753101837992,0.19340937189542384
Dennd4a,-0.16411158459802028,1.2343488757259871e-27,-0.19295530258241192,-0.13498448293781126,0.16411163258808872,1.2343048916476898e-27,0.13498453135753138,0.19295535006454398
Celsr3,-0.16410339574873967,1.241876955439642e-27,-0.1929472004035558,-0.13497622077638372,0.1641032831792202,1.24198075806359e-27,0.1349761071990936,0.19294708902543983
Soga3,-0.16396981300819305,1.3713081809878391e-27,-0.19281503094149438,-0.13484144268426776,0.16396960971691166,1.3715150061417076e-27,0.1348412375746764,0.19281482980019612
Kcnh7,-0.16302825443220229,2.7514908453588265e-27,-0.19188340417517138,-0.13389148923898803,0.16302817695464278,2.751648037507706e-27,0.1338914110728473,0.1918833275127259
Nnat,-0.16199431001015802,5.882439125261899e-27,-0.19086030616241528,-0.1328483879237744,0.1619942061380512,5.882886664271595e-27,0.1328482831349913,0.19086020337680965
Miat,-0.1614948381975331,8.47565655117169e-27,-0.1903660515032509,-0.13234451577992873,0.1614946654896106,8.476725252895545e-27,0.13234434155306035,0.1903658805967902
Hap1,-0.16149293476452417,8.48744220793383e-27,-0.19036416792425392,-0.13234259560654962,0.16149275037341895,8.488584781403345e-27,0.13234240959376758,0.19036398545645342
Tenm4,-0.16121598928874145,1.0387283781838285e-26,-0.19009010889975264,-0.1320632167740783,0.16121585045945455,1.0388334672221679e-26,0.13206307672614176,0.19008997151627902
Rif1,-0.16117008484244985,1.0740570285303393e-26,-0.1900446824556458,-0.13201690943994623,0.1611701045685657,1.074041594191587e-26,0.13201692933916423,0.19004470197638051
Dnm3,-0.15832115447165182,8.39423915972855e-26,-0.18722517598685967,-0.1291432239570482,0.15832101721683903,8.395062919903184e-26,0.12914308552139692,0.18722504013814806
Ret,-0.15785446505700865,1.1712829998455474e-25,-0.18676326116314912,-0.12867252606564386,0.15785438133623897,1.171352892528761e-25,0.12867244162696148,0.18676317829776046
Hsp90b1,-0.15778992900110464,1.2264042428587477e-25,-0.18669938435461733,-0.12860743673312935,0.1577899555374506,1.2263810578106776e-25,0.12860746349692342,0.18669941061993997
Golga4,-0.15774813845136226,1.2634611168125308e-25,-0.186658020572435,-0.1285652880412957,0.15774795896164182,1.2636226439319758e-25,0.12856510701358825,0.18665784291545312
Rorb,-0.156963569250973,2.2060087639687446e-25,-0.185881444413218,-0.12777401470664376,0.15696333807691412,2.206370111315935e-25,0.12777378156268124,0.1858812155889921
Smg1,-0.15672066084444003,2.619928803929206e-25,-0.18564100338675338,-0.12752903818374384,0.15672068757645582,2.619879264075263e-25,0.12752906514315943,0.1856410298474251
Scn7a,-0.15607663090446505,4.127712639402435e-25,-0.18500349851746994,-0.12687954222801864,0.15607655219218275,4.1279414762454613e-25,0.126879462849219,0.18500342060118313
Prkca,-0.15569705808197612,5.390933175373061e-25,-0.18462775998193967,-0.1264967596180011,0.15569694053937916,5.391378350238761e-25,0.12649664108277375,0.1846276436253993
Elavl4,-0.15507096304390944,8.361444263170526e-25,-0.18400797101548572,-0.1258653891243205,0.15507102826322375,8.36106278639367e-25,0.1258654548919384,0.18400803557910506
Kcnc1,-0.15502870624418053,8.612268943628292e-25,-0.18396613900015032,-0.1258227771225059,0.15502862689339078,8.612746887838447e-25,0.12582269710481087,0.18396606044693187
Snrnp70,-0.1549567995055784,9.056328429623753e-25,-0.18389495485953405,-0.1257502661981709,0.15495670311286028,9.056938663510606e-25,0.12575016899573666,0.18389485943527226
Elavl3,-0.15439194561158975,1.343080280275859e-24,-0.18333576668118612,-0.125180677056515,0.15439191848877815,1.3431056470875702e-24,0.12518064970679144,0.18333573982997767
Adcy1,-0.15387755403801018,1.920404664301932e-24,-0.1828265183697166,-0.12466199001960249,0.15387739625738076,1.9206149349784587e-24,0.12466183092386442,0.18282636216430978
Nlgn1,-0.15378715508165994,2.0446900249477916e-24,-0.18273702168317144,-0.12457083783003464,0.15378707918571116,2.0447976464849205e-24,0.12457076130190357,0.18273694654453673
Six1,-0.1535561484072565,2.3996473308287943e-24,-0.18250831850127425,-0.12433790857388582,0.15355613903791382,2.3996628982622016e-24,0.12433789912663093,0.18250830922529482
C1galt1,-0.15312280083784363,3.2379176333367323e-24,-0.18207928362338613,-0.12390096310203812,0.15312282062951374,3.2378733927043055e-24,0.12390098305777139,0.18207930321834057
Ankrd12,-0.15304451954220505,3.417667516022423e-24,-0.18200178021042104,-0.12382203307816764,0.15304444121138888,3.417852237760139e-24,0.12382195409839804,0.18200170265779944
Wnk2,-0.1527600306595693,4.158118372848346e-24,-0.1817201152692392,-0.12353518970947504,0.15276004331232146,4.158082141911766e-24,0.12353520246683526,0.18172012779650112
Dner,-0.15269728110671557,4.341699962678684e-24,-0.1816579879518861,-0.12347192148634707,0.15269711555832494,4.342194754420786e-24,0.12347175456989395,0.1816578240447964
