,names,scores,logfoldchanges,pvals,pvals_adj,archetype
46,Parp14,10.662804,1.4119029,1.519463096427831e-26,4.164574345766706e-24,Arc_4
47,Mprip,10.463285,1.3675597,1.2736075097043125e-25,3.4344264443139354e-23,Arc_4
48,Amer1,10.433953,1.7426662,1.7351492935680147e-25,4.532806412369318e-23,Arc_4
49,Larp4b,10.3188305,0.92029136,5.792413067899186e-25,1.445423195256813e-22,Arc_4
50,AC149090.1,10.195608,0.64107716,2.0744188394193395e-24,5.100324790625285e-22,Arc_4
51,Ppp1r9a,10.162248,1.1275842,2.9226090100542268e-24,7.08160870131835e-22,Arc_4
52,Muc4,10.012732,1.6306832,1.3400053646065748e-23,3.2005070986939033e-21,Arc_4
53,Cd74,9.901367,2.0601006,4.1062279065069995e-23,9.404386899848017e-21,Arc_4
54,Rnf213,9.882348,1.031522,4.9655292785600195e-23,1.1218741082195265e-20,Arc_4
55,Celsr2,9.858988,1.6277772,6.267790734104684e-23,1.3788314905723186e-20,Arc_4
56,Dapk1,9.798772,2.1879847,1.1396291724321778e-22,2.474475342064101e-20,Arc_4
57,Rassf3,9.784038,1.671764,1.3184305727809447e-22,2.8260052238877714e-20,Arc_4
58,Trpm6,9.709543,2.9984984,2.7456399018003176e-22,5.810677660531584e-20,Arc_4
59,Nbeal1,9.443346,1.291569,3.610601078498201e-21,7.272968606194146e-19,Arc_4
60,Ly6e,9.441261,1.3475721,3.6832016705423155e-21,7.330886753547258e-19,Arc_4
61,Uhrf1bp1l,9.32885,1.6552992,1.0702570703268082e-20,2.105132701034577e-18,Arc_4
62,Ehf,9.308066,1.0023588,1.3018081266238415e-20,2.530805821979536e-18,Arc_4
63,Nfia,9.218511,2.0262313,3.012555556186209e-20,5.789300729181291e-18,Arc_4
64,Muc1,9.197734,1.5249614,3.6557802599398374e-20,6.945567064310698e-18,Arc_4
65,Oas2,8.98198,1.3461463,2.659365298201756e-19,4.8859262000697976e-17,Arc_4
66,Mbnl1,8.921288,1.4498966,4.608999839541977e-19,8.375855251880686e-17,Arc_4
67,Taok3,8.875542,1.6206865,6.959411688157149e-19,1.2511226238096706e-16,Arc_4
68,Agrn,8.866687,1.6921912,7.53544890320802e-19,1.3402677682205838e-16,Arc_4
69,Tasor,8.8319235,0.7154569,1.0289067777682557e-18,1.7919054601570277e-16,Arc_4
70,Cp,8.799211,2.6489882,1.3778212936937864e-18,2.3289147650601367e-16,Arc_4
71,Clu,8.781864,1.3754622,1.6078681848512754e-18,2.6881948182528475e-16,Arc_4
72,Erbin,8.770775,1.0518064,1.7744076329804126e-18,2.937259526316784e-16,Arc_4
73,Lpp,8.709156,1.8310099,3.061443299337872e-18,5.018065737414694e-16,Arc_4
74,Smad7,8.66544,1.4733069,4.497755897053416e-18,7.300774839110297e-16,Arc_4
75,Mgst1,8.6110735,1.8945119,7.237939259008548e-18,1.1635683314554223e-15,Arc_4
76,Slc23a1,8.579094,3.3952775,9.562358292197447e-18,1.5226006503547535e-15,Arc_4
77,Tcirg1,8.543797,1.6579927,1.298824569451476e-17,2.0294437361363764e-15,Arc_4
78,Jund,8.51376,0.7134569,1.6838270653035888e-17,2.606657843038028e-15,Arc_4
79,Ddx60,8.282988,1.5402004,1.2012281596475658e-16,1.8093093334367256e-14,Arc_4
80,Cd44,8.265585,1.8860888,1.3901159368234618e-16,2.0751203881920943e-14,Arc_4
81,Slc12a2,8.260203,1.4321158,1.4542399940495704e-16,2.1516317221694486e-14,Arc_4
82,B2m,8.207326,0.7508302,2.261690208844226e-16,3.316947245760229e-14,Arc_4
83,Itpr1,8.174363,0.9701413,2.9743166045845626e-16,4.324139070612983e-14,Arc_4
84,Arid5b,8.168627,1.3270612,3.119198038783489e-16,4.49567862158803e-14,Arc_4
85,Ddx17,8.134796,0.50440913,4.1263278454596e-16,5.896416687883679e-14,Arc_4
86,AU021092,8.131522,2.4701462,4.2393435824919246e-16,6.006575030142585e-14,Arc_4
87,Clk1,8.116589,0.770768,4.794702642857332e-16,6.736355755120314e-14,Arc_4
88,Fmo1,8.074672,3.1574607,6.765814523634949e-16,9.348566365343198e-14,Arc_4
89,Dchs2,8.064394,3.003437,7.359992859389706e-16,1.0018785956269481e-13,Arc_4
90,Kitl,8.064217,2.4633791,7.37071997500536e-16,1.0018785956269481e-13,Arc_4
91,Ltbp3,8.043389,1.5028949,8.738689095744422e-16,1.1688171439340078e-13,Arc_4
92,Arrdc3,7.9771447,1.915977,1.4975726421835641e-15,1.971489527926536e-13,Arc_4
93,Setbp1,7.8999667,0.85224986,2.7897775128611593e-15,3.615681413761684e-13,Arc_4
94,Phldb2,7.897319,0.6594115,2.849664244459663e-15,3.664887423317008e-13,Arc_4
95,Itprid1,7.8696165,3.418221,3.55729565962409e-15,4.5400325292561195e-13,Arc_4
96,Krt19,7.8457365,2.068939,4.304196103920845e-15,5.451655656170652e-13,Arc_4
97,Ifi27,7.8275294,1.6780039,4.975505512396297e-15,6.25454711742509e-13,Arc_4
98,Wwc1,7.772922,1.2707729,7.669604446225323e-15,9.428537995326558e-13,Arc_4
99,Il6st,7.749412,1.3157325,9.231908991906203e-15,1.1184658437368101e-12,Arc_4
100,Kbtbd11,7.738543,1.3691034,1.0056246145993411e-14,1.2095710742076535e-12,Arc_4
101,Fign,7.736237,2.981659,1.024025378806547e-14,1.2229057363047612e-12,Arc_4
102,Sdc1,7.68753,2.1031454,1.5000255249604934e-14,1.7786472873627298e-12,Arc_4
103,Pitpnm3,7.6801777,3.0803123,1.588683546547258e-14,1.8705070573749022e-12,Arc_4
104,Abca3,7.665109,1.4847612,1.7867916356383284e-14,2.0890468081284765e-12,Arc_4
105,Pde7a,7.635314,1.4864193,2.2527033117844744e-14,2.615482407619766e-12,Arc_4
106,Lama5,7.623392,1.5050294,2.4709510260061004e-14,2.8490917381928273e-12,Arc_4
107,Hnrnpr,7.58986,0.80683464,3.202508218217436e-14,3.6673106096148845e-12,Arc_4
108,Samd4,7.5857816,2.657909,3.30488390658104e-14,3.758799594158395e-12,Arc_4
109,Npc2,7.545837,1.6307876,4.4939234785873137e-14,5.076615313412249e-12,Arc_4
110,Ahnak,7.501493,2.4816003,6.309490231645006e-14,7.0797561867699904e-12,Arc_4
111,Gan,7.423632,1.3230048,1.1395147285212136e-13,1.2616918374931237e-11,Arc_4
112,Aldh2,7.405674,2.7043827,1.3048611085642381e-13,1.4352613732950986e-11,Arc_4
113,Rbm47,7.3458776,2.285279,2.044133676849048e-13,2.2337170551136757e-11,Arc_4
114,Ccdc190,7.3394647,2.7190502,2.1445012867676994e-13,2.3281764294460497e-11,Arc_4
115,Tcf20,7.3186307,1.0199637,2.5051373625305526e-13,2.7021542944611815e-11,Arc_4
116,Rassf9,7.300623,2.6979017,2.8643854756358177e-13,3.069850049176618e-11,Arc_4
117,Ly6a,7.280558,1.8792412,3.3244242184692173e-13,3.540194172521455e-11,Arc_4
118,Trf,7.2611265,2.149835,3.838799165892942e-13,4.062081218643297e-11,Arc_4
119,Ptprf,7.195529,0.7505096,6.221899160781727e-13,6.461113793112404e-11,Arc_4
120,Neat1,7.17419,0.4777421,7.273648103813017e-13,7.506674237509248e-11,Arc_4
121,Atp7b,7.1317897,2.6781359,9.907223594100036e-13,1.0161893942929969e-10,Arc_4
122,Sftpd,7.130352,1.7452608,1.00112703072705e-12,1.0206001723613141e-10,Arc_4
123,Nrip1,7.1100802,1.150087,1.1597534402240877e-12,1.1680673353678627e-10,Arc_4
124,Myof,7.100336,2.277495,1.2445374121821793e-12,1.2459533529505304e-10,Arc_4
125,Slc4a4,7.080072,1.9422666,1.4407962843996034e-12,1.4253652709394657e-10,Arc_4
126,Emp2,7.0504193,0.9300219,1.7837935804519418e-12,1.7543085218574124e-10,Arc_4
127,Yipf6,7.0213933,1.771261,2.1966679081718733e-12,2.135237834693346e-10,Arc_4
128,Mkln1,7.0198274,0.88122606,2.221427585384897e-12,2.1468235722572307e-10,Arc_4
129,Klf9,7.016233,1.8475846,2.279302237617042e-12,2.190095063834444e-10,Arc_4
130,Arhgef12,7.0026164,0.97158253,2.5122584713333305e-12,2.4001399646983976e-10,Arc_4
131,Cgnl1,7.0008583,1.2409974,2.543989611135656e-12,2.4166455857146044e-10,Arc_4
132,Ccnl2,6.9951925,0.4261562,2.6489465646195033e-12,2.502132068580422e-10,Arc_4
133,Slc4a5,6.981612,2.725478,2.918121793674303e-12,2.740903273507903e-10,Arc_4
134,Slc26a2,6.914684,2.470772,4.6890850500778395e-12,4.3553784973473e-10,Arc_4
135,Oip5os1,6.9132104,0.7581318,4.7380673588152205e-12,4.3765606724879375e-10,Arc_4
136,Trim30a,6.892704,2.3506727,5.4741694199715985e-12,5.00123707827897e-10,Arc_4
137,Foxq1,6.8723187,2.5141454,6.3166607055384995e-12,5.739578822603161e-10,Arc_4
138,Iigp1,6.8534355,2.2755892,7.2097245409179385e-12,6.515642410789569e-10,Arc_4
139,Tcf25,6.8390646,0.4366465,7.97119442749545e-12,7.165075249101959e-10,Arc_4
140,Pnisr,6.8210707,0.37709004,9.036433447175981e-12,8.079151379857499e-10,Arc_4
141,Bcl9l,6.81979,1.8162286,9.117388404582647e-12,8.10817110299028e-10,Arc_4
142,Qk,6.77803,1.0740169,1.2182573411346106e-11,1.0720023413910292e-09,Arc_4
143,Mecom,6.7746844,2.9199295,1.246780840424788e-11,1.0913575325163366e-09,Arc_4
144,Aspg,6.767282,2.775788,1.3122418121719885e-11,1.1426755655053892e-09,Arc_4
145,Aqp5,6.6897836,2.4789066,2.235005519098595e-11,1.919150732253656e-09,Arc_4
146,Ttc14,6.6895633,0.41135186,2.238377850286877e-11,1.919150732253656e-09,Arc_4
147,Notch1,6.632749,2.7071671,3.2949144182430745e-11,2.8068697109719724e-09,Arc_4
148,Eps8l1,6.624941,2.063461,3.47386907587265e-11,2.9333139939148906e-09,Arc_4
149,Stk38,6.607033,1.1807684,3.9209942487812245e-11,3.2942262736368487e-09,Arc_4
150,Akr1c19,6.575864,3.9795823,4.837144041925425e-11,4.0436105618475595e-09,Arc_4
151,Irf2bp2,6.57338,0.72479296,4.9185735858697894e-11,4.091225461798856e-09,Arc_4
152,Scnn1a,6.547756,1.6362672,5.840804319260572e-11,4.833437218099949e-09,Arc_4
153,Oasl2,6.5470443,1.5774466,5.868698817359229e-11,4.833437218099949e-09,Arc_4
154,Dhrs3,6.54293,2.2713583,6.032500626931513e-11,4.94398911674843e-09,Arc_4
155,H2-K1,6.5397058,0.4592438,6.163996076248531e-11,5.027114653599961e-09,Arc_4
156,Pard3b,6.5277195,1.9655539,6.677860110842526e-11,5.419764232678456e-09,Arc_4
157,Diaph1,6.5119324,0.98885757,7.4190150939417e-11,5.992198712831463e-09,Arc_4
158,Secisbp2l,6.5088644,1.2002478,7.572095443747224e-11,6.0864357559620124e-09,Arc_4
159,Son,6.5053625,0.47057235,7.750618673802067e-11,6.200124096042907e-09,Arc_4
160,Tsix,6.4611044,1.109657,1.039415845073967e-10,8.275235006567455e-09,Arc_4
161,Stox2,6.4282985,1.7193947,1.2904004898466365e-10,1.0224742080448302e-08,Arc_4
162,Elf1,6.421053,1.6123585,1.3533511906076073e-10,1.067296158290971e-08,Arc_4
163,Bend7,6.403728,1.2751127,1.5162802421277905e-10,1.1901732097715741e-08,Arc_4
164,Mob3b,6.399842,2.798806,1.5553799959213634e-10,1.2151587921406205e-08,Arc_4
165,Rps8,6.38693,0.7386874,1.6924883718471215e-10,1.3161261901819546e-08,Arc_4
166,Slc12a7,6.3619256,2.1677577,1.9924006695139473e-10,1.5350666725162987e-08,Arc_4
167,Zfp521,6.351797,3.422662,2.1281413314802267e-10,1.6321282073861427e-08,Arc_4
168,Hspa1b,6.3503165,1.0894784,2.1487246004679488e-10,1.6403893422476547e-08,Arc_4
169,Bmp4,6.3179874,2.4043252,2.6499131185114106e-10,2.013813519472376e-08,Arc_4
170,Ikzf2,6.2917657,3.1062207,3.138749041302944e-10,2.3638173523217984e-08,Arc_4
171,Olfml2a,6.28694,2.7770078,3.2378463868690773e-10,2.4275136207203632e-08,Arc_4
172,Slk,6.2591023,0.50977564,3.8719971631935436e-10,2.889996454081824e-08,Arc_4
173,Rest,6.256113,2.106164,3.946911091584516e-10,2.93145097456458e-08,Arc_4
174,Ski,6.2554936,0.99922407,3.9626049419917167e-10,2.93145097456458e-08,Arc_4
175,Id1,6.2333503,1.1580232,4.5656368902305117e-10,3.3333136754482066e-08,Arc_4
176,Me1,6.2320404,1.5180877,4.6039805657944415e-10,3.346693525196403e-08,Arc_4
177,Wfdc2,6.223307,0.88166845,4.86783142881948e-10,3.5079859335531414e-08,Arc_4
178,Sh2d4a,6.194779,2.049245,5.836681416885607e-10,4.188132043300879e-08,Arc_4
179,Vmp1,6.1913486,0.9778126,5.965170056511854e-10,4.262037528838534e-08,Arc_4
180,Hes1,6.172294,1.9071578,6.730613510137377e-10,4.74806444202476e-08,Arc_4
181,Nfe2l2,6.159895,1.2174015,7.279319424602054e-10,5.1135689689042746e-08,Arc_4
182,Ccdc82,6.15356,1.0662931,7.576260367208574e-10,5.299895275287035e-08,Arc_4
183,Chad,6.1436167,2.456954,8.066336889084034e-10,5.619211935358165e-08,Arc_4
184,Cyp4b1,6.142307,2.9880366,8.133146416944904e-10,5.64224377364738e-08,Arc_4
185,Sik1,6.1401505,1.3519453,8.24434221178107e-10,5.695750307387095e-08,Arc_4
186,Rplp1,6.1327834,0.5957313,8.635465995339621e-10,5.9414138261762605e-08,Arc_4
187,4930523C07Rik,6.0726953,1.7328619,1.2578097039998183e-09,8.548504244379253e-08,Arc_4
188,Tmbim6,6.0661826,1.0640043,1.3098623293634511e-09,8.866230074747993e-08,Arc_4
189,Ddx58,6.0586877,1.5315254,1.3723666133875138e-09,9.251853794042678e-08,Arc_4
190,Gstm1,6.01433,2.33836,1.806325706926592e-09,1.2128497788797467e-07,Arc_4
191,Rbm5,6.0127354,0.5840353,1.824187708247269e-09,1.2199437717674435e-07,Arc_4
192,Aox3,6.0113187,3.0794127,1.8402004583842903e-09,1.225749460706253e-07,Arc_4
0,Cacna2d1,17.859217,2.6702473,2.450528925227308e-71,4.097039310087536e-67,Arc_5
1,Xist,14.438481,1.9290409,2.963003769665834e-47,1.238461500626077e-43,Arc_5
2,Ascl1,13.880805,1.5804174,8.2808468968062445e-44,2.768949585354072e-40,Arc_5
3,Espn,12.188518,1.5195678,3.578720280269505e-34,8.547517766546551e-31,Arc_5
4,Slc8a1,11.377547,2.0916953,5.409973691714174e-30,1.1128487445141312e-26,Arc_5
5,Runx1t1,11.368651,1.8079813,5.9905728217161194e-30,1.1128487445141312e-26,Arc_5
6,Casz1,11.117933,1.9301625,1.0262130834531572e-28,1.6136776275825426e-25,Arc_5
7,Ddx5,11.114901,1.1906412,1.061693516562472e-28,1.6136776275825426e-25,Arc_5
8,Nrxn1,10.689757,1.3608879,1.136674397035983e-26,1.5836716036703833e-23,Arc_5
9,Prox1,10.529333,1.5877225,6.328108116396941e-26,8.138433815233882e-23,Arc_5
10,Syt7,10.457469,1.635951,1.3542469730131228e-25,1.6172610815576e-22,Arc_5
11,Tcf4,10.424221,1.7074667,1.9222731194605733e-25,2.142565618950755e-22,Arc_5
12,Ogfrl1,10.015258,2.2287393,1.306213333276938e-23,1.3649112949410704e-20,Arc_5
13,Clca3a2,9.960643,2.6079,2.265921838524456e-23,2.228467483428846e-20,Arc_5
14,Cnot6l,9.933847,1.634255,2.9658566996933726e-23,2.7547865645651945e-20,Arc_5
15,Atp8a1,9.662208,1.1538256,4.363557444620305e-22,3.8397008903477306e-19,Arc_5
16,Scn9a,9.64249,1.8992689,5.288893682964253e-22,4.421250674273968e-19,Arc_5
17,C1galt1,9.5870695,1.617757,9.062224044542657e-22,7.214824942890889e-19,Arc_5
18,Ttc3,9.541195,1.134104,1.4119648065043578e-21,1.0730290727248344e-18,Arc_5
19,Sox11,9.435505,2.9921167,3.891161062581604e-21,2.8285357306652972e-18,Arc_5
20,Igfbp5,9.413717,1.2750499,4.788959829439766e-21,3.3361091411834767e-18,Arc_5
21,Scd2,9.363544,1.6605772,7.710581763359776e-21,5.156528660064485e-18,Arc_5
22,Celf4,9.351146,1.2989305,8.670346280191559e-21,5.5753661330201025e-18,Arc_5
23,Snx30,9.256555,1.4887348,2.1113544430379735e-20,1.3073975901167362e-17,Arc_5
24,Ago2,9.0351715,1.3847352,1.6374497968624267e-19,9.777329697765326e-17,Arc_5
25,Clca3b,8.775317,1.8886322,1.7042291098881472e-18,9.82517465111032e-16,Arc_5
26,Mycbp2,8.719234,1.0081643,2.800897668412418e-18,1.5609402706062406e-15,Arc_5
27,Purb,8.60767,1.0242742,7.4560459181477e-18,4.021213925984239e-15,Arc_5
28,Miat,8.564322,2.7005186,1.0871280947631802e-17,5.54357284033349e-15,Arc_5
29,Ptbp3,8.563577,1.4869424,1.0941916605718355e-17,5.54357284033349e-15,Arc_5
30,Kcnq1ot1,8.501114,1.1543905,1.8778036981552274e-17,9.23382353807566e-15,Arc_5
31,Rock1,8.496106,0.9571464,1.960568769065997e-17,9.291091774548095e-15,Arc_5
32,Rbms1,8.493759,1.3851577,2.00059395827341e-17,9.291091774548095e-15,Arc_5
33,Msi2,8.439096,1.4252288,3.198008231353407e-17,1.4450675572972328e-14,Arc_5
34,Ddc,8.408124,1.2451301,4.16622105618576e-17,1.833027627325519e-14,Arc_5
35,Syt1,8.2334585,1.584919,1.8188418161686725e-16,7.797234955006163e-14,Arc_5
36,Kif1b,8.204436,1.5191242,2.3167569023532084e-16,9.683464662610823e-14,Arc_5
37,Nfib,8.129442,1.2426848,4.3127055211630585e-16,1.758637161178663e-13,Arc_5
38,Gsk3b,8.096243,1.1645062,5.668274542615644e-16,2.2563781447140703e-13,Arc_5
39,Psip1,8.060612,1.1202898,7.591379417679053e-16,2.9516342438180486e-13,Arc_5
40,Smpd3,8.057277,1.0097502,7.801273384056007e-16,2.964306584273463e-13,Arc_5
41,H2-D1,7.9606514,0.84492224,1.711357034801332e-15,6.358261836631883e-13,Arc_5
42,Tanc2,7.909155,1.0114843,2.591420290761619e-15,9.41868605244424e-13,Arc_5
43,Elavl3,7.8558645,2.3540092,3.9702367416307185e-15,1.4123061294324252e-12,Arc_5
44,Iqgap1,7.843911,0.77978987,4.3672548462160465e-15,1.5211694536226265e-12,Arc_5
45,Pcsk1,7.8192706,1.0484194,5.3130343508844246e-15,1.812829006376259e-12,Arc_5
46,Ttn,7.8073535,3.2892475,5.840139500836772e-15,1.9279249020652468e-12,Arc_5
47,Neat1,7.8064747,0.79053164,5.880983910839619e-15,1.9279249020652468e-12,Arc_5
48,Phip,7.749645,0.86321926,9.214961700750179e-15,2.9627873975931204e-12,Arc_5
49,Glg1,7.709897,1.1336471,1.2591907737428994e-14,3.972152933246705e-12,Arc_5
50,Pclo,7.6894336,0.79515916,1.4778803373502234e-14,4.575681733362664e-12,Arc_5
51,Ccn3,7.630004,0.7819705,2.3474643087104163e-14,7.135864686787172e-12,Arc_5
52,Calca,7.610816,1.115423,2.7237047359903223e-14,8.13171776446825e-12,Arc_5
53,Col8a1,7.4846263,0.85135394,7.175092111307024e-14,2.104567807174423e-11,Arc_5
54,Cacna1a,7.4778733,1.0208681,7.553491861040957e-14,2.1773591452542026e-11,Arc_5
55,Cbx5,7.441604,1.0911137,9.946985291711109e-14,2.818705882917255e-11,Arc_5
56,Adgrl1,7.4250045,1.4773264,1.127761290836513e-13,3.122065291888383e-11,Arc_5
57,Pum2,7.4236803,1.3647552,1.139099125576837e-13,3.122065291888383e-11,Arc_5
58,Celf2,7.413304,1.8123469,1.2319111164963318e-13,3.321987412371318e-11,Arc_5
59,Hspa4l,7.4019165,1.117596,1.342329899845457e-13,3.562287872304158e-11,Arc_5
60,Ro60,7.386063,1.2706716,1.5124020660503965e-13,3.9509140847338405e-11,Arc_5
61,Slc38a2,7.3486023,0.98608196,2.002904684377879e-13,5.151778987402117e-11,Arc_5
62,Tnrc6c,7.312706,0.98637027,2.618152631588901e-13,6.632256643565883e-11,Arc_5
63,Tmod2,7.304906,1.7351481,2.774611386228732e-13,6.923690711396741e-11,Arc_5
64,Nbea,7.2516756,0.91785353,4.1164659007225425e-13,1.0121057852085322e-10,Arc_5
