,gene,accuracy,balanced_accuracy_score,f1,roc_auc_score,precision,recall,explained_variance,max_error,r2,log-loss
18,NFATC2,0.9422566371681416,0.9405136131984513,0.9518005540166204,0.9782868336878836,0.9544444444444444,0.949171270718232,0.8654479944630851,0.6652256293027897,0.8513715910184418,0.24415629486825613
19,NFIA,0.9853982300884956,0.980815397298604,0.9797172710510141,0.9995751381117568,0.99625,0.9637243047158404,0.8771777822610798,0.47291399999999995,0.8736681803974965,0.21827771350670877
20,NFIB,0.8661504424778761,0.8663227075658472,0.851969659897235,0.9765568221687593,0.9550191991223258,0.7689929328621908,0.7573251659911718,0.606538,0.7405642796171514,0.3333417027188457
21,NFIX,0.977212389380531,0.9723677499438619,0.9691524408505541,0.9953121569629171,0.9859841560024375,0.9528857479387515,0.8713318991613908,0.5695005971259489,0.8705927688681401,0.2119158838071783
22,NFKB1,0.6393805309734514,0.6355407547770127,0.5676392572944298,0.6718812570578633,0.6823979591836735,0.485921889191644,-0.0025138082190381272,0.996323,-0.002592805024181688,0.7541084403204231
23,NR3C2,0.8336283185840708,0.830871304134462,0.8482647296206618,0.8947251625567415,0.8144130182099961,0.8850526315789473,0.6042876794235218,0.874328,0.6023256277757716,0.40395787991818644
24,PBX1,0.9066371681415929,0.9066359982582599,0.9063055062166963,0.9701474448736143,0.9063055062166963,0.9063055062166963,0.7077676892238915,0.5233838083883255,0.7075955503075174,0.3513094548075233
25,PKNOX2,0.8608407079646018,0.8572456095899148,0.8786417132934595,0.9148817260686669,0.7972689075630253,0.9785131070047272,0.6216141640639699,0.7871229607739486,0.6204611601544612,0.38302013938114143
26,PPARG,0.41991150442477876,0.4237677998395507,0.28399781540142,0.4064826827617328,0.38291605301914583,0.22569444444444445,-0.5718552780881225,0.996423,-0.5863161902807297,1.0242520351110114
27,PRDM16,0.8530973451327434,0.8095242576741184,0.7642045454545454,0.9235993950926885,0.9547471162377995,0.6370633510953226,0.5208313339032862,0.76352,0.5203837762661621,0.4049749541556855
28,PROX1,0.9767699115044248,0.9722171250410185,0.9813067473740431,0.9985454435746173,0.9707643536456498,0.9920806335493161,0.9044780932223185,0.39881588665929724,0.876162677904384,0.22149414860801805
29,RARB,0.9466814159292035,0.9441623444536935,0.9259145404242237,0.9844889116561013,0.91661594643944,0.9354037267080745,0.8190966981950194,0.8423510350665703,0.786195188956797,0.23926480075673212
30,REST,0.9962389380530974,0.9950263311878291,0.9950014701558365,1.0,1.0,0.9900526623756583,0.926655444316,0.15246400000000004,0.9263800284455321,0.20540881318464152
31,RORA,0.9971238938053097,0.9973006644518272,0.9969317913618125,1.0,0.9938823529411764,1.0,0.923394492271,0.1433,0.9227961879502615,0.24775970638869255
32,RORB,0.9216814159292035,0.9242430852276609,0.9342984409799554,0.9811245626179627,0.9570342205323193,0.9126178390137781,0.7975029016105176,0.6033263883289315,0.785737929690369,0.27913162908777417
33,RUNX1,0.9670353982300885,0.965189944543625,0.9555356609967173,0.9877223396074383,0.9529761904761904,0.9581089168162776,0.7981347527812933,0.820199271680694,0.7901448827376538,0.2697664517203929
34,SIX1,0.9079646017699115,0.9108689160943565,0.9158916295996764,0.9754499850701702,0.9453255425709516,0.888235294117647,0.8194196116802489,0.7123983470105313,0.8044793273057387,0.29121137348204884
35,SIX4,0.8858407079646018,0.8915760675220277,0.9005013497878904,0.9603970503226402,0.9419120613150463,0.8625785001847063,0.7353603067593193,0.991205,0.7188860120703764,0.3299208402592734
36,SMAD3,0.9345132743362832,0.9240826143359171,0.9155733029092983,0.9869435168418301,0.9709618874773139,0.8661629789530491,0.821909402135399,0.6607116486234312,0.8157211416564252,0.279298248443705
37,SOX9,0.9966814159292036,0.9960794563512807,0.9960640251902387,1.0,1.0,0.9921589127025614,0.922928801311,0.15235100000000001,0.9228954563623656,0.22379690575370054
38,SP100,0.9710176991150442,0.9675034677188905,0.9603150560436231,0.9961207033609971,0.9664634146341463,0.9542444310656231,0.8035826109114207,0.5793130249562057,0.7824163247402693,0.28722230232271734
39,STAT1,0.9378318584070796,0.9166883034215666,0.909032049206863,0.9875927169845456,0.999288256227758,0.833729216152019,0.7773268000676272,0.680495904985707,0.7733398931139961,0.28153560557728713
40,TBX15,0.786504424778761,0.7864557299819348,0.8077306236302052,0.8754490123441562,0.7349528643944888,0.8965059708093763,0.47057887040790847,0.995966190355322,0.467512436977767,0.5097746556903499
41,TCF12,0.8424778761061947,0.8368535113185649,0.862015503875969,0.8974641350741833,0.806966618287373,0.9251247920133111,0.5047841756752115,0.838886,0.4993535126536658,0.46779923151272923
42,TCF4,0.995575221238938,0.9956483899042645,0.9955197132616488,1.0,0.9910793933987511,1.0,0.9221885711910001,0.146397,0.9217691579563582,0.250878727406536
43,TCF7L2,0.9601769911504425,0.9532743362831858,0.9457504520795661,0.9883968987391336,0.966728280961183,0.9256637168141593,0.7472839011404713,0.7784106685616193,0.7441958844130093,0.30315614473456653
44,TEAD1,0.9564159292035398,0.9558856033031423,0.9543241363320195,0.9944632158611025,0.9721303731695796,0.9371584699453552,0.8309077396305355,0.4515839553847282,0.8246332973562038,0.3044221467159809
45,ZBTB18,0.9984513274336283,0.9984635645302897,0.9984612002637943,1.0,1.0,0.9969271290605795,0.926045373084,0.13861400000000001,0.9259924434184688,0.2492588720734536
46,ZBTB20,0.5196902654867257,0.5175401521141085,0.4787515006002401,0.5577934220851869,0.5020140986908358,0.4575493345571363,-0.20306371075970042,0.9064091502210443,-0.2030769202624223,0.7813799266450714
47,ZBTB7A,0.9973451327433628,0.9974215728405673,0.9972714870395634,1.0,0.9945578231292517,1.0,0.926911958896,0.138048,0.9267635565546815,0.24780423431114562
48,ZEB1,0.9475663716814159,0.9370109094104753,0.9575800966529444,0.9897377941460073,0.9259259259259259,0.991475166790215,0.8066256980641009,0.674289385237144,0.7894840838361827,0.27828740661883306
