,NFYC,STAT2,SIX4,FOS,ETS1,NCAM1,NFIB,HSF2,RORA_RORB,SIX1,NFIX,ESR1,JUN,SOX9,RUNX1,PKNOX2,ASCL1,FOXO3,TCF7L1,STAT1,TEAD1,BACH1,CUX2,EHF,ZBTB20,ZEB1,NR6A1,EPCAM,TFDP1,THRB,GRHL2,CREB1,JUNB,KMT2A,RBPJ,SMAD3,NFIA,PROX1,TBX15,TCF4,BACH2,NFATC2,JUND,LMX1B,NFKB1,MEIS2,TCF7L2,REST,PBX1,SOX11,ICAM1,HES1,EGR1
TCF7L1,,,,,,,5.490070408394617,,,,,,,,1.1382887708713705,,-1.914930957127301,,,,,,,5.544476487892736,,,,,,,,,,,,,8.354588254075747,,,,,,,,,,,5.686141928843166,,,,,
STAT1,,,,,,,,,,,,,,,,,,,,0.7206131566008432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAD1,,,,,,,12.676136484982523,,,,,,,,1.710877174661472,,,,,,,,,1.9329863731296821,,,,,,,,,,,,,,,,12.088435310440389,,,,,,,,,2.792822632165417,,,,4.682046852182715
BACH1,,,,,,,,,,,,,,,0.8871575362875364,,,,,,5.205394351610895,,,3.025349472817974,,,,,,,,,,,,,,,,6.1177209112318645,,,1.8859067963984297,,,,,,,,,,
CUX2,,,,,,,8.102196768404102,,3.542436679190657,,,,,,-6.3888375918183895,,,,,,,,,-4.587204576154882,,,,,7.256451254767575,,,,,,,,,,,,,,,,,9.567616782866196,,,,,,,
EHF,,,,,,,0.3423570006485138,,,,,,,,1.0440781704619186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB20,,,,,5.678711789144119,,,,,,,,-7.579728231713201,,,,,,,,,,,,,,,,,,,9.340220416916377,,,,,5.182047494028877,,7.737590909504051,,,,7.980471141492864,,,,,,,,,,
ZEB1,,,,,,,,,,,,,,,,,,,,,,,,,,0.7352758770600663,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR6A1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7829863577242777,,,,,,,,,,,,,,,,,,,,,,,,,,
EPCAM,,,,-6.1877632544986705,,,,,,,,,-5.205921854162347,,,,,,,2.7387680199006215,,,,,,,8.76781930125001,,,,,,,,,,,,,11.772101611489383,,,,,,,,,,,,2.2216005702263963,
TFDP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7552929518214624,,,,,,,,,,,,,,,,,,,,,,,,
THRB,,,,,,,,,,0.5676163152804365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRHL2,,,,,,,2.7791193671098866,,,,,,,,0.650316752208984,,,,,,,,,,,,,,,,,,,,,,2.6598012131192124,,,2.6572767172753107,,,,,,,,,,,,,
CREB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8442301527613707,,,,,,,,,,,,,,,,,,,,,
JUNB,,,,,,,,,,,,,,,,,,,,,-1.2608787794653917,,,,,,,,,,,,,,,,,-0.5859658296642516,,,,,,,,,,,,,,,1.5828850285890184
KMT2A,,,,,,,,,,,,,3.3692257049063734,,,,,,,-6.696205084894345,,,,,,,,,,,,,,,,,,,,,,4.315498208137971,-6.36484982159466,6.6759255410048155,,,,,,,,,5.241783651392802
RBPJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8033016345108884,,,,,,,,,,,,,,,,,,
SMAD3,,,,,,,,,,,,,,,3.862862125483771,,-5.320822308601751,,,,,,,3.431434544668438,,,,,,,,,,,,,,,,,,,,,,,,3.981119803867629,3.2343691281294076,,,,
NFIA,,,,,,,5.786391988134045,,,,,,,,6.762853140556945,,,,,8.266772344507427,,,,3.7623123943844874,,,,,,,,,,,,,,,,3.9644447757708674,,,,,,-3.46356749235355,,,,,,,
PROX1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8731202355588666,,,,,,,0.9206833398808154,,,,,,,,,,,
TBX15,,,,,,,,,,10.343771277449429,-9.078084860655418,1.4890975169423173,,,,,,,,,,,,,,,,,,,5.657456669032278,,,,,,2.6985869798824544,,,,,7.29791214725621,,,,,,,,,,,
TCF4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7705246241894069,,,,,,,,,,,,,
BACH2,,,,,,,0.6332799066614362,,,,,,,,,,-2.0018402001696125,,,,0.8425819782949856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFATC2,,,,,,,,,,,,,-0.24713709723478006,,,,1.079084941625585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0338557993112434,,,,,,,
JUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7263591641774437,,,,,,,,,,
LMX1B,,,,,,,,,,,,,,,,,1.229534314414722,,,,,,,,,,,,,,,,,,,,,,,,,,-0.38601680700137453,,,3.6798001835848626,,,,,,,1.6237774810853107
NFKB1,,,,,,,2.7588809095649105,,,,,,,,0.872191521822612,,3.477008015287436,,,,,,,1.723531028575514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEIS2,,,,,,,,,,,,,,,-2.4910095680188293,,1.3972596867670373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.6632210669065715,,,,,1.8471473009187827
TCF7L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.8654768447109853,,,,,,,,4.437113347943483,-4.031037173661041,,,,,,,,-3.5620606687669607,,,,,,,-0.24936368252358102
REST,,,,,,,,,,,,,,0.7479466153406756,,,-2.260433298327755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0321399994789493,
PBX1,,,,,,,0.8022528155173378,,,,,,,,0.9209484371743453,,1.3664559416883613,,,,,,,1.90402796973349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOX11,,,,,,,,,,,,,-1.6433504590968306,,,,,,,,,1.3470039960699727,,,,,,,,,,2.5936913910218125,,,,-2.0417830138751976,,,,,,,,,,,,,,,,,
ICAM1,,,,,,,,,-2.6471218717275318,,,,,,11.43424495828931,,,,,2.2830668251810646,,,,,,,,,,,,,,,,,4.400330295729009,,,,,,,,,-6.594186482828356,,,,,,,0.34384248986371646
HES1,,,,,,,2.8824841326101422,,0.29722237468100654,,,,,,5.908820232540626,,-1.7178953133266077,,,,,,,,,,,,,,,,,,,,,,,,,,3.597539597663264,,,,,,,,,,
EGR1,,,,,,,1.049265358102128,,4.817277115189849,,,,,,-4.951175901638319,,,,,,,,,,,,,,3.8871498644337628,,,,,,,,,,,,,,3.7408039807587805,,,10.685691913011254,,,,,,,
