,NFYC,STAT2,SIX4,FOS,ETS1,NCAM1,NFIB,HSF2,RORA_RORB,SIX1,NFIX,ESR1,JUN,SOX9,RUNX1,PKNOX2,ASCL1,FOXO3,TCF7L1,STAT1,TEAD1,BACH1,CUX2,EHF,ZBTB20,ZEB1,NR6A1,EPCAM,TFDP1,THRB,GRHL2,CREB1,JUNB,KMT2A,RBPJ,SMAD3,NFIA,PROX1,TBX15,TCF4,BACH2,NFATC2,JUND,LMX1B,NFKB1,MEIS2,TCF7L2,REST,PBX1,SOX11,ICAM1,HES1,EGR1
THRB,,,,,,,,,,0.5676163152804365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRHL2,,,,,,,2.779119367109886,,,,,,,,0.8007816475831869,,,,,,,,,,,,,,,,,,,,,,2.659801213119212,,,2.6572767172753107,,,,,,,,,,,,,
CREB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8442301527613707,,,,,,,,,,,,,,,,,,,,,
JUNB,,,,,,,,,,,,,,,,,,,,,1.2608787794653917,,,,,,,,,,,,,,,,,0.8993747984521188,,,,,,,,,,,,,,,1.5828850285890184
KMT2A,,,,,,,,,,,,,4.980054632699506,,,,,,,6.927648505802917,,,,,,,,,,,,,,,,,,,,,,5.4493498019483315,6.93984523334525,7.3493256820673585,,,,,,,,,5.597628062129245
RBPJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8033016345108884,,,,,,,,,,,,,,,,,,
SMAD3,,,,,,,,,,,,,,,3.8628621254837725,,5.320822308601751,,,,,,,3.4314345446684373,,,,,,,,,,,,,,,,,,,,,,,,3.981119803867629,3.5050132161660623,,,,
NFIA,,,,,,,6.848889825035327,,,,,,,,7.005374650265964,,,,,8.266772344507428,,,,5.247844098527264,,,,,,,,,,,,,,,,6.621510761408588,,,,,,5.508982691789023,,,,,,,
PROX1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8731202355588666,,,,,,,0.9206833398808154,,,,,,,,,,,
TBX15,,,,,,,,,,10.343771277449427,9.078084860655418,2.955752679517862,,,,,,,,,,,,,,,,,,,6.045323517870474,,,,,,4.707559423261976,,,,,7.297912147256209,,,,,,,,,,,
TCF4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7705246241894069,,,,,,,,,,,,,
BACH2,,,,,,,0.8867410432442581,,,,,,,,,,2.0018402001696125,,,,1.0130609359804215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFATC2,,,,,,,,,,,,,0.30613040610801423,,,,1.079084941625585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.033855799311244,,,,,,,
JUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7263591641774437,,,,,,,,,,
LMX1B,,,,,,,,,,,,,,,,,1.4500206145120846,,,,,,,,,,,,,,,,,,,,,,,,,,1.5257013511611202,,,3.6798001835848635,,,,,,,1.6237774810853107
NFKB1,,,,,,,2.75888090956491,,,,,,,,0.9191366730456423,,3.477008015287436,,,,,,,1.7235310285755145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEIS2,,,,,,,,,,,,,,,2.517757899172626,,1.3972596867670373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6632210669065715,,,,,1.8471473009187822
TCF7L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9002552625205014,,,,,,,,4.5260620101055515,4.0310371736610415,,,,,,,,3.5930424986266845,,,,,,,1.0498340818307668
REST,,,,,,,,,,,,,,0.7491715693427432,,,2.2604332983277544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.050906823076871,
PBX1,,,,,,,1.6109880481353585,,,,,,,,1.4302713225458408,,1.9706598719689317,,,,,,,2.4433556169590918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOX11,,,,,,,,,,,,,1.6891527819683267,,,,,,,,,1.936801818277157,,,,,,,,,,2.5936913910218125,,,,2.122479379508067,,,,,,,,,,,,,,,,,
ICAM1,,,,,,,,,4.791485458823454,,,,,,11.434244958289316,,,,,4.059908155359034,,,,,,,,,,,,,,,,,5.3696862499642855,,,,,,,,,7.054472337522947,,,,,,,3.235619560635231
HES1,,,,,,,3.0437514031428403,,2.8706071683438936,,,,,,5.908820232540624,,3.139298645895263,,,,,,,,,,,,,,,,,,,,,,,,,,3.8378440809687215,,,,,,,,,,
EGR1,,,,,,,4.95155378148166,,4.965675662927422,,,,,,5.510065300607859,,,,,,,,,,,,,,5.085188823799308,,,,,,,,,,,,,,5.951112797683761,,,10.685691913011256,,,,,,,
