,TCF7L2,GRHL2,MEIS2,ZEB1,JUNB,TFDP1,RORA_RORB,ASCL1,NFIX,TEAD1,SIX4,TCF7L1,NR6A1,LMX1B,ESR1,FOS,JUN,NCAM1,ZBTB20,CREB1,TBX15,ICAM1,RUNX1,KMT2A,BACH2,REST,THRB,JUND,NFATC2,ETS1,RBPJ,NFKB1,FOXO3,STAT1,PKNOX2,HSF2,TCF4,CUX2,SOX9,BACH1,EGR1,SIX1,EHF,NFIB,NFYC,PBX1,NFIA,SMAD3,EPCAM,SOX11,STAT2,PROX1,HES1
SIX4,,,,,,,,,-14.882875916960838,38.337350263983915,,5.293090693304711,,11.812867225432871,,,,,,,,,2.091656609328563,,,-1.4020764489149142,,,,,,,,,,,,,,,,36.645217609391764,,,11.010096354633479,,,,,,,,
TCF7L1,,,,,,,,0.37210059232338677,,,,,,,,,,,,,,,1.5038097049110304,,,3.2761512037139666,,,,,,,,,,,,,,,,,3.8456340041458126,4.675774473372598,,,4.798699493667043,,,,,,
NR6A1,,,,,,,,,,,,,0.6378413124715899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMX1B,,,3.5141446110797787,,,,,1.2754568258915746,,,,,,,,,,,,,,,,,,,,-0.6854070932261762,,,,,,,,,,,,,1.0941735238535566,,,,,,,,,,,,
ESR1,,,,,,,,,,,,,,,0.3728003921340508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOS,,,,,,-9.284727984662743,-19.71967868288426,4.350618193998826,,-13.480451636554259,,,,,,,39.46417906385035,,,,,,-7.780611172083797,,,-4.050864775832536,,,,,,,,,,,,,,,17.21147006359015,,,,,,,,,,,,
JUN,,,,,6.270359108811415,,,,,,,,,,,9.810760237138885,,,,,,,1.1040944028446256,,,,,,,,,,,,,,-15.397666884738957,,,,-0.3951589468686964,,1.8896682349250193,,,,,,,,,,
NCAM1,,,13.54803565780854,,,21.719269763650026,,,-10.771516747579675,,,,,,,,,,,,,,-3.785651835532855,,,,,,,,,,,,,,,,,,11.247463382315198,,,,6.228859513484762,,2.0738958324403662,,,,,,
ZBTB20,,,,,,,,,,,,,,,,-2.890831545321096,-11.793360812540053,,,33.21126268164761,10.54508070345541,,,,,,,13.699788614043623,,8.859674656610775,,,,,,,,,,,,,,,,,4.813425140129187,,,,,,
CREB1,,,,,,,,,,,,,,,,,,,,0.9340934219785508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBX15,,3.765891633258346,,,,,,,-5.544364759165104,,,,,,-0.08302336991184689,,,,,,,,,,,,,,6.015070824547393,,,,,,,,,,,,,13.152135842778492,,,,,0.29860223754369397,,,,,,
ICAM1,,,-6.063756961680238,,,,0.14945693713874542,,,,,,,,,,,,,,,,6.717470311207407,,,,,,,,,,,3.8648217827817213,,,,,,,0.7496432764926163,,,,,,4.919556280570943,,,,,,
RUNX1,11.132337713122478,,,,,,,,,-4.220511671418825,,,,,,-3.1689681622627366,,,,,,,,,,,,7.332077477602212,,,,,,9.23871870189444,,,,,,,,,,-4.352117616875298,,3.246080734942505,,,,,,,
KMT2A,,,,,,,,,,,,,,7.469933032083287,,,6.424060431631173,,,,,,,,,,,-13.937622595031476,8.552858811405873,,,,,-12.205359643021021,,,,,,,10.7749974517316,,0.4172763913059532,,,,,,,,,,
BACH2,,,,,,,,-0.9045826833211823,,0.6443727990507429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1815621015375396,,,,,,,,,
REST,,,,,,,,-2.0214524649595407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6151856300584024,,,,,,,,,,,,,,0.5947496528231973
THRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.372173624400934,,,,,,,,,,,
JUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.718683418874741,,,,,,,,,,,,,,,,,,,,,,,,,
NFATC2,,,1.7421382160854963,,,,,0.86810366997963,,,,,,,,,-0.33424921524953743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETS1,,,,,,,,,-1.0832152101072756,,,,,,,-1.1803226141360645,,,,,,,,,0.5195917039223186,,,,,,,,,,,,5.13258185999303,,,,,,,,,,,,,,,,
RBPJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8224354204164676,,,,,,,,,,,,,,,,,,,,,,
NFKB1,,,,,,,,1.6970597751140204,,,,,,,,,,,,,,,0.8960330411233766,,,,,,,,,,,,,,,,,,,,1.5282126716262945,3.3328300111257296,,,,,,,,,
FOXO3,,,-1.5841957736754875,,,,2.511666238496697,,,,,,,,,-1.379708921784534,,,,,,,,,,,,,,,,,,,,,,,2.0406879753895497,,,,,,,,,,,,,,
STAT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6023685777855553,,,,,,,,,,,,,,,,,,,
PKNOX2,-1.3507199685145679,,,,,,,,,,,0.5114270999023758,,,,,,,,,,,,,,-2.9283681911128916,,,,,4.5411297522848075,,,1.4821877750095436,,,,,,,,,,,,,,,,,,,
HSF2,,,,3.274561018009212,,7.287106889954089,,,,2.0239507323673216,,,,,,,,,,,,,,,,,,,,,,,,,,,9.515646674402866,,,,5.395412099882548,,,,-1.8200952246323294,,,,,,,,
TCF4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9424812089978463,,,,,,,,,,,,,,,,
CUX2,,,19.959779940144283,,,8.395528255039467,9.518751439161829,,,,,,,,,,,,,,,,-7.27025893987545,,,,,-2.032006854410454,,,,,,,,,,,,,,,-2.677119329405286,7.7921477094526965,,,,,,,,,
SOX9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44426075655807445,,,,,,,,,,,,,,
BACH1,,,,,,,,,,4.456662220566229,,,,,,,,,,,,,0.8562105514068005,,,,,0.9714425863032827,,,,,,,,,3.675488459978461,,,,,,2.5603118360663615,,,,,,,,,,
EGR1,,,21.019535506895515,,,7.226784025457589,12.958280203993581,,,,,,,,,,,,,,,,-5.497118418058444,,,,,1.736187540848086,,,,,,,,,,,,,,,2.543489930223868,2.215849226137016,,,,,,,,,
SIX1,,,,,,,4.387786264913087,,,,,,,,,,,,,,,,-0.9221775424237112,,,-1.1965066760553236,,,,,,,,,,,6.9255043779912215,,,,,,-0.8692472320075154,,,,,,,,,,
EHF,,,,,,,,,,,,,,,,,,,,,,,0.7426077402273847,,,,,,,,,,,,,,,,,,,,,0.38745613186985806,,,,,,,,,
NFIB,,,,-7.208594639823956,,,,21.86511449580073,,,,16.714671100569422,,,,,,,,,,,,,,,27.13517481836533,,,,,,,27.508797981964012,4.651323839117296,10.665335672043424,54.92523608330185,,,,,,,,,,,,,,,,
NFYC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5254039017037808,,,,,,,,
PBX1,,,,,,,,0.6806790520749977,,,,,,,,,,,,,,,0.9174267035953748,,,,,,,,,,,,,,,,,,,,1.923759893724443,0.743857822501987,,,,,,,,,
NFIA,,,-8.409580959252713,,,,,,5.339850119806236,,,,,,,,,,,,,,5.413975670242721,,,,,,,,,,,11.1282991832032,,,5.646234654644597,,,,,,7.107760608976234,16.312602301977655,,,,,,,,,
SMAD3,,,,,,,,-3.8741655186472896,,,,,,,,,,,,,,,2.2074452585290145,,,2.9317616414267764,,,,,,,,,,,,,,,,,3.4587652534574866,,,1.9457194522559105,,,,,,,
EPCAM,,,,,,,,,,,,,4.6506607665259505,,,-4.145058081292325,-3.83285012062187,,,,,,,,,,,,,,,,,2.3839662627459246,,,21.20994005864128,,,,,,,,,,,,,,,,2.6964187422959567
SOX11,,,,,,,,,,,,,,,,,-1.043130196141028,,,3.882623682901375,,,,,,,,,,,,,,,,,,,,0.5479372776537077,,,,,,,,-0.5939889429375028,,,,,
STAT2,,,,,,,,,,2.1719942068395497,,2.548255985695655,,,,,,,,,,,1.9713782904091792,,,,,,,,,,,,,,,,,,,,,-1.0995523876616367,,,2.733242216210755,,,,,,
PROX1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9760731502584341,,0.64121804650651,,,,,,,,,,,,,,,,,,,,,,
HES1,,,,,,,0.13090962447783427,-2.4823910314646427,,,,,,,,,,,,,,,4.268775965121611,,,,,5.058025922750847,,,,,,,,,,,,,,,,2.974189733606835,,,,,,,,,
