,TCF7L2,GRHL2,MEIS2,ZEB1,JUNB,TFDP1,RORA_RORB,ASCL1,NFIX,TEAD1,SIX4,TCF7L1,NR6A1,LMX1B,ESR1,FOS,JUN,NCAM1,ZBTB20,CREB1,TBX15,ICAM1,RUNX1,KMT2A,BACH2,REST,THRB,JUND,NFATC2,ETS1,RBPJ,NFKB1,FOXO3,STAT1,PKNOX2,HSF2,TCF4,CUX2,SOX9,BACH1,EGR1,SIX1,EHF,NFIB,NFYC,PBX1,NFIA,SMAD3,EPCAM,SOX11,STAT2,PROX1,HES1
SIX4,,,,,,,,,15.173153653037627,38.369635003288735,,11.555626418808519,,12.134736270820742,,,,,,,,,11.781950519790184,,,11.431513688343827,,,,,,,,,,,,,,,,36.64521760939178,,,14.074233948770992,,,,,,,,
TCF7L1,,,,,,,,2.2630155767944995,,,,,,,,,,,,,,,2.465132503727168,,,3.627216311264194,,,,,,,,,,,,,,,,,4.152842692717125,4.895154158106161,,,4.839945896148559,,,,,,
NR6A1,,,,,,,,,,,,,0.6378413124715899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMX1B,,,3.5141446110797787,,,,,1.3321418868766446,,,,,,,,,,,,,,,,,,,,1.5314105403002896,,,,,,,,,,,,,1.0941735238535566,,,,,,,,,,,,
ESR1,,,,,,,,,,,,,,,0.3728003921340508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOS,,,,,,9.853116823239342,20.520604394451112,13.752218132154493,,20.3969832714342,,,,,,,39.46417906385036,,,,,,14.274578621238112,,,12.915109162451458,,,,,,,,,,,,,,,17.5867238241825,,,,,,,,,,,,
JUN,,,,,6.270359108811414,,,,,,,,,,,9.810760237138885,,,,,,,2.254890729056254,,,,,,,,,,,,,,15.397666884738959,,,,4.731405073946607,,2.7456052258255648,,,,,,,,,,
NCAM1,,,14.231972005496017,,,21.719269763650033,,,10.785499971595065,,,,,,,,,,,,,,6.025153728922994,,,,,,,,,,,,,,,,,,11.251417458711588,,,,6.849033121482126,,7.847818223825767,,,,,,
ZBTB20,,,,,,,,,,,,,,,,5.9917972719877755,11.964689309415123,,,33.21126268164761,11.599831321042611,,,,,,,14.113720409414992,,9.832155343649006,,,,,,,,,,,,,,,,,8.275316452374295,,,,,,
CREB1,,,,,,,,,,,,,,,,,,,,0.9340934219785508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBX15,,3.8265614584254495,,,,,,,5.544364759165102,,,,,,1.5095902739490037,,,,,,,,,,,,,,6.015070824547392,,,,,,,,,,,,,13.152135842778495,,,,,3.2017339074980917,,,,,,
ICAM1,,,7.281205535365594,,,,4.854095059451401,,,,,,,,,,,,,,,,6.717470311207406,,,,,,,,,,,4.216340926970024,,,,,,,3.15400826255986,,,,,,5.616007134456434,,,,,,
RUNX1,11.19533715550873,,,,,,,,,8.066945209772383,,,,,,7.161357733165194,,,,,,,,,,,,8.81888414220106,,,,,,10.225403792017365,,,,,,,,,,6.888292586757644,,4.196995831234254,,,,,,,
KMT2A,,,,,,,,,,,,,,8.8852933223846,,,9.922680053792917,,,,,,,,,,,15.378977802218381,10.502393597928066,,,,,12.744176085208139,,,,,,,12.562311796241554,,5.068913003389722,,,,,,,,,,
BACH2,,,,,,,,0.9045826833211822,,0.6443727990507431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4692620623130712,,,,,,,,,
REST,,,,,,,,2.021452464959541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6991086744783295,,,,,,,,,,,,,,0.796145135194982
THRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.372173624400934,,,,,,,,,,,
JUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.718683418874741,,,,,,,,,,,,,,,,,,,,,,,,,
NFATC2,,,1.7421382160854963,,,,,0.86810366997963,,,,,,,,,0.33424921524953743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETS1,,,,,,,,,1.0832152101072756,,,,,,,1.1803226141360645,,,,,,,,,0.6084453832475857,,,,,,,,,,,,5.13258185999303,,,,,,,,,,,,,,,,
RBPJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8224354204164676,,,,,,,,,,,,,,,,,,,,,,
NFKB1,,,,,,,,1.8347789641271341,,,,,,,,,,,,,,,0.9400670127492887,,,,,,,,,,,,,,,,,,,,1.5414619337249595,3.33283001112573,,,,,,,,,
FOXO3,,,1.9486911492146137,,,,2.511666238496697,,,,,,,,,1.379708921784534,,,,,,,,,,,,,,,,,,,,,,,2.0406879753895497,,,,,,,,,,,,,,
STAT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6023685777855553,,,,,,,,,,,,,,,,,,,
PKNOX2,1.4358504731075135,,,,,,,,,,,1.1631699728170728,,,,,,,,,,,,,,2.9283681911128916,,,,,4.5411297522848075,,,2.1738692340107546,,,,,,,,,,,,,,,,,,,
HSF2,,,,3.759565390326527,,7.28710688995409,,,,3.72199599567167,,,,,,,,,,,,,,,,,,,,,,,,,,,9.515646674402868,,,,5.396983872789282,,,,2.5923124378004463,,,,,,,,
TCF4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9424812089978463,,,,,,,,,,,,,,,,
CUX2,,,20.069549731696075,,,9.130489552907619,11.462276573803754,,,,,,,,,,,,,,,,7.270258939875448,,,,,5.101102367194977,,,,,,,,,,,,,,,6.590250435638042,11.487591109770664,,,,,,,,,
SOX9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44426075655807445,,,,,,,,,,,,,,
BACH1,,,,,,,,,,4.45666222056623,,,,,,,,,,,,,1.004392822284467,,,,,1.0785368643945457,,,,,,,,,3.675488459978461,,,,,,2.5603118360663615,,,,,,,,,,
EGR1,,,21.25653813007154,,,8.298714515015515,13.222623958905809,,,,,,,,,,,,,,,,6.740427309712029,,,,,7.562358022118538,,,,,,,,,,,,,,,7.063099021895971,9.912493731113962,,,,,,,,,
SIX1,,,,,,,4.387786264913088,,,,,,,,,,,,,,,,0.9349538898725916,,,1.3341091629427178,,,,,,,,,,,6.9255043779912215,,,,,,1.0798878969726187,,,,,,,,,,
EHF,,,,,,,,,,,,,,,,,,,,,,,0.7426077402273847,,,,,,,,,,,,,,,,,,,,,0.3874561318698581,,,,,,,,,
NFIB,,,,10.250072172484261,,,,22.724440068708407,,,,16.95048921677309,,,,,,,,,,,,,,,27.135174818365325,,,,,,,27.50879798196401,6.188670449051526,14.751215234605183,54.92523608330188,,,,,,,,,,,,,,,,
NFYC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5254039017037808,,,,,,,,
PBX1,,,,,,,,1.0431846694185687,,,,,,,,,,,,,,,0.9702389717181351,,,,,,,,,,,,,,,,,,,,1.923759893724443,0.9055373360119066,,,,,,,,,
NFIA,,,9.530804041288878,,,,,,5.965728923299452,,,,,,,,,,,,,,5.757968290870744,,,,,,,,,,,11.128299183203204,,,8.277077968963905,,,,,,8.395108443251045,16.60370941657248,,,,,,,,,
SMAD3,,,,,,,,3.8741655186472896,,,,,,,,,,,,,,,2.2074452585290136,,,2.9317616414267764,,,,,,,,,,,,,,,,,3.458765253457487,,,1.9636810896373083,,,,,,,
EPCAM,,,,,,,,,,,,,4.697495194698436,,,4.183655273914125,5.002442171930232,,,,,,,,,,,,,,,,,3.3855359011964468,,,21.20994005864128,,,,,,,,,,,,,,,,3.544779359847449
SOX11,,,,,,,,,,,,,,,,,1.243162014230181,,,3.8826236829013756,,,,,,,,,,,,,,,,,,,,0.8853973543244902,,,,,,,,1.3416884401868758,,,,,
STAT2,,,,,,,,,,2.5936070298324685,,2.5482559856956555,,,,,,,,,,,2.073693642125858,,,,,,,,,,,,,,,,,,,,,2.216544347400708,,,2.86696125116275,,,,,,
PROX1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9760731502584341,,0.64121804650651,,,,,,,,,,,,,,,,,,,,,,
HES1,,,,,,,2.2387457860099924,3.0173811557235553,,,,,,,,,,,,,,,4.268775965121611,,,,,5.155521826046999,,,,,,,,,,,,,,,,3.6383446083401076,,,,,,,,,
