source,target,sign
ASCL1,MFSD9,1
ASCL1,KCNB2,1
ASCL1,HSD11B2,1
ASCL1,ZBTB18,1
ASCL1,NXPH4,1
ASCL1,UBE2J1,1
ASCL1,S1PR2,1
ASCL1,ANKRD65,1
ASCL1,MUC1,1
ASCL1,LIMS1,1
ASCL1,ARC,1
ASCL1,TRIM9,1
ASCL1,SIK1,1
ASCL1,NR4A1,1
ASCL1,HOXA4,1
ASCL1,GPR56,1
ASCL1,SOCS5,1
ASCL1,ANO9,1
ASCL1,SDK2,1
ASCL1,EPHX1,1
ASCL1,IRAK1,1
ASCL1,TMEM51,1
ASCL1,LAT2,1
ASCL1,TMEM184A,1
ASCL1,GGCT,1
ASCL1,DAGLA,1
ASCL1,PNPO,1
ASCL1,PIK3R3,1
ASCL1,EXOC3,1
ASCL1,ETS2,1
ASCL1,SEC14L1,1
ASCL1,RGS16,1
ASCL1,PITPNM2,1
ASCL1,PLEKHG5,1
ASCL1,ZDHHC21,1
ASCL1,DMPK,1
ASCL1,NEB,1
ASCL1,ID1,1
ASCL1,GADD45G,1
ASCL1,NCALD,1
ASCL1,C1QTNF1,1
ASCL1,PBK,1
ASCL1,MGME1,1
ASCL1,GSE1,1
ASCL1,KCNH6,1
ASCL1,TBL1XR1,1
ASCL1,KCNJ11,1
ASCL1,FAM60A,1
ASCL1,ASF1B,1
ASCL1,TUBB4B,1
ASCL1,TRIQK,1
ASCL1,H2AFV,1
ASCL1,CLDN3,1
ASCL1,MTMR12,1
ASCL1,PVRL1,1
ASCL1,HES6,1
ASCL1,PPFIBP1,1
ASCL1,JAG2,1
ASCL1,FAM84B,1
ASCL1,NUF2,1
ASCL1,DDRGK1,1
ASCL1,FOXA2,1
ASCL1,ACSF3,1
ASCL1,SPIN4,1
ASCL1,GAS2L3,1
ASCL1,GCK,1
ASCL1,KLF13,1
ASCL1,CEP250,1
ASCL1,SOX1,1
ASCL1,GRIK3,1
ASCL1,TNK2,1
ASCL1,PAM,1
ASCL1,REEP3,1
ASCL1,ZBTB7B,1
ASCL1,HS6ST1,1
ASCL1,LIFR,1
ASCL1,IGFBP5,1
ASCL1,GOLM1,1
ASCL1,BLCAP,1
