gene,sample,n_regulators,n_well_populated_leaves,transferability,mean_abs_residual,sample_mean_r2
FOXO3,allograft_mt6,4,15,0.7974607013301088,0.12417931085901622,0.25390221401441204
GRHL2,allograft_mt6,4,16,0.32559541754597526,0.2063975691976863,0.25390221401441204
HES1,allograft_mt6,5,29,0.5158658204895739,0.25247881360341046,0.25390221401441204
HSF2,allograft_mt6,6,44,0.5593323216995447,0.16243314184957652,0.25390221401441204
ICAM1,allograft_mt6,6,35,0.48095385568287397,0.24590000027902656,0.25390221401441204
JUN,allograft_mt6,6,39,0.36615384615384616,0.25679178918728435,0.25390221401441204
JUNB,allograft_mt6,3,8,0.23304190533614713,0.3539282637712163,0.25390221401441204
JUND,allograft_mt6,1,2,1.0,0.03294277638002795,0.25390221401441204
KMT2A,allograft_mt6,7,46,0.2444933920704846,0.28792663422887,0.25390221401441204
LMX1B,allograft_mt6,4,15,0.18212020537601933,0.25509512134596063,0.25390221401441204
MEIS2,allograft_mt6,4,16,0.36237564063913175,0.27037493142773755,0.25390221401441204
NCAM1,allograft_mt6,7,61,0.40582959641255606,0.25416550418339695,0.25390221401441204
NFATC2,allograft_mt6,3,8,0.10159782936388302,0.33329473656126846,0.25390221401441204
NFIA,allograft_mt6,7,51,0.7280534351145038,0.12696443154270773,0.25390221401441204
NFIB,allograft_mt6,8,65,0.4268292682926829,0.24612839026564176,0.25390221401441204
NFIX,allograft_mt6,5,30,0.19661733615221988,0.34908645993733173,0.25390221401441204
NFKB1,allograft_mt6,4,16,0.2484172444980404,0.31157541735886823,0.25390221401441204
NFYC,allograft_mt6,1,2,1.0,0.010411838385441336,0.25390221401441204
NR6A1,allograft_mt6,1,2,1.0,0.014699862637704394,0.25390221401441204
PBX1,allograft_mt6,4,16,0.38227313837805244,0.23641830946459733,0.25390221401441204
PKNOX2,allograft_mt6,5,32,0.344889960807959,0.25596611985157125,0.25390221401441204
PROX1,allograft_mt6,2,4,0.0,0.2650079770274428,0.25390221401441204
RBPJ,allograft_mt6,1,2,1.0,0.01136775319005644,0.25390221401441204
REST,allograft_mt6,3,8,0.241483268013265,0.2847886498735424,0.25390221401441204
RORA_RORB,allograft_mt6,5,30,0.44933655006031364,0.22254797257568013,0.25390221401441204
RUNX1,allograft_mt6,7,53,0.3323809523809524,0.2839399941024805,0.25390221401441204
SIX1,allograft_mt6,5,27,0.17652411282984531,0.4307795102857425,0.25390221401441204
SIX4,allograft_mt6,8,72,0.5363457760314342,0.21040495899357808,0.25390221401441204
SMAD3,allograft_mt6,5,28,0.6737224070154219,0.16226539472646787,0.25390221401441204
SOX11,allograft_mt6,4,16,0.35363280072354536,0.3781131791629246,0.25390221401441204
SOX9,allograft_mt6,1,2,1.0,0.02958833572583889,0.25390221401441204
STAT1,allograft_mt6,1,2,1.0,0.046168131092510035,0.25390221401441204
STAT2,allograft_mt6,5,28,0.7104784978800727,0.12736649742513115,0.25390221401441204
TBX15,allograft_mt6,6,33,0.548268464603126,0.2014264582975343,0.25390221401441204
TCF4,allograft_mt6,1,2,1.0,0.019795227041463435,0.25390221401441204
TCF7L1,allograft_mt6,6,38,0.3180559827745309,0.2705089952406159,0.25390221401441204
TCF7L2,allograft_mt6,5,27,0.3659872223912382,0.29937828693053836,0.25390221401441204
