Generalist_NE,Generalist_nonNE,Arc_3,Arc_6,Arc_5,Neuroendocrine1,Generalist NE,Intermediate,Neuroendocrine2,None,Start,Walk
0,0,0,44,0,0,0,23,0,3933,2308064086923296,54
0,13,3,0,0,0,0,18,0,3966,2308064086923296,55
0,64,2,235,0,0,0,49,0,3650,2308064086923296,56
0,0,0,0,0,0,0,23,0,3977,2308064086923296,57
0,544,0,0,0,0,0,13,0,3443,2308064086923296,58
0,256,0,0,0,0,0,41,0,3703,2308064086923296,59
0,1528,0,0,0,0,0,73,0,2399,2308064086923296,60
0,0,132,0,0,0,0,30,0,3838,2308064086923296,61
28,163,7,0,0,0,0,23,0,3779,2308064086923296,62
77,0,134,233,0,0,0,23,0,3533,2308064086923296,63
0,582,0,0,0,0,0,35,0,3383,2308064086923296,64
311,429,394,0,0,0,0,15,0,2851,2308064086923296,65
573,234,0,108,0,0,0,52,0,3033,2308064086923296,66
0,149,0,0,0,0,0,28,0,3823,2308064086923296,67
0,34,0,0,0,0,0,33,0,3933,2308064086923296,68
0,0,0,0,0,0,0,10,0,3990,2308064086923296,69
0,1,0,0,0,0,0,47,0,3952,2308064086923296,70
277,24,816,587,0,0,0,41,0,2255,2308064086923296,71
0,697,0,0,0,0,0,29,0,3274,2308064086923296,72
0,15,0,0,0,0,0,29,0,3956,2308064086923296,73
179,16,1314,157,0,0,0,21,0,2313,2308064086923296,74
0,572,0,0,0,0,0,28,0,3400,2308064086923296,75
84,13,0,0,0,0,0,29,0,3874,2308064086923296,76
400,348,0,0,0,0,0,16,0,3236,2308064086923296,77
0,111,0,0,0,0,0,29,0,3860,2308064086923296,78
281,0,15,0,0,0,0,26,0,3678,2308064086923296,79
0,0,0,0,0,0,0,24,0,3976,2308064086923296,80
0,0,0,0,0,0,0,10,0,3990,2308064086923296,81
0,0,624,0,0,0,0,39,0,3337,2308064086923296,82
1,44,0,0,0,0,0,13,0,3942,2308064086923296,83
37,0,0,13,0,0,0,22,0,3928,2308064086923296,84
184,143,16,0,0,0,0,17,0,3640,2308064086923296,85
0,0,0,0,0,0,0,17,0,3983,2308064086923296,86
219,160,0,0,0,0,0,23,0,3598,2308064086923296,87
0,44,497,122,0,0,0,22,0,3315,2308064086923296,88
506,30,526,208,0,0,0,42,0,2688,2308064086923296,89
0,0,0,43,0,0,0,44,0,3913,2308064086923296,90
0,732,0,0,0,0,0,31,0,3237,2308064086923296,91
33,0,0,0,0,0,0,23,0,3944,2308064086923296,92
0,116,0,0,0,0,0,42,0,3842,2308064086923296,93
0,117,29,0,0,0,0,10,0,3844,2308064086923296,94
271,140,19,828,0,0,0,31,0,2711,2308064086923296,95
13,507,0,0,0,0,0,35,0,3445,2308064086923296,96
0,267,0,0,0,0,0,27,0,3706,2308064086923296,97
1025,49,0,58,0,0,0,26,0,2842,2308064086923296,98
0,1980,0,0,0,0,0,20,0,2000,2308064086923296,99
0,455,0,0,0,0,0,22,0,3523,2308064086923296,100
