,NFIA,BACH2,JUN,RUNX1,JUND,SOX9,NFIX,TCF4,TEAD1,TCF7L2,ESR1,NCAM1,SMAD3,PBX1,EPCAM,NFKB1,NFIB,EGR1,NR6A1,NFYC,EHF,PROX1,TBX15,KMT2A,SIX4,STAT2,ICAM1,MEIS2,STAT1,BACH1,RORA_RORB,GRHL2,RBPJ,CREB1,HSF2,SIX1,SOX11,NFATC2,FOS,ETS1,HES1,ZBTB20,TCF7L1,CUX2,FOXO3,PKNOX2,ZEB1,JUNB,TFDP1,LMX1B,REST,THRB,ASCL1
KMT2A,,,6.368794984609624,,-14.8523440575498,,,,,,,,,,,,,6.171100085314767,,,6.301649756044458,,,,,,,,-13.04455070734795,,,,,,,,,5.9070588035612985,,,,,,,,,,,,8.842948724124051,,,
SIX4,,,,8.47461097936716,,,-17.242671244324658,,15.346687102551234,,,,,,,,,,,11.123096791704032,,,,,,,,,,,,,,,,29.798640521703042,,,,,,,9.918891365023745,,,,,,,12.865030072144064,-0.569782580877366,,
STAT2,1.0923490549724182,,,0.913128646527899,,,,,1.2254403264078406,,,,,,,,-1.7554103236960006,,,,,,,,,,,,,,,,,,,,,,,,,,6.846928528610883,,,,,,,,,,
ICAM1,4.474620264987662,,,11.389316724825736,,,,,,,,,,,,,,2.3645389277148423,,,,,,,,,,-5.23532217375275,2.7489831930151665,,-3.8470373462408722,,,,,,,,,,,,,,,,,,,,,,
MEIS2,,,,-2.1987739388932037,,,,,,,,,,,,,,2.7139317300798176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.1578805466178124,,0.8376905094934874
STAT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8632374448158402,,,,,,,,,,,,,,,,,,,,,,,,
BACH1,,,,1.858056120462237,2.24567531043081,,,6.685673192367658,5.755162806476509,,,,,,,,,,,,3.623067999574368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RORA_RORB,-0.8731359959295341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5336310914653213,,,,,,,,,,,,,3.2525202247378497,,,,,2.9872350315884137,,,8.309733154147994
GRHL2,3.209464705368844,,,0.640579074312776,,,,3.041998750222825,,,,,,,,,2.8314362214302298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBPJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8939661893454967,,,,,,,,,,,,,,,,,,,,
CREB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.90414610857011,,,,,,,,,,,,,,,,,,,
HSF2,,,,,,,,7.295223816698268,1.596738241677671,,,,,,,,,3.145917902057022,,-4.255720250084014,,,,,,,,,,,,,,,,,,,,,,,,,,,5.91891358491264,,11.802495706968092,,,,
SIX1,,,,0.930441336484012,,,,5.064984119706232,,,,,,,,,,,,,-0.572953926243984,,,,,,,,,,6.376637892980729,,,,,,,,,,,,,,,,,,,,-3.3868496578128497,,
SOX11,,,-1.6420946303263388,,,,,,,,,,-2.1826378696310447,,,,,,,,,,,,,,,,,1.684909728018623,,,,2.5921409784461926,,,,,,,,,,,,,,,,,,,
NFATC2,,,-0.1911416478422373,,,,,,,,,,,,,,,,,,,,,,,,,2.4195638584899988,,,,,,,,,,,,,,,,,,,,,,,,,1.0354538204466506
FOS,,,34.68895791051616,-15.53904017007663,,,,,-3.296732062729672,,,,,,,,,17.869536906628273,,,,,,,,,,,,,-17.408963666422718,,,,,,,,,,,,,,,,,,-6.5176902456733865,,-5.65870725785104,,0.07951693586356323
ETS1,,1.466197328546331,,,,,-1.5316608468745998,4.841492740528802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.569905507149929,,,,,,,,,,,,,,
HES1,,,,5.810713440244436,5.681426450708947,,,,,,,,,,,,1.989825002762005,,,,,,,,,,,,,,-0.7707678131066211,,,,,,,,,,,,,,,,,,,,,,-2.2510349376127796
ZBTB20,9.051924642609315,,-10.742853190451234,,16.894940851741843,,,,,,,,,,,,,,,,,,11.800960627971111,,,,,,,,,,,16.02018669508862,,,,,-2.357026797463686,7.775844824855891,,,,,,,,,,,,,
TCF7L1,7.390586347360972,,,0.35972179551884076,,,,,,,,,,,,,5.96729301351798,,,,4.961330605285535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.173106039200655,,-1.4613037525269943
CUX2,,,,-9.694897125241283,-3.4160367945391714,,,,,,,,,,,,6.135169384736935,,,,-5.9411534737995035,,,,,,,20.04919295049153,,,7.659661707726951,,,,,,,,,,,,,,,,,,11.090531700444089,,,,
FOXO3,,,,,,2.7716566285612405,,,,,,,,,,,,,,,,,,,,,,-1.2932579923335696,,,3.2004291484227143,,,,,,,,-1.7017651289325497,,,,,,,,,,,,,,
PKNOX2,,,,,,,,,,-2.901079046137407,,,,,,,,,,,,,,,,,,,0.8625743520420537,,,,5.2522849998248695,,,,,,,,,,2.658999345268385,,,,,,,,-5.224804344550606,,
ZEB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8658275189401771,,,,,,
JUNB,,,,,,,,,-1.302774164142727,,,,,,,,,1.8021293031548766,,,,-0.6245266688209455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFDP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8682254910299899,,,,
LMX1B,,,,,-0.7691420387665125,,,,,,,,,,,,,1.4089134025308725,,,,,,,,,,4.77313719233801,,,,,,,,,,,,,,,,,,,,,,,,,1.3524469354420208
REST,,,,,,0.8087688202954989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7485085133828828,,,,,,,,,,,,-2.957839170208107
THRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6075053179771472,,,,,,,,,,,,,,,,,
ASCL1,,,-4.721161102045289,,1.449549732182576,,,,,,,,,,,,,4.952458782566548,,,,,,,,,,,,,7.294708972125551,,,,,10.353729200929125,,,,,-4.484400368447106,,,,,,,,,,,,
