,NFIA,BACH2,JUN,RUNX1,JUND,SOX9,NFIX,TCF4,TEAD1,TCF7L2,ESR1,NCAM1,SMAD3,PBX1,EPCAM,NFKB1,NFIB,EGR1,NR6A1,NFYC,EHF,PROX1,TBX15,KMT2A,SIX4,STAT2,ICAM1,MEIS2,STAT1,BACH1,RORA_RORB,GRHL2,RBPJ,CREB1,HSF2,SIX1,SOX11,NFATC2,FOS,ETS1,HES1,ZBTB20,TCF7L1,CUX2,FOXO3,PKNOX2,ZEB1,JUNB,TFDP1,LMX1B,REST,THRB,ASCL1
NCAM1,10.869120661875387,,,9.729078822829868,,,13.41798749014374,,,,,,,,,,,8.02916060528515,,10.588832420403701,,,,,,,,12.569087593467682,,,,,,,,,,,,,,,,,,,,,20.341005456089086,,,,
SMAD3,,,,2.8125107856846183,,,,,,,,,,4.676782142193041,,,,,,,2.917584060209803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.727377857025935,,5.120628540912957
PBX1,,,,1.222608746352135,,,,,,,,,,,,,1.771760894556515,,,,2.1125065836339196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8565274294042076
EPCAM,,,5.578516612936165,,,,,13.859738328595618,,,,,,,,,,,7.429516833801661,,,,,,,,,,5.829371147044155,,,,,,,,,,6.384618445478725,,6.73824034236508,,,,,,,,,,,,
NFKB1,,,,1.8159351338003293,,,,,,,,,,,,,3.6797438639653355,,,,1.3899671596193652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1872799638603198
NFIB,,,,,,,,22.71474773699867,,,,,,,,,,,,,,,,,,,,,23.073223440030507,,,,,,14.852227692519108,,,,,,,,18.128791531406133,,,11.682810563363985,15.111028455796568,,,,,27.73942028900763,17.31071478317259
EGR1,,,,10.014373398905493,9.772031041016804,,,,,,,,,,,,9.128825373747997,,,,9.298713855538455,,,,,,,16.431617743065118,,,12.798705086992532,,,,,,,,,,,,,,,,,,11.221665623518888,,,,
NR6A1,,,,,,,,,,,,,,,,,,,0.8786832410629407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFYC,,,,,,,,,,,,,,,,,,,,0.874204498647864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EHF,,,,1.1540361207477092,,,,,,,,,,,,,0.2580018528195502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROX1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7650229125429707,,,,,1.0974256635694064,,,,,,,,,,,,,,,
TBX15,3.5503391065799255,,,,,,6.384785668159978,,,,3.3571587161837164,,,,,,,,,,,,,,,,,,,,,4.291641201736482,,,,14.196531100294814,,5.768383441144591,,,,,,,,,,,,,,,
KMT2A,,,10.923229902478548,,18.951551086488358,,,,,,,,,,,,,12.516204059552871,,,9.941971254870587,,,,,,,,17.264748327445066,,,,,,,,,12.927703500207247,,,,,,,,,,,,13.896636060674465,,,
SIX4,,,,20.434715202511168,,,20.989723755852282,,17.91161374631752,,,,,,,,,,,15.432771746239052,,,,,,,,,,,,,,,,29.937375758127313,,,,,,,21.21096570465014,,,,,,,15.402350853301076,15.900963669693452,,
STAT2,3.3225144276700873,,,3.0167145296604216,,,,,2.415080222904981,,,,,,,,2.873469728323298,,,,,,,,,,,,,,,,,,,,,,,,,,6.846928528610883,,,,,,,,,,
ICAM1,6.206543622163651,,,11.389316724825735,,,,,,,,,,,,,,4.128012133776158,,,,,,,,,,7.57409951062724,5.484996561229344,,7.644976933316047,,,,,,,,,,,,,,,,,,,,,,
MEIS2,,,,2.3899282274122444,,,,,,,,,,,,,,2.713931730079817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.157880546617812,,1.0833469767439552
STAT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8632374448158402,,,,,,,,,,,,,,,,,,,,,,,,
BACH1,,,,2.269104750783553,2.293285017690861,,,6.685673192367659,5.755162806476509,,,,,,,,,,,,3.6230679995743698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RORA_RORB,3.231905073718118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.149996656995243,,,,,,,,,,,,,3.5125582753433284,,,,,3.3633362900824535,,,8.309733154147992
GRHL2,3.2094647053688448,,,0.8723175380784388,,,,3.0419987502228256,,,,,,,,,2.83143622143023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBPJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8939661893454967,,,,,,,,,,,,,,,,,,,,
CREB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.90414610857011,,,,,,,,,,,,,,,,,,,
HSF2,,,,,,,,8.082140562118434,5.233206924961084,,,,,,,,,5.0796117801239955,,5.833987371094972,,,,,,,,,,,,,,,,,,,,,,,,,,,7.600748805208022,,11.802495706968088,,,,
SIX1,,,,2.0082219872777527,,,,5.064984119706232,,,,,,,,,,,,,1.61075304603727,,,,,,,,,,6.376637892980728,,,,,,,,,,,,,,,,,,,,3.4165139398929263,,
SOX11,,,1.6704096132116932,,,,,,,,,,2.2680565557051864,,,,,,,,,,,,,,,,,2.719996253652446,,,,2.6929959542910593,,,,,,,,,,,,,,,,,,,
NFATC2,,,0.24166759496322865,,,,,,,,,,,,,,,,,,,,,,,,,2.4195638584899983,,,,,,,,,,,,,,,,,,,,,,,,,1.0354538204466506
FOS,,,34.70604604428261,21.012864199438262,,,,,14.785771944982693,,,,,,,,,20.307302320291488,,,,,,,,,,,,,20.01413697037119,,,,,,,,,,,,,,,,,,11.595536689391619,,19.645015885925083,,14.11233093961406
ETS1,,1.7036919215071236,,,,,1.5316608468745998,4.841492740528803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5699055071499288,,,,,,,,,,,,,,
HES1,,,,5.837312035448845,6.049475067316791,,,,,,,,,,,,3.169754703422469,,,,,,,,,,,,,,2.8368878553953314,,,,,,,,,,,,,,,,,,,,,,3.6529295218214264
ZBTB20,11.543246599895987,,11.465657372104793,,17.043634836345202,,,,,,,,,,,,,,,,,,13.935764810578721,,,,,,,,,,,16.021827469689562,,,,,8.61772370427635,10.4347905845989,,,,,,,,,,,,,
TCF7L1,8.077164955624303,,,4.701618349389975,,,,,,,,,,,,,7.116435960752827,,,,5.976499822422199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.128051500946562,,4.909733902760572
CUX2,,,,10.865968584032842,7.951863484749942,,,,,,,,,,,,10.412463220791057,,,,9.69623614156443,,,,,,,20.13114836983928,,,11.697785759603082,,,,,,,,,,,,,,,,,,12.135648471374035,,,,
FOXO3,,,,,,2.7801045982449915,,,,,,,,,,,,,,,,,,,,,,1.9332904091193037,,,3.2004291484227143,,,,,,,,1.7017651289325497,,,,,,,,,,,,,,
PKNOX2,,,,,,,,,,3.866111789989465,,,,,,,,,,,,,,,,,,,4.388140840988748,,,,5.252284999824869,,,,,,,,,,4.738158083296867,,,,,,,,5.224804344550604,,
ZEB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8658275189401771,,,,,,
JUNB,,,,,,,,,1.359725708256653,,,,,,,,,1.8021293031548762,,,,0.9983207089173288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFDP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8682254910299899,,,,
LMX1B,,,,,1.3475580826269649,,,,,,,,,,,,,1.408913402530873,,,,,,,,,,4.773137192338011,,,,,,,,,,,,,,,,,,,,,,,,,1.691754810848403
REST,,,,,,0.8087688202954989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8129500069278299,,,,,,,,,,,,2.957839170208107
THRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6075053179771472,,,,,,,,,,,,,,,,,
ASCL1,,,5.778090012305335,,5.83891701161532,,,,,,,,,,,,,5.4999244806387635,,,,,,,,,,,,,7.423025241178889,,,,,10.353729200929124,,,,,7.198493779177103,,,,,,,,,,,,
