,STAT2,ZBTB20,TEAD1,ASCL1,SIX1,ESR1,EHF,NR3C2,RUNX1,RORB,JUN,HIF1A,NFYC,ETS1,FOS,TBX15,PPARG,CREB1,NFKB1,NR6A1,JUNB,NCAM1,JUND,SIX4,HES1,TCF7L1,TFDP1,NFIB,HSF2,KMT2A,ZBTB7A,THRB,SMAD3,RBPJ,GRHL2,FOXO3,EPCAM,SOX11,MEIS2,NFIA,NFATC2,STAT1,REST,TCF7L2,EGR1,PBX1,RORA,CUX1,BACH1,ZEB1,CUX2,ICAM1,LMX1B,PROX1,BACH2,TCF4,NFIX
HES1,,,,,,,,,,,,0.8242621110745019,,,,,,17.156294617507275,,,,,,,,,,,,,-7.176284481662367,,,,,,,,,,,38.442154663244054,,,-9.686952027652577,,8.168019284051455,,,-22.854348119579146,,,,-14.663512177236214,,,
TCF7L1,,,-1.2241131080885843,,,,23.056611549561328,,,,,,,,12.442989221877438,,,,,,,,,,,,,,,,,3.4184632278524263,,,20.80206763378767,8.842744522597306,,,,,,,,,,,,,,-24.736437458551855,,,,,,-16.01922907583269,
TFDP1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7552929518214624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFIB,,,,22.95752407223231,,,,,,,,,,,,,,,,,,,,,,17.861051280807256,,,14.896162445712429,,,23.51748616944802,,21.165901485921083,,,,,,,,20.399507690130893,,,,,,,,-6.519833316925807,,,,,,23.293426280285956,
HSF2,,,3.4383827196791303,,,,,,,,,,0.24093780364639716,,,,,,,,,,,,,,9.95706955913997,,,,,,,,,,,,,,,,,,4.916511705048609,,,,,3.100859820713955,,,,,,8.870530363693057,
KMT2A,,,,,,,,,,,,,,,,12.298936052444697,,-6.851094117193152,,-4.677063645005004,,,-22.49923589270385,,,,,-13.123113128412893,,,,,,,,,,,,,,-23.450208488139126,,,,,,,,,,,31.540833391121687,,,-2.5144151425556167,
ZBTB7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7319966487664651,,,,,,,,,,,,,,,,,,,,,,,,,,
THRB,,,,,0.5676163152804365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMAD3,,,,,,,20.66427106564907,,33.077031549138546,,,,,,,,,-45.307718424073784,,,,,,,14.290540476687038,,,,,,4.8738904857947825,-18.012684888697503,,,,-2.4232383614443327,,,,,,-2.1162221383054933,,,,,,,,,,,,,,,
RBPJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8033016345108884,,,,,,,,,,,,,,,,,,,,,,,
GRHL2,,,,,,,-0.22825572770049685,,,,,,17.93012482796271,13.382069860467652,,,,,,,,,,,18.86615496207678,,,,,,,,,,,,,,2.7324887544121643,27.945824601203487,,,,,,,22.761673308884674,,,,,,,,,25.503074810412343,
FOXO3,,,,,,,10.155020467023276,,,,,,,,-14.494806475861717,,,,,,-9.09911042593448,,11.365485211749819,,10.824266253025254,4.06704522371906,12.919781762465817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPCAM,,,,,,,,,,,-19.966276298079652,,,24.979320448165733,-20.091759209899244,,,28.483430259246276,,18.54523371867849,,,13.767843479708423,,,,,,,,,,,,,,,,,,,0.2987260078366769,,,,,,,15.17351708290616,,,,,,,,
SOX11,,,,,,,,,,,-1.6433504590968306,,,,,,,2.593691391021813,,,,,,,,,,,,,,,-2.0417830138751976,,,,,,,,,,,,,,,,1.3470039960699727,,,,,,,,
MEIS2,,,,,,,-19.419387235346314,,-17.062050251091453,,,,,,,,,,,,,,,,,,,,,,2.0225049692715578,,,,,-4.553081358028366,,,,,,,,,22.714566794688935,,,,,12.226802968486252,,,33.29134231835833,,,24.349419911858856,
NFIA,,,,,,,,,,,,2.9370282623590223,,,,,,,,,,,,,,18.075742597588075,,,,,,,,15.674704039327661,,,,,-10.144057176347836,,,,,,,,,9.511418429117372,,,-1.421083647323723,,,,,11.540832468355989,
NFATC2,,,,12.973586141708545,,,,,,,-4.449378978873593,,,,2.066151260551218,,,-4.684039701892011,,,,,,,,,,,,,,,,,,,,,,,,,-27.005041779990552,,,,,,,17.69689544274839,,,31.31018628584189,,,2.5737249153443806,
STAT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7206131566008432,,,,,,,,,,,,,,,
REST,,,,,,,,,,-42.674469543257715,15.958686772969617,,,,-3.983672866197319,,,,,,,,,,,,-4.20544546568124,,,,,,,5.085094381388767,,,,,,,,,,45.46738945418502,-29.70093294624977,,,,,-26.829709946400115,,,,,,-7.689251392083297,
TCF7L2,,,,,,,,,,,,,,,,,,,,,,,,,,7.076495984369582,-10.17438458815399,,,,,,,,,,,,-9.214237754064293,8.624135744490017,,,,,-2.891026794969087,,,,,,,,,-9.633251424111675,,,11.626615714486794
EGR1,,,8.03885710862699,13.771795856849746,,,,,,,,,,,14.693276546741616,,,,,,,,,,,,,6.626625486353278,,,,,,,,,,,31.708154788000083,,20.949070541311194,,,,,,8.379399604843506,,4.668061871916492,,,,,,,,
PBX1,,,,,,,,,,,,,,,2.9178867574491636,,,0.3193231396721453,,4.128565826474834,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.403829973554501,15.643904422626516,,-4.487013255204468,,-0.7354857923823647,,,,
RORA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7826527103107254,,,,,,,,,,
CUX1,,,1.671802547377585,,,,16.8661934955704,,,,,,,,,,,,,-4.571629944230465,,,,,,,,,,,,4.741336910038249,,,,,,,-26.804301455948615,,,,,25.7233107922781,-5.7695593552214275,,-12.05163372603203,,,,,,,,,,
BACH1,,,24.897509446199006,,11.464451011207082,,,,,,,,,22.79294940756632,-17.254282899706865,,,22.65365050729954,,,-8.591590083838808,,,,,,,,,,,,,,,,,,,,,,,9.702208247257907,,,,,,,,,-8.1234594113423,,,,
ZEB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7352758770600663,,,,,,,
CUX2,,,,,,,-14.154139853018503,,,,,,,,-9.72079416746063,,,,,,,,17.62323349539163,,,,,44.53623575320576,,,-14.105243015778223,,,,,-5.522555749611791,,,,,,,,-37.86142174128903,,,,,,,,,,,-10.483781605502049,,
ICAM1,,,,,,,,,30.231472152838517,,,,,,,,,,,,,,,,,0.7936359628212424,,,,,,,,,,,,,-21.650844421269845,17.281772847187273,,9.176106188063388,,20.74481824834333,-1.2398610690410912,,,,,-4.072510896473585,,,,,,,
LMX1B,,,,51.571600470712106,,,-5.61055886405066,,-17.128599623745984,,,,,,-9.80264633726569,,,,,,14.255435900678851,,,,-11.496540787169192,,,,,,,,,,,,,,,,,2.1137261531301887,,,,,,,,26.852297016443483,,,,,,,
PROX1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8731202355588666,,,,,,,0.9206833398808154,,,,,,,,,,,,,,,,
BACH2,,,4.42398140199838,,,,,,21.420789167745696,,,,,,7.690309237840749,,,,,,-12.13826864320803,,-8.727601834027537,,,,,,,,,-10.294093832998646,,,,,,,,,,,,,,,-17.601882650022233,,14.342820774428354,,,,,,,,
TCF4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7705246241894069,
NFIX,,,,,,,14.505373039869047,,,,,,,,,,,,-3.2354314255507726,,,,,,,,-13.318436964173578,,-20.78234752353524,,-9.91588278521304,,,,,,,,,,-33.04482287544349,17.356777701728348,,,,,-14.718374733351249,,,,,,,,,,
