,STAT2,ZBTB20,TEAD1,ASCL1,SIX1,ESR1,EHF,NR3C2,RUNX1,RORB,JUN,HIF1A,NFYC,ETS1,FOS,TBX15,PPARG,CREB1,NFKB1,NR6A1,JUNB,NCAM1,JUND,SIX4,HES1,TCF7L1,TFDP1,NFIB,HSF2,KMT2A,ZBTB7A,THRB,SMAD3,RBPJ,GRHL2,FOXO3,EPCAM,SOX11,MEIS2,NFIA,NFATC2,STAT1,REST,TCF7L2,EGR1,PBX1,RORA,CUX1,BACH1,ZEB1,CUX2,ICAM1,LMX1B,PROX1,BACH2,TCF4,NFIX
NCAM1,,,,,,,,,8.412657255966467,,,,11.551448841096814,,,,,,,,,,,,,,18.64402702289001,,,,,,,,,,,,11.38303151006455,14.810560387002308,,,,,5.983526279757912,,,,,,,,,,,,14.516409633625091
JUND,,,,,,,,,,,,,,,,,,,,,,,0.7263591641774437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIX4,,,,,35.34794376169603,,,,11.636808172360384,,,,26.716428021520766,,,,,,,,,,,,,,,,,,,,13.653376247043205,,,,,,,21.49604649778589,18.415137847500322,,,,,12.34015386730616,,,,,,,15.18566065259712,,,,
HES1,,,,,,,,,,,,12.223317524093886,,,,,,18.224237992659187,,,,,,,,,,,,,11.704256277946673,,,,,,,,,,,38.442154663244075,,,15.735260552382627,,11.535215976592378,,,23.42936891554325,,,,21.04454211263034,,,
TCF7L1,,,15.451417848741322,,,,27.164484257918247,,,,,,,,24.21257692015766,,,,,,,,,,,,,,,,,14.156490273767998,,,22.628865423893618,14.434060722409479,,,,,,,,,,,,,,25.413905738841205,,,,,,24.175191863533225,
TFDP1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7552929518214624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFIB,,,,24.66135436443128,,,,,,,,,,,,,,,,,,,,,,19.28160860564491,,,15.789910047713072,,,23.605420434640447,,21.16590148592108,,,,,,,,20.762458188928115,,,,,,,,11.512014967792094,,,,,,23.293426280285967,
HSF2,,,4.752738886084167,,,,,,,,,,4.8554313585457205,,,,,,,,,,,,,,9.957069559139974,,,,,,,,,,,,,,,,,,5.038053234312147,,,,,5.463530386131141,,,,,,8.870530363693055,
KMT2A,,,,,,,,,,,,,,,,15.430343170241818,,11.207294815548336,,7.831084316760491,,,22.928970354312796,,,,,15.605386542351452,,,,,,,,,,,,,,23.58304484190939,,,,,,,,,,,31.540833391121666,,,11.53030072760619,
ZBTB7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7319966487664651,,,,,,,,,,,,,,,,,,,,,,,,,,
THRB,,,,,0.5676163152804365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMAD3,,,,,,,22.27769722449559,,33.07703154913855,,,,,,,,,45.50602706307586,,,,,,,18.88396305978732,,,,,,9.214695010299472,19.823309729937655,,,,10.799088396093964,,,,,,13.44728887007968,,,,,,,,,,,,,,,
RBPJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8033016345108884,,,,,,,,,,,,,,,,,,,,,,,
GRHL2,,,,,,,13.076550310280114,,,,,,17.952941625814105,16.85509846379767,,,,,,,,,,,18.918125809222115,,,,,,,,,,,,,,12.501893050087201,27.945824601203494,,,,,,,23.19924822238438,,,,,,,,,26.11886714829151,
FOXO3,,,,,,,11.948009795156024,,,,,,,,15.090753979721537,,,,,,10.174393813484516,,13.333869303381055,,12.946173934264987,6.603418019914036,14.871653136710286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPCAM,,,,,,,,,,,21.084096548140636,,,24.97932044816575,20.830405487798053,,,28.795220095683266,,19.400544488874672,,,19.884224810454736,,,,,,,,,,,,,,,,,,,12.624991625621558,,,,,,,15.280557453104281,,,,,,,,
SOX11,,,,,,,,,,,1.6891527819683267,,,,,,,2.593691391021813,,,,,,,,,,,,,,,2.122479379508067,,,,,,,,,,,,,,,,1.936801818277157,,,,,,,,
MEIS2,,,,,,,19.730679608631654,,18.095459777824036,,,,,,,,,,,,,,,,,,,,,,11.440959792499338,,,,,11.127339426460354,,,,,,,,,22.94393421081891,,,,,14.426643344661567,,,33.29134231835833,,,26.094302333039657,
NFIA,,,,,,,,,,,,7.4441645063970165,,,,,,,,,,,,,,18.07574259758807,,,,,,,,15.674704039327665,,,,,11.716571027331161,,,,,,,,,10.532673767578208,,,6.099794315913245,,,,,12.246560652200275,
NFATC2,,,,13.979283720974568,,,,,,,8.861388447822675,,,,9.62672285262966,,,11.383378439164957,,,,,,,,,,,,,,,,,,,,,,,,,27.00504177999056,,,,,,,17.755561585770586,,,31.310186285841915,,,7.385089391308228,
STAT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7206131566008432,,,,,,,,,,,,,,,
REST,,,,,,,,,,44.85602256585637,24.394500866979097,,,,22.101541068216868,,,,,,,,,,,,17.941627244567464,,,,,,,22.26098661630618,,,,,,,,,,45.48004896300673,32.131302816486496,,,,,30.245659177363734,,,,,,20.34404518608364,
TCF7L2,,,,,,,,,,,,,,,,,,,,,,,,,,9.703154758133735,10.372537972223725,,,,,,,,,,,,9.374137325753761,10.118763948922014,,,,,4.690270090974702,,,,,,,,,9.85205019741612,,,11.626615714486796
EGR1,,,11.414975291309398,17.86339422124827,,,,,,,,,,,17.41984531903486,,,,,,,,,,,,,13.306467040329006,,,,,,,,,,,31.909664445111744,,21.56326637340533,,,,,,12.455113658436229,,9.566568520592721,,,,,,,,
PBX1,,,,,,,,,,,,,,,11.873219238529638,,,11.261360675093822,,8.372054053614907,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.982438592702128,16.803606716326417,,10.491240037434178,,9.094875327638988,,,,
RORA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7826527103107254,,,,,,,,,,
CUX1,,,13.79500447754482,,,,22.879559430298983,,,,,,,,,,,,,13.197941752712103,,,,,,,,,,,,18.661463867516865,,,,,,,28.868063765759647,,,,,26.54995223571655,15.409924953078345,,17.16453618110937,,,,,,,,,,
BACH1,,,24.899572433488522,,16.40775938348017,,,,,,,,,22.811047951394425,19.31393057800824,,,22.862732784680052,,,13.984644897297574,,,,,,,,,,,,,,,,,,,,,,,15.825930140841505,,,,,,,,,15.572106710446059,,,,
ZEB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7352758770600663,,,,,,,
CUX2,,,,,,,19.614628950635,,,,,,,,21.397212584280457,,,,,,,,25.751301646865244,,,,,44.789959521024464,,,17.3610034263866,,,,,15.817274677126452,,,,,,,,38.64902294539228,,,,,,,,,,,20.11593332046193,,
ICAM1,,,,,,,,,30.231472152838496,,,,,,,,,,,,,,,,,11.131931434294938,,,,,,,,,,,,,22.032866066833883,18.86662029826106,,14.824519426734817,,21.44353714790577,9.797580946189157,,,,,13.19784580172901,,,,,,,
LMX1B,,,,51.57160047071209,,,10.960114749774476,,19.220657642792904,,,,,,14.929187333857543,,,,,,16.80007529941761,,,,13.802394833367549,,,,,,,,,,,,,,,,,12.089104297320853,,,,,,,,26.9652274434021,,,,,,,
PROX1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8731202355588666,,,,,,,0.9206833398808154,,,,,,,,,,,,,,,,
BACH2,,,17.2955065898994,,,,,,24.704091609171115,,,,,,16.83271611687197,,,,,,17.61260077003605,,22.74443348282989,,,,,,,,,20.519124857572564,,,,,,,,,,,,,,,24.063895102466105,,17.596705084989903,,,,,,,,
TCF4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7705246241894069,
NFIX,,,,,,,19.57732219780207,,,,,,,,,,,,10.497406948423562,,,,,,,,14.403186125923304,,20.799408653220333,,12.621434028757719,,,,,,,,,,33.04482287544349,20.431666990999805,,,,,15.384856230376768,,,,,,,,,,
