,orig.ident,nCount_RNA,nFeature_RNA,sample,species,gene_count,tscp_count,mread_count,bc1_wind,bc2_wind,bc3_wind,bc1_well,bc2_well,bc3_well,percent.mt,condition,nCount_SCT,nFeature_SCT,SCT_snn_res.0.8,seurat_clusters,tree.ident,SCT_snn_res.0.5,rcpa_clusters,predicted.id,prediction.score.Generalist.NE,prediction.score.Neuroendocrine2,prediction.score.Stress,prediction.score.Generalist.nonNE,prediction.score.nonNE1,prediction.score.Neuroendocrine1,prediction.score.Intermediate,prediction.score.nonNE2,prediction.score.max,Ascl1_targets_score1,Rest_targets_score1,HES1_high_score1,Liu_sclcI_score1,Intermediate_score1,NE1_score1,NE2_score1,nonNE1_score1,nonNE2_score1,stress_score1,ident
01_05_60__s1,organoid,5186.0,2463.0,D_Sample1,GRCm39,2463,5186,8078,1,5,60,A1,A5,E12,0.6941766293868107,shGFP,9362.0,2537,6,5,7,7,5,Generalist NE,0.5764272190094453,0.0,0.0,0.0,0.0,0.42357278099055473,0.0,0.0,0.5764272190094453,0.3721424677102625,0.3648662884014478,-0.08102788853451581,-0.04419999323179644,0.219399580834586,0.41131558166521903,0.11251087812886296,0.03721548734872493,0.16061768453408892,0.2769300949260083,D_Sample1
01_06_17__s1,organoid,12822.0,4260.0,D_Sample1,GRCm39,4260,12822,20135,1,6,17,A1,A6,B5,1.04507877086258,shGFP,10882.0,4245,7,1,9,8,1,Generalist NE,0.831518958180819,0.0,0.0,0.0,0.0,0.09954139467209272,0.06893964714708839,0.0,0.831518958180819,0.304077289734751,0.2423816703505851,-0.08445274526317764,-0.05120268922991603,0.4019149929745044,0.07324404247015637,-0.006453907092255323,0.027294994924380728,0.1350305559861268,0.027690711327848477,D_Sample1
01_06_45__s1,organoid,4755.0,2564.0,D_Sample1,GRCm39,2564,4755,7531,1,6,45,A1,A6,D9,1.2828601472134595,shGFP,9165.0,2717,0,3,6,1,3,Generalist NE,0.9604288285320817,0.0,0.0,0.0,0.0,0.0,0.03957117146791843,0.0,0.9604288285320817,0.34609943016133016,0.16061033685758602,-0.09011079141237391,-0.04557599692202156,0.5420818410547767,0.4123640647011089,0.21219219761430202,0.03854834665629925,0.003535492344522634,0.14651498223400078,D_Sample1
01_06_84__s1,organoid,11740.0,4012.0,D_Sample1,GRCm39,4012,11740,18136,1,6,84,A1,A6,G12,1.1499148211243613,shGFP,10754.0,3984,14,1,10,0,1,Generalist NE,0.7481374148888582,0.0,0.0,0.0,0.0,0.25186258511114185,0.0,0.0,0.7481374148888582,0.3507598321561653,0.25389053419516117,-0.07272082468331581,-0.0423991818635506,0.16424304164777265,0.2274344950420804,0.0362652676512033,0.07971591404289052,0.01421734517101407,0.24318792530269523,D_Sample1
01_07_95__s1,organoid,11257.0,4152.0,D_Sample1,GRCm39,4152,11257,17193,1,7,95,A1,A7,H11,0.6396020254064138,shGFP,10665.0,4127,9,1,4,10,1,Generalist NE,0.8264323948239277,0.0,0.0,0.0,0.0,0.1735676051760724,0.0,0.0,0.8264323948239277,0.32993599319271516,0.20789752188562427,-0.09533421155312966,-0.05247818465111803,0.20263462862770476,0.1236900272446414,0.006965729110814223,0.010303428979972773,-0.025111676559809115,0.07560103928177306,D_Sample1
01_08_60__s1,organoid,19662.0,5497.0,D_Sample1,GRCm39,5497,19662,30496,1,8,60,A1,A8,E12,1.673278405045265,shGFP,10925.0,4732,2,1,4,0,1,Generalist NE,0.6420453146732373,0.0,0.0,0.0,0.0,0.3579546853267628,0.0,0.0,0.6420453146732373,0.3730562186455359,0.2124729673787512,-0.11734337070485422,-0.054893737272702095,0.2811744305745959,0.32013259232085467,0.2615845711105203,-0.031078200639837655,-0.01092036595096825,-0.05753669060997085,D_Sample1
01_08_71__s1,organoid,15514.0,4606.0,D_Sample1,GRCm39,4606,15514,23796,1,8,71,A1,A8,F11,0.9604228438829444,shGFP,10787.0,4461,17,2,5,14,2,Generalist NE,0.9519851245461181,0.0,0.0,0.0,0.0,0.04801487545388195,0.0,0.0,0.9519851245461181,0.326057869587113,0.10863393132750737,-0.10170067670763114,-0.0540288197290886,0.2669481748965607,0.32617160085999575,0.25366524499077353,-0.0037476313965756625,0.024313199009364322,0.1327364502868407,D_Sample1
01_09_43__s1,organoid,12094.0,4184.0,D_Sample1,GRCm39,4184,12094,19244,1,9,43,A1,A9,D7,0.7441706631387465,shGFP,10812.0,4162,13,2,8,3,2,Neuroendocrine1,0.27093205972105633,0.0,0.0,0.0,0.0,0.7290679402789436,0.0,0.0,0.7290679402789436,0.3731503121428083,0.29824889863762116,-0.11503214678921175,-0.04534408373536927,0.3104530538567769,0.4108467419394756,0.12693849391971518,-0.03818101591389528,-0.00976036022346835,0.09223960442508577,D_Sample1
01_11_04__s1,organoid,8335.0,3713.0,D_Sample1,GRCm39,3713,8335,12829,1,11,4,A1,A11,A4,2.3155368926214757,shGFP,9140.0,3667,11,8,1,11,8,Generalist NE,0.7826823435638178,0.0,0.0,0.0,0.0,0.19808710226850126,0.01923055416768073,0.0,0.7826823435638178,0.29131058506215546,0.2140782677968825,-0.011646031786887015,-0.02401660555636441,0.2414825386196761,0.5066741888694382,0.29374126011082025,0.16768481462349696,0.13726420688013208,0.12862634710468648,D_Sample1
01_11_47__s1,organoid,14798.0,4365.0,D_Sample1,GRCm39,4365,14798,23195,1,11,47,A1,A11,D11,1.1758345722394918,shGFP,10774.0,4285,7,6,13,8,6,Neuroendocrine1,0.1902322922637231,0.0,0.0,0.0,0.0,0.8097677077362769,0.0,0.0,0.8097677077362769,0.3221346695728341,0.31551031509355065,-0.07279445523729262,-0.057739173094755354,0.16423453881496344,0.7245795298775963,0.3679559583793852,0.15052382352029992,0.00994030146436084,0.08623185025650174,D_Sample1
01_11_65__s1,organoid,8946.0,3639.0,D_Sample1,GRCm39,3639,8946,13762,1,11,65,A1,A11,F5,1.0954616588419406,shGFP,9399.0,3623,2,1,4,0,1,Generalist NE,0.778289359141133,0.0,0.0,0.0,0.0,0.20858941815309467,0.013121222705772371,0.0,0.778289359141133,0.3562946345243047,0.22019148902031993,-0.08631807984242902,-0.06340797532319609,0.3133920372720739,0.21826784817105915,0.169834788570479,0.019002580194372898,0.052866023735582066,0.09688614413632743,D_Sample1
01_12_75__s1,organoid,8672.0,3447.0,D_Sample1,GRCm39,3447,8672,13549,1,12,75,A1,A12,G3,1.187730627306273,shGFP,9323.0,3432,17,2,5,14,2,Generalist NE,0.8227283868713067,0.0,0.0,0.0,0.0,0.17727161312869313,0.0,0.0,0.8227283868713067,0.32000955598674685,0.2511728220137444,-0.08655260239451829,-0.051877082729761624,0.34376429485391646,0.6056102149079319,0.3407792658040834,-0.027088219649782364,-0.06614082825498596,0.058539544123352716,D_Sample1
01_13_60__s1,organoid,12210.0,4191.0,D_Sample1,GRCm39,4191,12210,18872,1,13,60,A1,B1,E12,1.4742014742014742,shGFP,10830.0,4172,8,1,4,0,1,Generalist NE,0.7238755060686811,0.0,0.0,0.0,0.0,0.2099163335843698,0.06620816034694889,0.0,0.7238755060686811,0.3534948691067338,0.27090526410909255,-0.08726605991683839,-0.045381388563136366,0.26601764716683113,0.26221643475909034,0.2848245428220952,0.0016270222831611947,0.060796297883603106,0.11351428094723606,D_Sample1
01_13_79__s1,organoid,5323.0,2630.0,D_Sample1,GRCm39,2630,5323,8257,1,13,79,A1,B1,G7,1.7283486755588953,shGFP,9298.0,2687,1,2,2,2,2,Generalist NE,0.8465812707391428,0.0,0.0,0.0,0.0,0.153418729260857,0.0,0.0,0.8465812707391428,0.34962308019382415,0.22660888726447798,-0.09176387499678333,-0.05024934096026938,0.26865845017742485,0.4727579602400831,0.24523944472362358,-0.05052817661605323,0.06044581433869549,0.03899926579252527,D_Sample1
01_14_35__s1,organoid,6811.0,3076.0,D_Sample1,GRCm39,3076,6811,10648,1,14,35,A1,B2,C11,1.2920276024078696,shGFP,9148.0,3070,4,1,3,5,1,Generalist NE,0.7962728070725336,0.0,0.0,0.0,0.0,0.0,0.20372719292746652,0.0,0.7962728070725336,0.23044552662132017,0.10926419267404264,-0.09133245165011039,-0.048851755729841025,0.6197590932743062,-0.12316094668624986,-0.17986002259774075,-0.027522235489725044,-0.03028821064247636,-0.02736901684502019,D_Sample1
01_15_09__s1,organoid,11525.0,4099.0,D_Sample1,GRCm39,4099,11525,17939,1,15,9,A1,B3,A9,0.8850325379609545,shGFP,10739.0,4085,7,1,4,8,1,Generalist NE,0.9201345093903944,0.0,0.0,0.0,0.0,0.07986549060960549,0.0,0.0,0.9201345093903944,0.35158007623172266,0.2976762387666055,-0.10530671978785626,-0.057602112913965074,0.29623014596639063,0.24537748381594876,0.18586877020585318,0.03528852637370203,0.07552658423487377,0.04195966953718128,D_Sample1
01_15_30__s1,organoid,8383.0,3513.0,D_Sample1,GRCm39,3513,8383,13177,1,15,30,A1,B3,C6,1.2883216032446618,shGFP,9239.0,3493,0,3,6,1,3,Generalist NE,0.9524309626226126,0.0,0.0,0.0,0.0,0.0,0.04756903737738773,0.0,0.9524309626226126,0.3332178311243308,0.14988307572546505,-0.0959672493030129,-0.04619904895317449,0.42300664287809275,0.390345577019542,0.10082921477653023,-0.018774760032743754,-0.07403540671815244,-0.023332073913511248,D_Sample1
01_16_13__s1,organoid,11409.0,3947.0,D_Sample1,GRCm39,3947,11409,18314,1,16,13,A1,B4,B1,2.357787711455868,shGFP,10659.0,3913,7,1,9,8,1,Generalist NE,0.6929319489375348,0.0,0.0,0.0,0.0,0.0,0.3070680510624652,0.0,0.6929319489375348,0.25437449391768585,0.12616879575863027,-0.07695862144320129,-0.03313149803758042,0.5772817324592844,0.2293699602644586,0.02143937966154441,-0.01569179254729336,0.04954605930025603,0.08830111312869365,D_Sample1
01_16_52__s1,organoid,3548.0,1872.0,D_Sample1,GRCm39,1872,3548,5613,1,16,52,A1,B4,E4,1.9447576099210824,shGFP,8540.0,2392,20,2,7,3,2,Generalist NE,0.5195653684006483,0.0,0.0,0.0,0.0,0.4804346315993518,0.0,0.0,0.5195653684006483,0.48022355726299004,0.4281454487918128,-0.07416155703891653,-0.023699013668619137,-0.13834993431575365,0.8287872910276493,0.4022919676587076,0.1531588121695858,-0.019957299410383378,0.1864735413542256,D_Sample1
01_17_41__s1,organoid,4850.0,2543.0,D_Sample1,GRCm39,2543,4850,7604,1,17,41,A1,B5,D5,1.3814432989690721,shGFP,9302.0,2667,2,4,12,0,4,Generalist NE,0.8090653854647137,0.0,0.0,0.0,0.0,0.19093461453528637,0.0,0.0,0.8090653854647137,0.37778343622493815,0.32282772712689767,-0.10001960811291526,-0.05009396806599897,0.282335794945471,0.4265963561547565,0.32748704460038675,0.022974929541992928,0.0499729327781743,0.09945855675895032,D_Sample1
01_17_47__s1,organoid,10680.0,3714.0,D_Sample1,GRCm39,3714,10680,16782,1,17,47,A1,B5,D11,1.4700374531835207,shGFP,10424.0,3686,7,1,12,0,1,Generalist NE,0.9214087093288954,0.0,0.0,0.0,0.0,0.07859129067110442,0.0,0.0,0.9214087093288954,0.3705825894217807,0.2533862176609627,-0.08338582345130158,-0.0562506600245166,0.37949948407351763,0.31350789083809905,0.2753976360474903,-0.02843065227798236,0.14435862249045447,0.13657718469607788,D_Sample1
01_17_51__s1,organoid,6363.0,2735.0,D_Sample1,GRCm39,2735,6363,9953,1,17,51,A1,B5,E3,2.1216407355021216,shGFP,9164.0,2729,1,2,2,2,2,Generalist NE,0.6323607716273072,0.0,0.0,0.0,0.0,0.3676392283726929,0.0,0.0,0.6323607716273072,0.3580310203206145,0.1696488915236508,-0.07871842945128282,-0.02932026955645744,0.3125400139372847,0.27133059064411075,0.1655097065463148,-0.07298695764693816,-0.021673855714782045,0.12426012463383956,D_Sample1
01_18_16__s1,organoid,7938.0,3379.0,D_Sample1,GRCm39,3379,7938,12490,1,18,16,A1,B6,B4,1.221970269589317,shGFP,9163.0,3358,23,2,5,19,2,Generalist NE,0.6286980952542931,0.0,0.0,0.0,0.0,0.3713019047457069,0.0,0.0,0.6286980952542931,0.37102716787038803,0.25592013199143354,-0.08153857838412204,-0.025692202157033626,0.38139232380822025,0.6132629164445246,0.4084202357173713,0.038487262147005236,0.1254768307508939,0.0908841341236985,D_Sample1
01_19_37__s1,organoid,3457.0,1828.0,D_Sample1,GRCm39,1828,3457,5239,1,19,37,A1,B7,D1,1.0702921608330922,shGFP,8720.0,2512,4,1,3,5,1,Intermediate,0.3422361238049052,0.0,0.0,0.0,0.0,0.0,0.6577638761950945,0.0,0.6577638761950945,0.21390153652787916,0.1199221975869127,-0.07461425420623005,-0.03995297748533564,0.422049947899523,-0.18543412009200846,-0.11002379984873388,0.0012364677448491734,0.07581882217803756,-0.020333059090650474,D_Sample1
01_20_29__s1,organoid,5700.0,2567.0,D_Sample1,GRCm39,2567,5700,8654,1,20,29,A1,B8,C5,1.2456140350877192,shGFP,9309.0,2603,2,1,4,0,1,Generalist NE,0.5685501156872126,0.0,0.0,0.0,0.0,0.43144988431278747,0.0,0.0,0.5685501156872126,0.4194345485765307,0.3564835538906196,-0.07540510511964418,-0.04494352658681579,0.21220952112075217,0.5258615367105567,0.2924796585732262,0.019408178913641105,0.09352977689839034,0.10540647482798865,D_Sample1
01_20_34__s1,organoid,3467.0,1882.0,D_Sample1,GRCm39,1882,3467,5419,1,20,34,A1,B8,C10,5.509085664839919,shGFP,8634.0,2416,7,6,18,8,6,Neuroendocrine1,0.4920471547481068,0.0,0.0,0.0,0.0,0.5079528452518932,0.0,0.0,0.5079528452518932,0.3471026228952688,0.35300876159005484,-0.05415660705047824,-0.026894049391699315,0.005796849903767498,0.27400074505105365,0.21212489251255484,0.10415789571808995,0.032164579931171,0.03448379220504172,D_Sample1
01_20_40__s1,organoid,7104.0,3268.0,D_Sample1,GRCm39,3268,7104,11100,1,20,40,A1,B8,D4,1.7595720720720722,shGFP,9141.0,3253,15,2,8,18,2,Generalist NE,0.7721295164713234,0.0,0.0,0.0,0.0,0.22787048352867653,0.0,0.0,0.7721295164713234,0.3459176089958164,0.264096544350293,-0.08349738771399315,-0.05231956342764282,0.18923452948339026,0.2616766528052104,0.07263293947396093,-0.030815814737303215,-0.00644125778761355,0.002750416667249872,D_Sample1
01_20_66__s1,organoid,7315.0,3146.0,D_Sample1,GRCm39,3146,7315,11303,1,20,66,A1,B8,F6,3.691045796308954,shGFP,9193.0,3130,2,4,12,0,4,Generalist NE,0.6565397847104563,0.0,0.0,0.0,0.0,0.27132685662541306,0.07213335866413065,0.0,0.6565397847104563,0.34881662179339273,0.19023121978191382,-0.09202980505190189,-0.04770867954686102,0.38728202426400754,0.3538911545337235,0.3805783136181087,0.012918962244445525,0.049217509412311206,0.021055114137604608,D_Sample1
01_21_04__s1,organoid,10811.0,3927.0,D_Sample1,GRCm39,3927,10811,16853,1,21,4,A1,B9,A4,1.2302284710017575,shGFP,10511.0,3907,6,2,8,7,2,Generalist NE,0.5647540397138923,0.0,0.0,0.0,0.0,0.4352459602861078,0.0,0.0,0.5647540397138923,0.4190206004523669,0.32919015942874646,-0.09640933912057117,-0.04037179610868269,0.018474344503251916,0.39089355110453944,0.3054157252332804,0.03875147903968923,-0.013052740665482176,0.28219091938429197,D_Sample1
01_22_45__s1,organoid,17232.0,5103.0,D_Sample1,GRCm39,5103,17232,28087,1,22,45,A1,B10,D9,1.0445682451253482,shGFP,10863.0,4700,11,8,1,11,8,Generalist NE,0.5543741928144001,0.0,0.0,0.0,0.0,0.44562580718559996,0.0,0.0,0.5543741928144001,0.3035840631832412,0.3582516074210176,-0.0037679119702702657,-0.020604051548470934,0.2936779015109564,0.5002101632971085,0.27658736538436146,0.20419413568389178,0.1350618556858718,0.3275020561051265,D_Sample1
01_24_47__s1,organoid,4779.0,2447.0,D_Sample1,GRCm39,2447,4779,7493,1,24,47,A1,B12,D11,3.43168026783846,shGFP,9125.0,2579,7,1,10,8,1,Generalist NE,0.6525713140220293,0.0,0.0,0.0,0.0,0.34742868597797066,0.0,0.0,0.6525713140220293,0.42045084955138523,0.2971204580759353,-0.084411208526389,-0.048486478454232665,-0.15840934096063586,0.735290666533969,0.24066172240684885,0.008509448742098136,-0.0467698968579304,0.19215813867080217,D_Sample1
01_24_48__s1,organoid,7377.0,3108.0,D_Sample1,GRCm39,3108,7377,11409,1,24,48,A1,B12,D12,1.599566219330351,shGFP,9183.0,3102,8,1,4,0,1,Generalist NE,0.892327231439521,0.0,0.0,0.0,0.0,0.07794513076491538,0.029727637795563675,0.0,0.892327231439521,0.28836044120158344,0.20192424992629726,-0.08602064929832223,-0.0403306906376406,0.3629358217363733,0.28853017324578806,0.38848429160248,-0.04594141954372695,0.07945296849803175,0.12705432112626444,D_Sample1
01_24_69__s1,organoid,9008.0,3550.0,D_Sample1,GRCm39,3550,9008,13998,1,24,69,A1,B12,F9,1.1545293072824157,shGFP,9415.0,3532,12,2,7,12,2,Generalist NE,0.7318086196586129,0.0,0.0,0.0,0.0,0.26819138034138706,0.0,0.0,0.7318086196586129,0.34067488778294736,0.29472823660995895,-0.08591589768544694,-0.023929506169216658,0.22672787154674234,0.266332644191292,-0.06585782432294435,0.01095317548909544,0.025423438294093076,0.07650543261201406,D_Sample1
01_25_05__s1,organoid,12681.0,4335.0,D_Sample1,GRCm39,4335,12681,19919,1,25,5,A1,C1,A5,1.7112215124990144,shGFP,10879.0,4318,17,2,5,14,2,Neuroendocrine1,0.22154221022714898,0.0,0.0,0.0,0.0,0.778457789772851,0.0,0.0,0.778457789772851,0.4108812737597745,0.289800684679256,-0.10719947778281638,-0.059478206898514074,0.15723213337723757,0.8680504643065163,0.48510504389070624,0.013005711268033765,0.053844778897415874,0.23663982305504438,D_Sample1
01_25_54__s1,organoid,12998.0,4566.0,D_Sample1,GRCm39,4566,12998,20354,1,25,54,A1,C1,E6,2.2003385136174796,shGFP,10875.0,4551,8,1,10,0,1,Generalist NE,0.6096589517395012,0.0,0.0,0.0,0.0,0.3903410482604987,0.0,0.0,0.6096589517395012,0.37457536972856775,0.2262872884776136,-0.10300158239355577,-0.0675471711045865,0.09469740439019753,0.25181527043682456,0.2525791546953834,0.05536128543871263,0.09599543849897155,0.13988435920073192,D_Sample1
01_26_43__s1,organoid,7568.0,3054.0,D_Sample1,GRCm39,3054,7568,12104,1,26,43,A1,C2,D7,0.991014799154334,shGFP,9256.0,3045,1,2,7,2,2,Generalist NE,0.7866086312206506,0.0,0.0,0.0,0.0,0.2133913687793492,0.0,0.0,0.7866086312206506,0.36467632378141834,0.24341719932573608,-0.08734920316919983,-0.03523872721529544,0.310184675148549,0.41587052386199524,0.23742357879018283,-0.003546370102590901,0.000535211167572866,0.0863919163788989,D_Sample1
01_26_78__s1,organoid,4830.0,2411.0,D_Sample1,GRCm39,2411,4830,7584,1,26,78,A1,C2,G6,1.6977225672877845,shGFP,9331.0,2595,22,1,10,17,1,Generalist NE,0.8545751268958401,0.0,0.0,0.0,0.0,0.0,0.14542487310415977,0.0,0.8545751268958401,0.29635111306000306,0.1796913467288575,-0.09953685211668675,-0.05255789577839695,0.7135220143308026,0.20793706360305475,0.05551374959408101,-0.047784697144454824,0.06524674338207649,0.02280374401598978,D_Sample1
01_27_32__s1,organoid,11241.0,3967.0,D_Sample1,GRCm39,3967,11241,17484,1,27,32,A1,C3,C8,1.1831687572280047,shGFP,10634.0,3935,3,3,6,4,3,Generalist NE,0.6315961339342967,0.0,0.0,0.0,0.0,0.3684038660657034,0.0,0.0,0.6315961339342967,0.36289238477022373,0.2859592861518816,-0.09803981614512726,-0.03678264350101038,0.23021597028187657,0.5087474586915602,0.4280716430706528,0.04324899030464799,0.022274246536228448,0.14360591834754405,D_Sample1
01_27_70__s1,organoid,8868.0,3590.0,D_Sample1,GRCm39,3590,8868,13826,1,27,70,A1,C3,F10,0.7329724853405503,shGFP,9347.0,3568,7,5,17,8,5,Generalist NE,0.6466348708851041,0.0,0.0,0.0,0.0,0.3533651291148959,0.0,0.0,0.6466348708851041,0.4357985733308938,0.4218374634555966,-0.0818370737895489,-0.0328408906729195,0.04215394115411908,0.3897403375326381,0.27942904591476186,0.10354834626148118,-0.027231343005667583,0.2961416678965133,D_Sample1
01_28_92__s1,organoid,8183.0,3342.0,D_Sample1,GRCm39,3342,8183,12776,1,28,92,A1,C4,H8,0.953195649517292,shGFP,9259.0,3334,13,4,12,3,4,Neuroendocrine1,0.41182828405853056,0.0,0.0,0.0,0.0,0.5881717159414697,0.0,0.0,0.5881717159414697,0.4424653856934153,0.32781680277621755,-0.09167212802029098,-0.04930716947629894,0.1578637434836731,0.7200464431139979,0.7651425490567592,-0.005008831220530169,0.082667390570494,0.11240945600387381,D_Sample1
01_28_96__s1,organoid,10526.0,3847.0,D_Sample1,GRCm39,3847,10526,16248,1,28,96,A1,C4,H12,1.3775413262397873,shGFP,10351.0,3830,2,1,4,0,1,Generalist NE,0.6555662332295521,0.0,0.0,0.0,0.0,0.34443376677044774,0.0,0.0,0.6555662332295521,0.37714551058142276,0.3098933700515912,-0.09718899062261556,-0.04207012799743328,0.3237069561392618,0.5476215145446002,0.3437701324210721,-0.03135291929462505,0.04573075334485498,0.12640814788544733,D_Sample1
01_29_07__s1,organoid,7385.0,3469.0,D_Sample1,GRCm39,3469,7385,11372,1,29,7,A1,C5,A7,0.9072444143534191,shGFP,9074.0,3447,2,6,13,0,6,Generalist NE,0.9124005535678164,0.0,0.0,0.0,0.0,0.08759944643218355,0.0,0.0,0.9124005535678164,0.39372719090725977,0.36173398184883343,-0.08836812041939328,-0.05007374803312615,0.3552342657807092,0.4340129509221455,0.30934761124171867,0.052324208494033964,0.14987871346370868,0.19457654734061766,D_Sample1
01_29_31__s1,organoid,8362.0,3330.0,D_Sample1,GRCm39,3330,8362,13052,1,29,31,A1,C5,C7,1.195886151638364,shGFP,9260.0,3312,1,2,7,2,2,Generalist NE,0.683318728832157,0.0,0.0,0.0,0.0,0.3166812711678428,0.0,0.0,0.683318728832157,0.43470866668985053,0.21234822487953092,-0.0776775845085527,-0.0402120462968655,0.25353853227308043,0.61995157058736,0.2138981275093964,0.04823575713845313,-0.006186982190483109,0.15961234942866676,D_Sample1
