gene,mean_cluster2,mean_rest,diff,pval
SP100,0.00047789311000820747,0.0006334193916462757,-0.00015552628163806824,7.146761220448799e-28
CD44,0.0028083845841152086,0.0029549851481453365,-0.00014660056403012793,3.11980546142217e-05
BCL6,0.005554207059256696,0.005672569764332333,-0.00011836270507563709,0.0004179908218618625
REST,0.0002565534926563912,0.0003499541247705708,-9.340063211417962e-05,7.946553453944773e-17
SP110,0.00021970090499078113,0.00030799684619848986,-8.829594120770873e-05,1.6492479272925522e-21
TEAD4,0.00020552470253179015,0.0002937349936260221,-8.821029109423194e-05,2.0696035425431432e-26
ELF5,0.00014141942135607337,0.00019660477195981686,-5.518535060374349e-05,1.9397808600689738e-35
NEUROG2,3.040640450176499e-05,6.911641991713228e-05,-3.871001541536729e-05,6.939590043311111e-102
SOX9,0.0006326705420805233,0.0006619060807941004,-2.923553871357718e-05,0.005960118227000329
LMX1B,0.03580868574016743,0.03567911111396987,0.00012957462619755944,0.7629852285064351
SMAD3,0.0006491122224575103,0.0004985231604670191,0.0001505890619904912,2.8048697613491877e-30
REL,0.003116372558245043,0.002823892644590545,0.000292479913654498,1.7491678848155685e-23
ESR1,0.0013057234411818423,0.0009537677824135569,0.0003519556587682854,9.179668373509211e-50
RARG,0.0015174675142015082,0.0011118299936430827,0.0004056375205584255,2.741068400579556e-63
PLAGL1,0.0013556335844408256,0.0009007794349732629,0.00045485414946756265,7.627291271891218e-77
ICAM1,0.001350851899313745,0.0008952267387976559,0.000455625160516089,2.0367543506404974e-134
PRDM16,0.0019826799705480683,0.0014859642669981562,0.0004967157035499121,2.7113815829199916e-38
MECOM,0.017657589751453307,0.01659709940226712,0.0010604903491861876,0.0008892637843929948
NFATC2,0.07644082160762301,0.07517272870282674,0.001268092904796278,1.9749515758867357e-07
THRB,0.03150113660918611,0.030218560138791043,0.0012825764703950672,0.003600604191016046
AHR,0.010996150582015054,0.009174368133022517,0.0018217824489925368,3.596200488081021e-67
NPAS2,0.026019561556842832,0.023574152097096172,0.00244540945974666,4.004836447942256e-36
GATA6,0.006442198269799617,0.0035380394005125704,0.002904158869287047,1.2280370447313647e-244
EHF,0.05084495291581261,0.046793037384453735,0.004051915531358877,6.49978484762366e-24
ETS1,0.05211886130672924,0.04784482781637947,0.004274033490349771,4.826211924591743e-37
EPAS1,0.00859312513488219,0.004300623802133876,0.004292501332748315,1.8207190188714603e-294
LCOR,0.3024435969646307,0.2980616798250944,0.004381917139536284,0.04444868159651451
ZBTB7A,0.05649275643153712,0.05143655668414026,0.005056199747396857,1.0615933182410208e-40
PPARG,0.011522085277400047,0.006045984415653475,0.005476100861746572,8.236626608305153e-251
PBX1,0.42930641112146517,0.42379995500046463,0.005506456121000536,0.6396855427841828
TEAD1,0.34554140475398987,0.3398160389519399,0.005725365802049964,0.03380866918040037
HIF1A,0.17135778995257195,0.16352950387374013,0.00782828607883182,2.423453135804301e-16
GRHL2,0.061459874796587745,0.0532181505561706,0.008241724240417143,2.8189951957765764e-69
EPCAM,0.1676163449620294,0.1589442524880481,0.008672092473981291,6.097170324220208e-22
JUND,0.056142166360781245,0.04698729903857265,0.009154867322208597,2.928992387883387e-97
ASCL1,0.3895520277994054,0.37983289314835045,0.00971913465105495,1.0985422660864755e-05
NFE2L2,0.04793119507493884,0.03637664406657798,0.011554551008360864,7.778663840679173e-208
JUNB,0.05561148917588999,0.04257008573554698,0.013041403440343012,1.3884349078514371e-169
FOXO3,0.12403057239091896,0.11026844025845685,0.013762132132462107,5.894709301969992e-68
ZFP423,0.04343229915629261,0.028859907148738248,0.014572392007554363,3.404035140201377e-268
TCF7L1,0.09519252459367424,0.07814228148470831,0.017050243108965926,3.2826024569266773e-100
NR3C2,0.07276850596918213,0.050958118076622004,0.02181038789256013,1.4971744456458932e-207
BBX,0.2379024844326061,0.21413485503874702,0.02376762939385907,3.855102044419793e-43
SOX5,0.16087826026444838,0.12500477879906344,0.03587348146538494,2.71144683286199e-138
FOSB,0.11636029180989862,0.07764157593503504,0.038718715874863585,1.5508867211659172e-195
NFYC,0.1862297531514962,0.14659937310844567,0.03963038004305053,1.2564291388302657e-148
NR6A1,0.264275354453511,0.21260432179443517,0.051671032659075855,4.312692151502635e-122
JUN,0.3061100940347039,0.23704099855048066,0.06906909548422324,5.636445204702835e-152
FOS,0.26294268200968596,0.17606072923205418,0.08688195277763178,8.251839121287626e-204
GLIS3,0.18657610140361122,0.08394417765802574,0.10263192374558548,0.0
MEIS2,1.0870176608694357,0.9475225160255983,0.1394951448438374,6.664606281545931e-66
EGR1,0.5518699555720923,0.3334604768986466,0.21840947867344568,1.0215095208365753e-254
