,EGR1,PRDM16,TCF12,LMX1B,CUX1,RARB,KMT2A,EHF,TEAD1,NFIA,PBX1,MEIS2,ZBTB18,SIX1,HSF2,ZBTB7A,SOX9,GRHL2,ICAM1,TBX15,NFKB1,NFIB,CREB1,SIX4,ESR1,EPCAM,NFATC2,RORB,NFIX,PROX1,REST,ZBTB20,SP100,JUND,STAT1,NR3C2,ASCL1,SMAD3,CD44,JUN,PPARG,ZEB1,TCF4,NCAM1,TCF7L2,JUNB,FOS,PKNOX2,RUNX1,RORA,FOXO3,ETS1,CUX2
EPCAM,,,,,,,,,,,,,,,,,0.8109088172792692,,,,,,,,2.4790160943769686,,,,,,,,,,3.8355129385352553,,,,,,0.29390361191353864,,,,,,,,2.09028106382424,,,,
NFATC2,7.185762023842567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.8442205706189085,,,46.05870486695419,-14.759100619023194,,9.54562850606081,,-8.116744444143603,,,,3.8045743951759885,1.7761325932771228,,,,,,
RORB,-19.92869458961633,,,,,,,,,,,14.50517155584616,,-24.394157834243934,,,,,,,,,,9.54578861025693,,,,,,,,,,0.5320725301637289,,,,,,,,,,,,-9.855006351934936,-12.253472477809996,,,,8.208608381602737,,
NFIX,,,,,,,,-2.444081518703362,,,,,,,37.31918791146781,,,17.39010645060992,,,-15.82899251700514,,,,,,,-23.242442315111543,,3.4385657533721496,,,,,10.858305422112512,,,,,,,,,,,,,,,33.26989471891476,,,
PROX1,,,,,,,,,,,,3.432556217942369,,,,,,,,,,,,,,,21.22552715351738,,,,,,,,10.123316264485954,,40.490555215215934,,,33.389155589235905,,,,,-11.604752505126463,,,2.678500180892861,,,9.315799294473656,,
REST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8141219971149063,,,,,,,,,,,,,,,,,,,,,,
ZBTB20,,,,,,,,34.258791235125756,,,,,,,,,,,,,,,,,,,,,,,,,,15.53426614965715,,,,,,24.929872251719893,,24.40323189152869,20.82742379891807,,-3.320511753389235,15.72661797966671,13.654333967056317,,,,,,
SP100,22.05848829605863,,,,-12.971853463101702,,,,-10.723515401865212,-23.163414345491613,,,,,,,20.643094376059157,,,,,,,,,,,4.93246176640821,,,,,,,,,,,,,,,,,,,,,,16.625415138699445,,,-11.73087572249177
JUND,,0.8551927813102241,,,,,,,,,,,,,,,,0.6767322397009472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAT1,,,,,,,,26.926688209304768,,-10.11585442847834,,,,,,,,,,,,,,,,,,,,,,,,9.175679660747493,,,,,,-6.527155261672347,,7.658957917009906,,,4.308560029380924,16.072941708387727,4.605819373288323,,,,,,
NR3C2,,,,,,,,,,,,,,,,,,,,-1.1892587168361926,,,,,,,,0.08367427329109373,,,,,,,,,,,,,,,,,,,,,,1.05974824545967,,,
ASCL1,-1.495980216387985,,,,,,,,,,,,1.1570547200530394,,,,,,,,,,,,,,38.40639660917177,,,,,,,,25.69663131175874,,,,,,-8.698678343621369,,-26.073172703890535,,,8.614416141985835,8.125096441328104,,,,,,
SMAD3,,,,,17.654810844724107,,,,,,,,,,,,,,,-11.87874015669365,,,,,,,,29.679854145977263,,,,,,,7.8695579548965835,,,,,9.418173000383307,,,,,,,,,,24.652029669816095,13.757093991969887,,2.230940600295897
CD44,,,,,,,,,,,,,,,,,24.27612367849729,,,,,,1.2491945999340912,,-0.5359606419052612,,,,,,,,,,,,,-3.869150198159295,,-12.578181942241962,1.952593274875341,,,,,,,,-5.385474274061332,,,,
JUN,35.242364108830394,,,,,,,17.445178945081143,,,,-19.57039235448401,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08507622029839035,,,,10.011184398729094,,,19.6138365215146,,,,,,24.55025598345609,25.51563335794467,
PPARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.076600247001771,,,,,,19.750654589892275,,,,,,8.781040416656229,,-13.539165969493094,18.1762274296253,,,-27.056674333799464,-17.300105061644995,,,16.089251879119605,,,
ZEB1,,,,,,,,,,3.0594482726292536,,,,,,,,,,,,,,,,,,-1.1460546048184275,-0.10366874120209424,,,,,,,,,,,,-2.086473568307728,,,,,,,,,2.078221111124309,,,
TCF4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7597876176004323,,,,,,,,,,
NCAM1,,,,,7.417872896548152,,,,7.290028825214498,,,,,,,,,,,,,,,,,,,,,,-6.682164707361586,,,,,,,,,,-3.714667686895515,,0.3251138426211766,,,,,,,,,-3.0907370383427666,
TCF7L2,,,,,,,,,9.450368300741573,3.0025047722810494,,,,,,,,,,-0.20152096556501786,,,,,,,,,-0.10001435520911195,-6.195449559161162,,,,,,,,,,,3.978756408503779,,,,,,,,,,,,
JUNB,36.18979289225029,,,,,,,,-11.300939811054828,,,,,,,,,,,,,,,,,,,-1.6141871156495555,,12.709672048198971,,,,,,,,,,,,3.5051184269524303,-13.852997720431201,,,51.29592733193982,,,,7.844948907474985,,,
FOS,,6.058382663326093,,,,-16.34172158472371,,,,,,,-22.96769846503065,,-1.5396437938436378,30.312676907850122,,,,,,,,,,,,,,,,,-0.19486047087955516,,,,,,,,,4.7992195280481,,,,,,,,,10.287205645373346,,
PKNOX2,-19.555669367323958,,,,,,,,,,,,-8.575382757663883,,4.758126034022837,,,,,,,,,,,,,,,,11.244909435603216,,,,-2.071773987319411,,,,,,,-24.968706060541788,-12.95555999130708,,6.614562353831217,,,,,,,,
RUNX1,,,,,,,,,,,,-19.013321844926256,,,-35.11230705913443,33.231292736051905,,,,,,,,,,,,50.677934702173445,,,,,,,5.7158454251966475,,,,,,,11.760811381336048,-48.1486532614082,,11.005208030612284,,,,,21.30630861945296,,,
RORA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7346618029281231,,,
FOXO3,-7.013077467366682,,,,,,,,8.8643875941095,,,,,,,,,,,,,,19.54060188368442,,,,,-0.6190595722808847,,,,,,,5.876556180139404,,,,,12.368873268173806,,,,,-6.023324339229121,,,,,8.361497765197432,140.07475383639027,,
ETS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.510833143489624,,,,,,22.25001040288416,,,,,,,17.61490035117787,,10.289961744641161,,12.404940311071664,1.1639514594936795,18.463210081967958,,,23.30209561174451,,,
CUX2,-5.2882297244144905,,,,,,,,,,,,32.92010230197021,,,1.9111322582633223,,,,,,,,,,,,-25.863609569100138,,,,,,-5.297744918742499,,,,,,,,6.440478593511306,,,,,-7.508053218809785,,,5.405136432596504,,,
