,ASCL1,CD44,CREB1,CUX1,CUX2,EGR1,EHF,EPCAM,ESR1,ETS1,FOS,FOXO3,GRHL2,HSF2,ICAM1,JUN,JUNB,JUND,KMT2A,LMX1B,MEIS2,NCAM1,NFATC2,NFIA,NFIB,NFIX,NFKB1,NR3C2,PBX1,PKNOX2,PPARG,PRDM16,PROX1,RARB,REST,RORA,RORB,RUNX1,SIX1,SIX4,SMAD3,SOX9,SP100,STAT1,TBX15,TCF12,TCF4,TCF7L2,TEAD1,ZBTB18,ZBTB20,ZBTB7A,ZEB1
SP100,,,,-0.1013426051804821,-0.09164746658196699,0.17233193981295808,,,,,,,,,,,,,,,,,,-0.1809641745741533,,,,,,,,,,,,0.12988605577108958,0.03853485755006403,,,,,0.16127417481296213,,,,,,,-0.0837774640770721,,,,
STAT1,,,,,,,0.21036475163519364,,,,0.035982963853815,,,,,-0.050993400481815165,0.12556985709677904,0.07168499734958972,,,,,,-0.07903011272248706,,,,,,,,,,,,,,,,,,,,,,,,0.03366062522953844,,,,,0.0598356087266399
TBX15,0.15255733668106186,,,,,0.38941142959764363,,,,,,-0.022261808253340898,,,,,,,,,0.29595015149681214,,0.018454640431702085,0.09096803563838596,,,,,,,,,,,,,,,,,,0.015484688488253018,,-0.0001605429114548973,,,,,,,,,
TCF12,,,,,,-0.09023965950941493,,,,,-0.0762956620753934,,,,,0.06779976485014777,-0.030216727183654035,0.1947174298154276,,,,,0.2492496918784215,,,,,,,,,,,,,,,,,,,,,,-0.022846382602489335,,,,,,,,-0.07982207898741756
TCF4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7597876176004323,,,,,,
TCF7L2,,,,,,,,,,,,,,,,,,,,,,,,0.0938282741337827,,-0.0031254486002847415,,,,,0.12433613776574304,,-0.1936077987237863,,,,,,,,,,,,-0.006297530173906829,,,,0.29532400939817416,,,,
TEAD1,,,0.14935886619960137,,,0.012175076149446684,,,,,0.09862120846004296,,,,,,-0.06936853364947193,0.17243688937416002,,,,,,,,,,,0.11816042639025637,,,,,,,,,,,,,,,,,,,0.10555923595982375,0.41131650907267303,,,,
ZBTB18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7351235804675252,,,
ZBTB20,,,,,,,0.26764680652441997,,,,0.10667448411762748,,,,,0.1947646269665616,0.1228642029661462,0.12136145429419654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16271424842904725,-0.02594149807335344,,,,,0.190650249152568
ZBTB7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7138001843643337,
ZEB1,,,,,,,,,,,,,,,,,,,,,,,,0.19121551703932826,,-0.006479296325130834,,,,,-0.130404598019233,,,,,0.12988881944526937,-0.07162841280115173,,,,,,,,,,,,,,,,
