cluster,gene,mean,count,std,ci95_hi,ci95_lo,sig,mean_sig
AT2 cells_Club cells_2,LMX1B,-0.0211338,10,0.05495316473507236,0.01292652437866533,-0.05519412437866533,Not significant,no
AT2 cells_Club cells_2,MEIS2,-0.39475230000000006,10,0.3834600328181543,-0.15708130931173667,-0.6324232906882634,Master destabilizer,yes
AT2 cells_Club cells_2,NFATC2,-0.28503110000000004,10,0.3096496473588067,-0.09310826018493293,-0.4769539398150672,Master destabilizer,no
AT2 cells_Club cells_2,NFIA,-0.43044980000000005,10,0.3991015008465335,-0.18308412698773383,-0.6778154730122663,Master destabilizer,yes
AT2 cells_Club cells_2,NFIB,0.0086064,10,0.07165050682801281,0.053015844228065497,-0.035803044228065496,Not significant,no
AT2 cells_Club cells_2,NFIX,-0.3480753,10,0.3224067587194957,-0.1482455206451522,-0.5479050793548478,Master destabilizer,yes
AT2 cells_Club cells_2,NFKB1,-0.04951289999999999,10,0.03355223247896066,-0.028717010857469322,-0.07030878914253066,Master destabilizer,no
AT2 cells_Club cells_2,NR3C2,-0.043933799999999995,10,0.04133481660188068,-0.01831421524305227,-0.06955338475694772,Master destabilizer,no
AT2 cells_Club cells_2,PBX1,-0.036426599999999996,10,0.11613948228956805,0.03555739690033315,-0.10841059690033314,Not significant,no
AT2 cells_Club cells_2,PKNOX2,-0.2728794,10,0.24283935491284953,-0.12236600845808154,-0.42339279154191845,Master destabilizer,no
AT2 cells_Club cells_2,PPARG,-0.252281,10,0.23689058838112492,-0.1054546921538122,-0.39910730784618775,Master destabilizer,no
AT2 cells_Club cells_2,PRDM16,-0.33263030000000005,10,0.31020116894544775,-0.14036562356399596,-0.5248949764360041,Master destabilizer,yes
AT2 cells_Club cells_2,PROX1,-0.20835299999999995,10,0.20297786307159485,-0.0825460170675959,-0.334159982932404,Master destabilizer,no
AT2 cells_Club cells_2,RARB,-0.12371889999999999,10,0.07041228198175215,-0.08007691548277522,-0.16736088451722475,Master destabilizer,no
AT2 cells_Club cells_2,REST,-0.23358169999999995,10,0.2688321128292402,-0.06695783019178875,-0.40020556980821115,Master destabilizer,no
AT2 cells_Club cells_2,RORA,-0.3890162,10,0.41474905010266955,-0.13195207547971732,-0.6460803245202826,Master destabilizer,yes
AT2 cells_Club cells_2,RORB,-0.39236270000000006,10,0.4067638472015837,-0.14024785551393648,-0.6444775444860636,Master destabilizer,yes
AT2 cells_Club cells_2,RUNX1,-0.048269700000000006,10,0.05924845530297721,-0.011547126945598452,-0.08499227305440156,Master destabilizer,no
AT2 cells_Club cells_2,SIX1,-0.2785262,10,0.23799359848337656,-0.13101623940957532,-0.4260361605904247,Master destabilizer,no
AT2 cells_Club cells_2,SIX4,-0.24032689999999998,10,0.2183652679985991,-0.10498270468526438,-0.3756710953147356,Master destabilizer,no
AT2 cells_Club cells_2,SMAD3,-0.3250705,10,0.3110499913026664,-0.13227971801636984,-0.5178612819836301,Master destabilizer,yes
AT2 cells_Club cells_2,SOX9,-0.2407999,10,0.23731809386580704,-0.09370862150922554,-0.3878911784907745,Master destabilizer,no
AT2 cells_Club cells_2,SP100,-0.18767,10,0.17881401242756242,-0.0768399268623487,-0.2985000731376513,Master destabilizer,no
AT2 cells_Club cells_2,STAT1,-0.31285569999999996,10,0.39810838982676006,-0.06610556357494549,-0.5596058364250545,Master destabilizer,yes
AT2 cells_Club cells_2,TBX15,-0.3166186999999999,10,0.29304595103917674,-0.13498693778269882,-0.498250462217301,Master destabilizer,yes
AT2 cells_Club cells_2,TCF12,-0.036881000000000004,10,0.05367573876115312,-0.003612432442824026,-0.07014956755717598,Master destabilizer,no
AT2 cells_Club cells_2,TCF4,-0.33212909999999995,10,0.34604909882380375,-0.11764564643174474,-0.5466125535682551,Master destabilizer,yes
AT2 cells_Club cells_2,TCF7L2,-0.4327965000000001,10,0.42132388520056635,-0.17165725046644092,-0.6939357495335592,Master destabilizer,yes
AT2 cells_Club cells_2,TEAD1,-0.045734199999999996,10,0.040156713053845536,-0.020844811387190337,-0.07062358861280965,Master destabilizer,no
AT2 cells_Club cells_2,ZBTB18,0.002506499999999995,10,0.10641463885120944,0.06846297649019688,-0.06344997649019689,Not significant,no
AT2 cells_Club cells_2,ZBTB20,-0.0235569,10,0.05323353550045101,0.00943758713663189,-0.05655138713663189,Not significant,no
AT2 cells_Club cells_2,ZBTB7A,0.015791500000000003,10,0.13429395830891938,0.09902775771415237,-0.06744475771415237,Not significant,no
AT2 cells_Club cells_2,ZEB1,-0.2859111,10,0.26840495980243073,-0.11955198238072276,-0.4522702176192772,Master destabilizer,no
Club cells_1,ASCL1,-0.2893623571428571,56,0.27848322175367496,-0.21642314087915004,-0.3623015734065641,Master destabilizer,no
Club cells_1,CREB1,-0.05516146428571428,56,0.10923134245210764,-0.0265520261309929,-0.08377090244043565,Master destabilizer,no
Club cells_1,CUX1,-0.25949875,56,0.2519644539353085,-0.19350522378099433,-0.32549227621900567,Master destabilizer,no
Club cells_1,CUX2,-0.17236258928571427,56,0.2385256594853077,-0.10988889858333135,-0.2348362799880972,Master destabilizer,no
Club cells_1,EGR1,-0.40235391071428567,56,0.4087126538198723,-0.29530552029796825,-0.509402301130603,Master destabilizer,yes
Club cells_1,EHF,-0.2696441428571429,56,0.2629928024037871,-0.20076211553236722,-0.33852617018191855,Master destabilizer,no
Club cells_1,ESR1,-0.15197710714285712,56,0.155773110029553,-0.11117763459665923,-0.19277657968905498,Master destabilizer,no
Club cells_1,ETS1,-0.009558678571428572,56,0.04326424708698737,0.0017729207073081763,-0.02089027785016532,Not significant,no
Club cells_1,FOS,-0.19925875,56,0.27454018370671746,-0.127352278556724,-0.27116522144327604,Master destabilizer,no
Club cells_1,FOXO3,-0.2801583035714285,56,0.33766477820136775,-0.19171848975869127,-0.36859811738416576,Master destabilizer,no
Club cells_1,GRHL2,-0.14542358928571428,56,0.14003064256132416,-0.10874732111771468,-0.18209985745371388,Master destabilizer,no
Club cells_1,HSF2,-0.2699306607142857,56,0.2618160794783084,-0.20135683597135123,-0.3385044854572201,Master destabilizer,no
Club cells_1,JUN,-0.021921714285714287,56,0.07750011941051548,-0.0016231916869390434,-0.04222023688448953,Master destabilizer,no
Club cells_1,JUNB,0.0017949464285714443,56,0.17674519158015636,0.04808734304425817,-0.044497450187115276,Not significant,no
Club cells_1,JUND,-0.1259689642857143,56,0.3373111599823719,-0.03762176874846132,-0.21431615982296728,Master destabilizer,no
Club cells_1,KMT2A,-0.014630357142857145,56,0.037201973870617806,-0.004886564319367365,-0.024374149966346924,Master destabilizer,no
Club cells_1,LMX1B,0.0008007321428571427,56,0.04177015820436711,0.011741005612303186,-0.0101395413265889,Not significant,no
Club cells_1,MEIS2,-0.3864818571428571,56,0.38443770998884874,-0.2857914633294607,-0.4871722509562535,Master destabilizer,yes
Club cells_1,NFATC2,-0.30550116071428574,56,0.3078508938979611,-0.22487008073180703,-0.38613224069676444,Master destabilizer,yes
Club cells_1,NFIA,-0.4193928392857142,56,0.4100626019767659,-0.3119908758248866,-0.5267948027465418,Master destabilizer,yes
Club cells_1,NFIB,0.048746982142857144,56,0.06260229229392658,0.06514352520019577,0.03235043908551852,Not significant,no
Club cells_1,NFIX,-0.32300914285714283,56,0.31257763423231383,-0.2411400538725466,-0.40487823184173904,Master destabilizer,yes
Club cells_1,NFKB1,-0.015527517857142856,56,0.04395308255525165,-0.004015501536138902,-0.02703953417814681,Master destabilizer,no
Club cells_1,NR3C2,-0.017234839285714284,56,0.041904165269544956,-0.006259467219497057,-0.02821021135193151,Master destabilizer,no
Club cells_1,PBX1,0.023491785714285722,56,0.1096460337704452,0.05220983816742131,-0.005226266738849867,Not significant,no
Club cells_1,PKNOX2,-0.21035548214285718,56,0.2067967161303355,-0.15619210990998073,-0.26451885437573364,Master destabilizer,no
Club cells_1,PPARG,-0.26512978571428575,56,0.26478062504178224,-0.19577949900493136,-0.33448007242364014,Master destabilizer,no
Club cells_1,PRDM16,-0.2897581607142858,56,0.2879100721376714,-0.21434990134444823,-0.36516642008412337,Master destabilizer,no
Club cells_1,PROX1,-0.21581173214285712,56,0.22974732062709013,-0.155637228990746,-0.27598623529496824,Master destabilizer,no
Club cells_1,RARB,-0.07971707142857143,56,0.08281844754924794,-0.05802559350620587,-0.10140854935093699,Master destabilizer,no
Club cells_1,REST,-0.22895791071428562,56,0.2744175179422955,-0.1570835673994584,-0.30083225402911284,Master destabilizer,no
Club cells_1,RORA,-0.38320310714285716,56,0.4397756268674735,-0.2680188265474296,-0.4983873877382847,Master destabilizer,yes
Club cells_1,RORB,-0.38515962500000006,56,0.39400036621573026,-0.2819646183550093,-0.4883546316449908,Master destabilizer,yes
Club cells_1,RUNX1,-0.017396875,56,0.044151244732401985,-0.0058329568308220815,-0.028960793169177917,Master destabilizer,no
Club cells_1,SIX1,-0.19637248214285716,56,0.2049547015017523,-0.14269156304489158,-0.25005340124082276,Master destabilizer,no
Club cells_1,SIX4,-0.18951007142857137,56,0.18522489269218423,-0.14099670527164285,-0.2380234375854999,Master destabilizer,no
Club cells_1,SMAD3,-0.292574875,56,0.2881863744401316,-0.21709424763159366,-0.36805550236840634,Master destabilizer,no
Club cells_1,SOX9,-0.2244682857142857,56,0.2611860608807943,-0.15605947293309483,-0.2928770984954766,Master destabilizer,no
Club cells_1,SP100,-0.16348764285714285,56,0.16806464625574924,-0.1194688200988567,-0.207506465615429,Master destabilizer,no
Club cells_1,STAT1,-0.32441237500000003,56,0.36992944438378145,-0.22752192832853713,-0.42130282167146293,Master destabilizer,yes
Club cells_1,TBX15,-0.32041957142857136,56,0.31738173155164756,-0.23729221240845852,-0.40354693044868417,Master destabilizer,yes
Club cells_1,TCF12,0.00019119642857142689,56,0.04607971056073068,0.012260210686568847,-0.011877817829425992,Not significant,no
Club cells_1,TCF4,-0.29551901785714285,56,0.3427644779788165,-0.20574351099042215,-0.38529452472386355,Master destabilizer,no
Club cells_1,TCF7L2,-0.42554348214285714,56,0.41817264491755685,-0.31601736853667706,-0.5350695957490372,Master destabilizer,yes
Club cells_1,TEAD1,-0.007849178571428571,56,0.06255233417986375,0.00853427965565418,-0.02423263679851132,Not significant,no
Club cells_1,ZBTB18,0.012094535714285707,56,0.09976585641098304,0.03822481146544452,-0.014035740036873107,Not significant,no
Club cells_1,ZBTB20,0.0019607678571428562,56,0.04127029617665429,0.01277011945520374,-0.008848583740918025,Not significant,no
Club cells_1,ZBTB7A,0.016940000000000007,56,0.10269819557696054,0.04383830234622226,-0.009958302346222248,Not significant,no
Club cells_1,ZEB1,-0.22461989285714293,56,0.23318275433812763,-0.16354559459051454,-0.2856941911237713,Master destabilizer,no
Club cells_2,ASCL1,-0.31312283333333335,24,0.3077446967369384,-0.1899993119180018,-0.4362463547486649,Master destabilizer,yes
Club cells_2,CREB1,-0.058793500000000005,24,0.10310922123103039,-0.017541219967344167,-0.10004578003265585,Master destabilizer,no
Club cells_2,CUX1,-0.29705275,24,0.2880752476516977,-0.1817986471688156,-0.41230685283118435,Master destabilizer,no
Club cells_2,CUX2,-0.256302625,24,0.26973715939117193,-0.14838528548789603,-0.364219964512104,Master destabilizer,no
Club cells_2,EGR1,-0.4060954583333333,24,0.4079498705814104,-0.24288151781871464,-0.5693093988479521,Master destabilizer,yes
Club cells_2,EHF,-0.28589633333333325,24,0.2681458147390296,-0.17861566428032966,-0.39317700238633685,Master destabilizer,no
Club cells_2,ESR1,-0.15479883333333336,24,0.15194132400332722,-0.09400964327366258,-0.21558802339300415,Master destabilizer,no
Club cells_2,ETS1,0.0007323749999999992,24,0.045158990446616594,0.018799734035927045,-0.017334984035927044,Not significant,no
Club cells_2,FOS,-0.1746970416666667,24,0.290070621363365,-0.0586446230869901,-0.2907494602463433,Master destabilizer,no
Club cells_2,FOXO3,-0.3295901666666667,24,0.3337462135176403,-0.1960638719716499,-0.4631164613616835,Master destabilizer,yes
Club cells_2,GRHL2,-0.13503954166666668,24,0.1352588489880178,-0.08092473167458797,-0.1891543516587454,Master destabilizer,no
Club cells_2,HSF2,-0.28543999999999997,24,0.2707254222552887,-0.1771272729955875,-0.39375272700441244,Master destabilizer,no
Club cells_2,JUN,-0.0325635,24,0.07792630637534638,-0.0013864842672995786,-0.06374051573270043,Master destabilizer,no
Club cells_2,JUNB,-0.04064062499999999,24,0.20896194150481553,0.04296156328352368,-0.12424281328352366,Not significant,no
Club cells_2,JUND,-0.10227462500000001,24,0.31834386218266403,0.025089445765421464,-0.22963869576542148,Not significant,no
Club cells_2,KMT2A,-0.013935125,24,0.036286643053803296,0.000582555793519856,-0.028452805793519855,Not significant,no
Club cells_2,LMX1B,-0.008422375,24,0.037924139672466384,0.006750440884825227,-0.023595190884825226,Not significant,no
Club cells_2,MEIS2,-0.39315525,24,0.3953478829060333,-0.23498315461180233,-0.5513273453881977,Master destabilizer,yes
Club cells_2,NFATC2,-0.3199458333333333,24,0.3147608131050937,-0.19401528075526672,-0.4458763859113999,Master destabilizer,yes
Club cells_2,NFIA,-0.4465163333333333,24,0.4234069154455339,-0.277118286920141,-0.6159143797465256,Master destabilizer,yes
Club cells_2,NFIB,0.025893374999999996,24,0.05474115829405696,0.04779439960572926,0.003992350394270733,Not significant,no
Club cells_2,NFIX,-0.2454794166666667,24,0.22640417444548272,-0.15489888183884115,-0.33605995149449225,Master destabilizer,no
Club cells_2,NFKB1,-0.023814333333333337,24,0.03369692114779301,-0.010332757089900889,-0.03729590957676578,Master destabilizer,no
Club cells_2,NR3C2,-0.03188741666666667,24,0.046472563514884,-0.013294518950410474,-0.05048031438292286,Master destabilizer,no
Club cells_2,PBX1,-0.050004458333333335,24,0.17071308335841548,0.01829499961873697,-0.11830391628540364,Not significant,no
Club cells_2,PKNOX2,-0.22424816666666667,24,0.21812082559317733,-0.13698166158694522,-0.31151467174638814,Master destabilizer,no
Club cells_2,PPARG,-0.3085505833333333,24,0.2931656465702441,-0.1912598967789988,-0.4258412698876678,Master destabilizer,yes
Club cells_2,PRDM16,-0.3059111666666667,24,0.2994367854136171,-0.18611150203450497,-0.42571083129882836,Master destabilizer,yes
Club cells_2,PROX1,-0.36094554166666654,24,0.35283010762454214,-0.2197840991700044,-0.5021069841633287,Master destabilizer,yes
Club cells_2,RARB,-0.09371799999999998,24,0.07894732124100497,-0.06213249324532512,-0.12530350675467483,Master destabilizer,no
Club cells_2,REST,-0.23316100000000003,24,0.280069409339123,-0.1211098995775576,-0.34521210042244244,Master destabilizer,no
Club cells_2,RORA,-0.3894532916666667,24,0.4591274978963506,-0.20576403586795342,-0.57314254746538,Master destabilizer,yes
Club cells_2,RORB,-0.3970115416666666,24,0.4094719549597016,-0.23318864057357636,-0.5608344427597568,Master destabilizer,yes
Club cells_2,RUNX1,-0.018435083333333335,24,0.03386834779210032,-0.004884922148112038,-0.03198524451855463,Master destabilizer,no
Club cells_2,SIX1,-0.201610125,24,0.19972262164166202,-0.12170443452487394,-0.28151581547512605,Master destabilizer,no
Club cells_2,SIX4,-0.194485,24,0.18863496930775886,-0.11901529433323609,-0.2699547056667639,Master destabilizer,no
Club cells_2,SMAD3,-0.31235516666666663,24,0.2971330634593761,-0.1934771827730374,-0.4312331505602959,Master destabilizer,yes
Club cells_2,SOX9,-0.2530127916666667,24,0.3028452129563994,-0.13184947201134437,-0.374176111321989,Master destabilizer,no
Club cells_2,SP100,-0.17963716666666665,24,0.1810233270228061,-0.10721275215134807,-0.25206158118198524,Master destabilizer,no
Club cells_2,STAT1,-0.3442272916666667,24,0.3629248544002367,-0.19902710931843853,-0.4894274740148949,Master destabilizer,yes
Club cells_2,TBX15,-0.3853137916666666,24,0.3826876317659181,-0.23220685164556826,-0.5384207316877649,Master destabilizer,yes
Club cells_2,TCF12,-0.006551458333333335,24,0.03846569755552304,0.008838025829838093,-0.021940942496504766,Not significant,no
Club cells_2,TCF4,-0.3047416666666667,24,0.3430031430670629,-0.16751182882142363,-0.44197150451190975,Master destabilizer,yes
Club cells_2,TCF7L2,-0.43279570833333336,24,0.4334270475523588,-0.2593887741533644,-0.6062026425133022,Master destabilizer,yes
Club cells_2,TEAD1,0.02647945833333333,24,0.05760802547122962,0.04952746869064894,0.003431447976017722,Not significant,no
Club cells_2,ZBTB18,0.009148083333333333,24,0.1035987831739504,0.05059622893573697,-0.0323000622690703,Not significant,no
Club cells_2,ZBTB20,-0.012254125,24,0.03760080628912619,0.002789330589846664,-0.027297580589846663,Not significant,no
Club cells_2,ZBTB7A,0.011292916666666665,24,0.1285405737101398,0.06271985674962724,-0.040134023416293914,Not significant,no
Club cells_2,ZEB1,-0.21980012499999999,24,0.22106602159935457,-0.13135529611036773,-0.30824495388963224,Master destabilizer,no
NE_1,ASCL1,-0.09909843333333333,30,0.08447746293934151,-0.06886856145891311,-0.12932830520775357,Master destabilizer,no
NE_1,CREB1,0.00975953333333333,30,0.034087389512467994,0.021957549012796576,-0.002438482346129917,Not significant,no
NE_1,CUX1,-0.030167733333333332,30,0.041641345391274315,-0.015266569258832376,-0.04506889740783429,Master destabilizer,no
NE_1,CUX2,-0.03903993333333333,30,0.07120057429346718,-0.01356113504340177,-0.0645187316232649,Master destabilizer,no
NE_1,EGR1,-0.1335473666666667,30,0.16176200103887903,-0.07566157801477016,-0.19143315531856323,Master destabilizer,no
NE_1,EHF,-0.04562833333333333,30,0.038802168554163914,-0.031743155641807644,-0.05951351102485902,Master destabilizer,no
NE_1,ESR1,-0.03263919999999999,30,0.04966527429002529,-0.014866709845158886,-0.0504116901548411,Master destabilizer,no
NE_1,ETS1,-0.00020429999999999892,30,0.04714151036755698,0.016665072833807415,-0.01707367283380741,Not significant,no
NE_1,FOS,-0.06775486666666666,30,0.15057560549913085,-0.01387207824864304,-0.1216376550846903,Master destabilizer,no
NE_1,FOXO3,-0.03163203333333334,30,0.10770359751058918,0.0069092040555912,-0.07017327072225787,Not significant,no
NE_1,GRHL2,0.03808253333333334,30,0.05685777879316035,0.05842882816957316,0.017736238497093524,Not significant,no
NE_1,HSF2,-0.0141305,30,0.04819850951175952,0.0031171151198424243,-0.031378115119842426,Not significant,no
NE_1,JUN,-0.04267943333333333,30,0.05871682174152852,-0.0216678885217413,-0.06369097814492536,Master destabilizer,no
NE_1,JUNB,-0.1262999666666667,30,0.11078435879375607,-0.08665629301101052,-0.1659436403223229,Master destabilizer,no
NE_1,JUND,0.021350233333333336,30,0.1112314920870398,0.06115391158307234,-0.018453444916405666,Not significant,no
NE_1,KMT2A,0.0019357333333333336,30,0.0374568970168824,0.015339511787792377,-0.01146804512112571,Not significant,no
NE_1,LMX1B,-0.031122099999999993,30,0.03774224108649399,-0.017616212481604242,-0.044627987518395744,Master destabilizer,no
NE_1,MEIS2,-0.17120103333333336,30,0.1570082644744369,-0.11501634746397446,-0.22738571920269227,Master destabilizer,no
NE_1,NFATC2,-0.08011386666666666,30,0.08034743912994509,-0.05136190483182712,-0.1088658285015062,Master destabilizer,no
NE_1,NFIA,-0.0929539,30,0.10196063442780594,-0.056467755556950536,-0.12944004444304946,Master destabilizer,no
NE_1,NFIB,-0.024847500000000005,30,0.03347361741653082,-0.012869119844316608,-0.0368258801556834,Master destabilizer,no
NE_1,NFIX,-0.05485083333333334,30,0.043534164860195866,-0.03927233251082904,-0.07042933415583764,Master destabilizer,no
NE_1,NFKB1,0.0021686,30,0.03562089976559189,0.014915375275893506,-0.010578175275893506,Not significant,no
NE_1,NR3C2,-0.02167626666666667,30,0.03345715268295517,-0.009703778340225299,-0.03364875499310804,Master destabilizer,no
NE_1,PBX1,-0.0099351,30,0.05460092363962353,0.009603589591518734,-0.029473789591518737,Not significant,no
NE_1,PKNOX2,0.0377708,30,0.05607050816937915,0.05783537366162915,0.01770622633837085,Not significant,no
NE_1,PPARG,-0.004872633333333335,30,0.062288144537820105,0.01741689292795743,-0.027162159594624098,Not significant,no
NE_1,PRDM16,-0.06897803333333336,30,0.060277960408418346,-0.04740784222441858,-0.09054822444224814,Master destabilizer,no
NE_1,PROX1,-0.08055186666666667,30,0.07251449103109565,-0.05460288931062507,-0.10650084402270826,Master destabilizer,no
NE_1,RARB,-0.007821066666666663,30,0.05657580912730454,0.012424326620512493,-0.028066459953845817,Not significant,no
NE_1,REST,-0.05428140000000001,30,0.058302152317045726,-0.03341824273623663,-0.07514455726376339,Master destabilizer,no
NE_1,RORA,-0.1218655,30,0.10574496241844954,-0.08402515117737439,-0.15970584882262562,Master destabilizer,no
NE_1,RORB,-0.1389569,30,0.15210184613206626,-0.08452795338572111,-0.19338584661427888,Master destabilizer,no
NE_1,RUNX1,-0.023405133333333338,30,0.03948766216194739,-0.009274654904628693,-0.037535611762037985,Master destabilizer,no
NE_1,SIX1,-0.01917113333333333,30,0.02930950351081667,-0.00868286220152791,-0.029659404465138747,Master destabilizer,no
NE_1,SIX4,-0.04533133333333334,30,0.03408595201215176,-0.03313383205675185,-0.057528834609914835,Master destabilizer,no
NE_1,SMAD3,0.009796333333333336,30,0.05012330244461176,0.02773272675830423,-0.008140060091637558,Not significant,no
NE_1,SOX9,-0.038665866666666666,30,0.05633812952762334,-0.018505525931914246,-0.058826207401419084,Master destabilizer,no
NE_1,SP100,-0.020578733333333335,30,0.048010392519302225,-0.0033984350147005828,-0.03775903165196609,Master destabilizer,no
NE_1,STAT1,-0.0028843333333333303,30,0.08094644674075585,0.026081980622137645,-0.0318506472888043,Not significant,no
NE_1,TBX15,-0.0971684,30,0.08601902223490034,-0.06638688821630567,-0.12794991178369433,Master destabilizer,no
NE_1,TCF12,0.03976119999999999,30,0.05801585928502059,0.06052190861798819,0.019000491382011795,Not significant,no
NE_1,TCF4,-0.1364542,30,0.12593550183804406,-0.09138875943701237,-0.18151964056298764,Master destabilizer,no
NE_1,TCF7L2,-0.1607467333333333,30,0.15586474027113542,-0.10497125234475928,-0.21652221432190732,Master destabilizer,no
NE_1,TEAD1,0.006107000000000001,30,0.06870763423526455,0.030693711147066156,-0.018479711147066154,Not significant,no
NE_1,ZBTB18,-0.050520133333333314,30,0.06326810849226097,-0.027879931474628257,-0.07316033519203838,Master destabilizer,no
NE_1,ZBTB20,-0.025311633333333337,30,0.03849230682696115,-0.011537338236836009,-0.03908592842983066,Master destabilizer,no
NE_1,ZBTB7A,-0.021906466666666666,30,0.039672740639432484,-0.007709758755370853,-0.03610317457796248,Master destabilizer,no
NE_1,ZEB1,-0.11643910000000002,30,0.11463579827717356,-0.07541720642550707,-0.15746099357449295,Master destabilizer,no
NE_11,ASCL1,-0.09455107142857144,14,0.095097376824183,-0.04473601908458734,-0.14436612377255553,Master destabilizer,no
NE_11,CREB1,0.017713857142857146,14,0.061638532558603486,0.05000209503494982,-0.01457438074923553,Not significant,no
NE_11,CUX1,-0.008689285714285722,14,0.06395435061694525,0.02481205186202561,-0.04219062329059706,Not significant,no
NE_11,CUX2,-0.02103114285714286,14,0.05500562898587624,0.007782567664138235,-0.04984485337842395,Not significant,no
NE_11,EGR1,-0.11502957142857141,14,0.11878028563613659,-0.05280865278707173,-0.1772504900700711,Master destabilizer,no
NE_11,EHF,-0.02248714285714285,14,0.059194451059923804,0.008520806851872096,-0.053495092566157795,Not significant,no
NE_11,ESR1,0.025980142857142858,14,0.04785388037132837,0.05104753835394768,0.0009127473603380322,Not significant,no
NE_11,ETS1,0.06549114285714286,14,0.06030357492892765,0.09708008717858058,0.03390219853570514,Not significant,no
NE_11,FOS,-0.06616457142857142,14,0.09313242663228304,-0.01737882294061046,-0.11495031991653237,Master destabilizer,no
NE_11,FOXO3,0.007782000000000002,14,0.06904335642745964,0.04394912184182587,-0.028385121841825862,Not significant,no
NE_11,GRHL2,0.024598714285714286,14,0.06364056780246213,0.05793568237203413,-0.008738253800605555,Not significant,no
NE_11,HSF2,-0.13385992857142856,14,0.15802997448364722,-0.05107876558124751,-0.2166410915616096,Master destabilizer,no
NE_11,JUN,-0.09636492857142856,14,0.08597511891996543,-0.051328407141436626,-0.1414014500014205,Master destabilizer,no
NE_11,JUNB,-0.22437528571428575,14,0.2189134502549523,-0.10970140776480007,-0.3390491636637714,Master destabilizer,no
NE_11,JUND,-0.05326757142857142,14,0.12541933334815053,0.012431093080720483,-0.11896623593786332,Not significant,no
NE_11,KMT2A,0.06442678571428571,14,0.06658105109642229,0.09930407314585996,0.02954949828271148,Not significant,no
NE_11,LMX1B,0.04665735714285714,14,0.059688460471669244,0.07792408480691512,0.015390629478799149,Not significant,no
NE_11,MEIS2,-0.09356221428571428,14,0.14539509702461326,-0.017399604856114137,-0.16972482371531442,Master destabilizer,no
NE_11,NFATC2,-0.035207499999999996,14,0.09896410101861723,0.016633066344245245,-0.08704806634424524,Not significant,no
NE_11,NFIA,-0.2430715714285714,14,0.251416464666991,-0.11137157332367426,-0.3747715695334685,Master destabilizer,no
NE_11,NFIB,-0.006726857142857144,14,0.054313510509118965,0.021724299548872526,-0.03517801383458682,Not significant,no
NE_11,NFIX,-0.02235064285714286,14,0.05790537710465124,0.007982048619713994,-0.052683334333999715,Not significant,no
NE_11,NFKB1,0.005364357142857143,14,0.05815715198508677,0.035828936367480003,-0.025100222081765718,Not significant,no
NE_11,NR3C2,-0.005619571428571428,14,0.06121707386231178,0.026447892897333247,-0.0376870357544761,Not significant,no
NE_11,PBX1,-0.06522792857142858,14,0.07329489867594867,-0.02683371270530905,-0.10362214443754811,Master destabilizer,no
NE_11,PKNOX2,0.004567928571428571,14,0.06503629839081497,0.03863602505096835,-0.029500167908111212,Not significant,no
NE_11,PPARG,-0.005929928571428571,14,0.06671558304816082,0.029017831006082802,-0.040877688148939946,Not significant,no
