,FOXO3,FOS,NFIB,STAT1,NFATC2,TCF12,SOX9,LMX1B,PROX1,SP100,ZEB1,KMT2A,JUND,PKNOX2,SIX1,ZBTB18,REST,TCF7L2,CREB1,NCAM1,ETS1,RORA,TCF4,EHF,ASCL1,NFIX,TBX15,JUNB,NFIA,ZBTB7A,TEAD1,JUN,SIX4,PPARG,RUNX1,ZBTB20,RARB,PBX1,CUX2,GRHL2,CUX1,RORB,CD44,NR3C2,MEIS2,EPCAM,NFKB1,ESR1,SMAD3,PRDM16,ICAM1,EGR1,HSF2
ZBTB7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7303636384328371,,,,,,,,,,,,,,,,,,,,,,,
TEAD1,,18.817203413208595,,,,,,,,,,,21.304951963984482,,,,,11.229388266669874,30.1740080203538,,,,,,,,,12.941926805708631,,,28.68122573863438,,,,,,,13.256017362192829,,,,,,,,,,,,,,18.613580506695037,
JUN,29.233080007795422,,,,,,,,,,18.896563694110426,,,,,,,21.34164823593938,,,30.99814785412253,,,14.319103595081131,,,,,,,,,,,,,,,,,,,,,17.45252809401756,,,,19.646031914102252,,,12.594410373867856,
SIX4,,,,,15.065851495915753,,,,,,11.270863235070943,,,,,,,18.347411026798518,,,,,42.210139674816,,,,,,33.187065744465386,,,,,,,,,,,,,,,,11.53032334607051,,,,15.55619852438581,,,13.9815186156715,
PPARG,,11.734110116631227,,,,,,,,,19.16158514148591,,23.541174347212117,,,,,,,,,16.37899472679572,16.482234750422695,,,,,14.075001848542072,,,,13.689971712009553,,,,,,,,,,35.32711748894125,,,,,,,,,,,
RUNX1,,,,47.087050285548095,,,,,,,27.39293732454869,,,,,,,46.430247560064686,,,,25.483000917062217,28.393964230189532,,,,,,,19.19924623481788,,,,,,,,,,,,23.55449403905759,,,40.34335694200085,,,,,,,,21.75870522684969
ZBTB20,,15.421367173097986,,,,,,,,,16.170415037019986,,39.0454371459136,,,,,12.20231486086234,,,,,45.94337129916185,17.787540921320165,,,,16.02516391211878,,,,24.8522577306541,,,,,,,,,,,,,,,,,,,,,
RARB,,,,,,,,,,,10.796453039606938,,,,,12.058465857414598,,33.498051973795874,,,10.256591718998143,,,,,,,,,,15.999687649880975,,,,,,,,,,,,,,,,,,,37.47440665004756,,8.562147140640917,11.960559870215729
PBX1,,12.38229206268729,,,,,,,,,,,13.78601806755156,,,,,,,,,,,,,,,13.86999377065578,,,18.47752328810611,,,,,,,52.23382542834939,15.047548847664514,,10.750962024069414,,,,,,,,,14.028566535899028,,,
CUX2,,19.940584794911377,,,,,,,,,21.60986857470908,,21.34294103246682,,,19.44713627451892,,,,,,20.09955781867776,,,,,,,,12.687396453797348,,,,,,,,,,,,31.78178974303606,,,,,,,,,,25.448969602569402,
GRHL2,,18.4172149639526,,,,,,,,22.716435771081354,11.426827251287813,,,,,,,,,,,39.58650509636528,,,,,,12.424859549227977,,,,,,,,,,,,,,29.94921200400588,,,,,,,18.139820597776392,22.353154433974368,,,
CUX1,,,,,,,,,,,,,,,,,,30.856766175368183,,,,12.304944330645165,15.897490184329728,,,,12.64394542522814,13.551919119981799,,,,,,,,,,,,,,17.195430452877734,,,26.33943239567997,,,,,,,11.777906269631913,
RORB,13.902492456646526,15.975137692434458,,,,,,,,,,,16.833397304509138,,22.05572566290902,,,,,,,,,,,,,10.94927420124096,,,,,20.710458027348174,,,,,,,,,,,,29.042808438288574,,,,,,,27.32032829720883,
CD44,,,,,,,7.701508250830781,,,,,,,,,,,,11.086205982143051,,,,,,,,,,,,,10.941345659274562,,6.148443165289538,16.207366780018493,,,,,,,,,,,,,9.281411372294329,14.27002490349324,,,,
NR3C2,,,,,,,,,,,,,,,,,,,,,,0.6070243413477281,,,,,0.9083767686028282,,,,,,,,,,,,,,,1.5899262883324021,,,,,,,,,,,
MEIS2,23.70588181977183,,,21.897371823472373,,,,,,,30.592471223509712,,,,,19.00329974572166,49.2724215807001,29.348809730919477,,,,,33.76575106826704,31.51276125693686,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44067101769452,
EPCAM,,,,5.590296082441464,,,2.4899339307214357,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2347413752134235,3.101527399027373,,,,,,,,,,,,,4.216325442577944,,,,,
NFKB1,16.9767722423848,12.854859390796777,,,,,,,18.195942084278357,,,,13.772219859687725,12.060249913896403,,,,,,,,,,,,,,7.29080279553294,,,,,,,,,,,,,,,,,,,,9.01876016194604,,,,,
ESR1,19.084384031054427,14.99692670593927,,,,,,,,,,,19.603126967925025,,,,,,12.932958896636903,,,,,,,,,,33.741431961984034,,10.615435725397692,12.916120626011978,,,,,,,,,,,,,,,,,,,,18.771401519037806,
SMAD3,21.51384596353429,,,21.236698837496316,,,,,,,,,,,,,,,,,,16.4129001132356,,,,,18.971915949641854,,,,,14.357356335763846,,,,,,,25.45326956999823,,22.487247661759202,19.34050657079631,,,,,,,,,,,
PRDM16,,,,25.63726091528197,,,,,,,16.167606194294216,,,,,,,,,,,19.115827366445135,,13.862103978106346,,,,,29.37600571226907,,,18.18114410957134,,,,,,,,,,24.393112835527127,,,,,,,,,,17.55539043377818,
ICAM1,,,,,,,4.987503913378227,,,,,,,,,,,,,,,,2.0242733818984373,,,,,,,,,,,,6.5353076349131145,,,,,,,,,,,,1.926083711124518,,,,,1.7060354711353123,
EGR1,,11.682577780774931,,13.28837014165344,,,,,,,,,16.504026182009447,11.308276195077765,,,,,,,,18.71225744231601,,,,,,21.839063733513058,,,,,,,,,,,,,,32.40027213014142,,,31.430830478217093,,,,,,,,
HSF2,,14.633453149913562,,16.074472933881516,,,,,,,,,,,,,,,,,,20.44306207527334,,,,,,11.963875635493412,,,17.61051823956391,14.179390882051502,,,,,,,,,,30.726441502147843,,,,,,,,,,25.393769545189294,
