,ASCL1,BACH1,BACH2,CREB1,CUX2,EGR1,EHF,EPCAM,ESR1,ETS1,FOS,FOXO3,GRHL2,HES1,HSF2,ICAM1,JUN,JUNB,JUND,KMT2A,LMX1B,MEIS2,NCAM1,NFATC2,NFIA,NFIB,NFIX,NFKB1,NFYC,NR6A1,PBX1,PKNOX2,PROX1,RBPJ,REST,RORA,RORB,RUNX1,SIX1,SIX4,SMAD3,SOX11,SOX9,STAT1,STAT2,TBX15,TCF4,TCF7L1,TCF7L2,TEAD1,TFDP1,THRB,ZBTB20,ZEB1
PKNOX2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2993764846531463,-0.3482908745751369,,,,,,,,,0.14673273325764336,,,,0.1215858307380216,-0.1930764766144224,,,,,
PROX1,,,,,,,,,,,,,,,,,,,,,,,,0.46096354567156117,,,,,,,,,,0.4361744395348167,,,,,,,,,,,,,,,,,,,,
RBPJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8033016345108884,,,,,,,,,,,,,,,,,,,,
REST,-0.5691830247749123,,,,,,,,,,,,,0.2553995410811634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1856474456008499,,,,,,,,,,,
RORA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7826527103107254,,,,,,,,,,,,,,,,,,
RORB,0.34223145696795315,,,,,,,,,,,0.07005608345536662,0.16223696239393515,,,,,,,,0.3647043576543846,,,,0.02307679243559224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUNX1,,,,,,,,,,,-0.04357999846323046,,,,,,,,0.06539178191529171,,,,,,,-0.05139325350618107,,,,,0.053327536926713326,,,,,,,,,,,,,0.2224616245163148,,,,,0.3773178490790875,-0.0593538377191164,,,,
SIX1,,,,,,,-0.03883809626124962,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.23793804552571735,0.344155155107314,,-0.012788248752773235,,,,,,,,,0.37487706666471954,,,,,,,
SIX4,,,,,,,,,,,,,,,,,,,,,0.0809288219680876,,,,,,-0.13949747478655405,,0.18058659728519444,,,,,,-0.09825409843146399,,,0.02658268990997792,0.2114637474285166,,,,,,,,,0.09835567323480726,,0.16754922284191254,,,,
SMAD3,-0.3307512103397212,,,,,,0.2141328179343514,,,,,,,,,,,,,,,,,,,,,,,,0.20230409130123633,,,,0.25024099928478183,,,0.24076900361645914,,,,,,,,,,,,,,,,
SOX11,,0.1678106488313303,,0.3243811578397412,,,,,,,,,,,,,-0.20617036122018467,,,,,,,,,,,,,,,,,,,,,,,,-0.25566205462764213,,,,,,,,,,,,,
SOX9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7342138778379369,,,,,,,,,,,
STAT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7206131566008432,,,,,,,,,,
STAT2,,,,,,,,,,,,,,,,,,,,,,,,,0.08458593683539906,-0.0680029410162456,,,,,,,,,,,,0.11154263244037232,,,,,,,,,,0.30270362987345406,,0.09423623865196717,,,,
TBX15,,,,,,,,,0.04746642145526314,,,,0.17671982965035576,,,,,,,,,,,0.2279541548806776,0.0847652871782732,,-0.2857537918121212,,,,,,,,,,,,0.3218527353835089,,,,,,,,,,,,,,,
TCF4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7705261989728548,,,,,,,
TCF7L1,-0.05847991022624155,,,,,,0.1730931283199587,,,,,,,,,,,,,,,,,,0.2616082972623936,0.17220043018648595,,,,,,,,,0.17821599446369707,,,0.03442445874221384,,,,,,,,,,,,,,,,
TCF7L2,,,,,,-0.014875076424376965,,,,,,,,,,,,,,,,-0.223334038949729,,,0.2765054087553375,,,,,,,,-0.25096480001750754,,,,,,,,,,,,,,,,,,-0.17879894479776104,,,
TEAD1,,,,,,0.1462739476850659,0.06040639374369816,,,,,,,,,,,,,,,,,,,0.39660007624659355,,,,,0.08713758095373259,,,,,,,0.05373583715313007,,,,,,,,,0.37764444694693233,,,,,,,
TFDP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7552929518214624,,,
THRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5687441425422886,,,,,,,,,,,,,,,
ZBTB20,,,,0.26621936361436793,,,,,,0.15155062979220868,-0.06316624747433919,,,,,,-0.18638206356437842,,0.2545427008870286,,,,,,0.1520341319552705,,,,,,,,,,,,,,,,,,,,,0.21654881024465905,,,,,,,,
ZEB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7385456668338708
