,SIX4,JUNB,NR6A1,SIX1,TCF4,HSF2,PROX1,THRB,RBPJ,ASCL1,REST,SMAD3,RUNX1,SOX9,NFYC,BACH2,JUN,RORB,TCF7L2,MEIS2,FOXO3,LMX1B,NFIA,KMT2A,TFDP1,ZEB1,NFKB1,STAT2,RORA,EPCAM,ESR1,ETS1,NFATC2,EHF,TBX15,NCAM1,TEAD1,ICAM1,PBX1,STAT1,GRHL2,PKNOX2,TCF7L1,CREB1,NFIB,SOX11,JUND,CUX2,HES1,ZBTB20,BACH1,NFIX,EGR1,FOS
BACH2,,,,,,,,,,-2.004535765472735,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8428277552122754,,,,,,,,0.6333008550368278,,,,,,,,,
JUN,,7.98114673331463,,,-11.562061289089273,,,,,,,,-0.13946538523161361,,,,,,,,,,,,,,,,,,,,,3.188753897219813,,,,,,,,,,,,,,,,,,,-4.113988559061332,10.508812753796033
RORB,,,,,,,,,,5.475703311487249,,,,,,,,,,,1.1208973352858678,5.835269722470155,0.36922867896947553,,,,,,,,,,,,,,,,,,2.5957913983029623,,,,,,,,,,,,,
TCF7L2,,,,,,,-4.015436800280122,,,,,,,,,,,,,-3.5733446231956654,,,4.424086540085401,,-2.860783116764176,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.23800122279003202,
MEIS2,,,,,,,,,,1.3923831202374737,-2.6700877408849912,,-2.481594267609019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8615938462614383,
FOXO3,,,,,,,,,,,,,,3.0358187313900293,,,,,,-0.9539175017818338,,,,,,,,,3.1157001765921173,,,,,,,,,,,,,,,,,,,,,,,,,-1.8598499514117874
LMX1B,,,,,,,,,,1.2180904815337135,,,,,,,,,,3.693386978756729,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3845432659023772,,,,,,1.618321755220606,
NFIA,,,,,9.92401921720811,,,,,,,,10.648415572609181,,,,,,,-4.8437548690757435,,,,,,,,,,,,,,8.022990495105605,,,,,,14.299063605993426,,,,,13.417585183869233,,,,,,,5.4855548513699235,,
KMT2A,,,,,,,,,,,,,,,,,4.700628501127958,,,,,12.051953042276297,,,,,,,,,,,8.971827565782883,4.115987139711059,,,,,,-12.691556380391598,,,,,,,-13.315191731811053,,,,,,10.185568944169328,
TFDP1,,,,,,,,,,,,,,,,,,,,,,,,,0.7552929518214624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZEB1,,,,,,,,,,,,,,,,,,,,,,,,,,0.7385456668338708,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFKB1,,,,,,,,,,3.4814501233894886,,,0.8762581363822856,,,,,,,,,,,,,,,,,,,,,1.723458486783179,,,,,,,,,,,2.7621329569174655,,,,,,,,,
STAT2,,,,,,,,,,,,,1.784682119045958,,,,,,,,,,1.353374989366385,,,,,,,,,,,,,,1.5077798184314761,,,,,,4.843258077975266,,-1.08804705625993,,,,,,,,,
RORA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7826527103107254,,,,,,,,,,,,,,,,,,,,,,,,,
EPCAM,,,8.759121185839915,,11.727010979051204,,,,,,,,,,,,-5.219032046869431,,,,,,,,,,,,,,,,,,,,,,,2.7500841199442405,,,,,,,,,2.215841598317389,,,,,-6.178801039923018
ESR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.714142138429614,,,,,,,,,,,,,,,,,,,,,,,
ETS1,,,,,3.9629390387370838,,,,,,,,,,,1.6579149347960216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4289672217112588,,-1.8747862478041792
NFATC2,,,,,,,,,,1.0733951680934166,,,,,,,-0.24573451030034477,,,2.0384668309184133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EHF,,,,,,,,,,,,,1.0439519059900544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3426450640291846,,,,,,,,,
TBX15,,,,10.299287532272283,,,,,,,,,,,,,,,,,,,2.7124891897047445,,,,,,,,1.5189254865684199,,7.294532956181682,,,,,,,,5.655034548811384,,,,,,,,,,,-9.14412133798788,,
NCAM1,,,,,,,,,,,,,-5.676421981447525,,10.797522572517474,,,,,11.187472294785561,,,10.889502375593143,,18.59436155794351,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.382228238570423,4.577868297269813,
TEAD1,,,,,12.084622302301833,,,,,,,,1.7195467889001628,,,,,,,,,,,,,,,,,,,,,1.933004599798344,,,,,2.788402590519445,,,,,,12.691202439890995,,,,,,,,4.680766325922106,
ICAM1,,,,,,,,,,,,,10.973270034044022,,,,,,,-6.815203764060628,,,4.43654090181751,,,,,,-3.0721032496920198,,,,,,,,,,,2.6736106400066775,,,,,,,,,,,,,-0.29621183932059764,
PBX1,,,,,,,,,,1.3677679342797207,,,0.9196595531276684,,,,,,,,,,,,,,,,,,,,,1.9000958381963924,,,,,,,,,,,0.8058740657035887,,,,,,,,,
STAT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7206131566008432,,,,,,,,,,,,,,
GRHL2,,,,,2.6574362558444995,,,,,,,,0.650803917713413,,,,,,,,,,2.6604910464042173,,,,,,,,,,,,,,,,,,,,,,2.7812421135264955,,,,,,,,,
PKNOX2,,,,,,,,,4.790023754450341,,-5.572653993202192,,,,,,,,-3.0892236258307593,,,,,,,,,,,,,,,,,,,,,2.347723732122296,,,1.9453732918083453,,,,,,,,,,,
TCF7L1,,,,,,,,,,-1.8713571272397311,5.702911822838311,,1.1015826797508432,,,,,,,,,,8.371465512396597,,,,,,,,,,,5.538980106238676,,,,,,,,,,,5.5104137659675505,,,,,,,,,
CREB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8442301527613707,,,,,,,,,,
NFIB,,,,,24.898221579659943,16.835653203298495,,25.83455105849626,,22.491271912437426,,,,,,,,,,,,,,,,-6.869462079919646,,,,,,,,,,,,,,20.95777107127588,,15.471736692900471,17.49593857338264,,,,,,,,,,,
SOX11,,,,,,,,,,,,-2.045296437021137,,,,,-1.6493628897614765,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5950492627179296,,,,,,,1.3424851906506416,,,
JUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7274148537369313,,,,,,,
CUX2,,,,,,,,,,,,,-11.642442625520891,,,,,,,20.464123073057262,,,,,12.772075674605146,,,,4.625544736737162,,,,,-7.209644095009735,,,,,,,,,,,13.434110571656829,,4.636992048065233,,,,,,,
HES1,,,,,,,,,,-2.170364895695701,,,5.85686989458573,,,,,,,,,,,,,,,,1.1962597845944394,,,,,,,,,,,,,,,,2.5119092228328217,,3.7421072808178786,,,,,,,
ZBTB20,,,,,,,,,,,,,,,,,-11.928452068120228,,,,,,9.730184445137315,,,,,,,,,9.699240306701354,,,13.85912385565818,,,,,,,,,17.038039271319555,,,16.290732856769825,,,,,,,-4.042639838357705
BACH1,,,,,6.115663281073008,,,,,,,,0.8937268549057442,,,,,,,,,,,,,,,,,,,,,3.030529372132829,,,5.206231479252301,,,,,,,,,,1.888938478418642,,,,,,,
NFIX,,,,,,-3.3530138575537882,,,,,,,2.8083538311646032,,,,,,,,,,,,,,,,-2.593489977062258,,,,-5.955082441773168,,,,,,,2.222898722013233,,,,,,,,,,,,,,
EGR1,,,,,,,,,,,,,-8.679326483059263,,,,,,,21.442075168450195,,,,,9.887977626236072,,,,4.822105148810018,,,,,-0.10738640536249444,,,,,,,,,,,4.99003856656011,,6.347721125946191,,,,,,,
FOS,,,,,,,,,,4.078066979563505,4.003760648096127,,-8.849661221063393,,,,40.585377885597474,,,,,,,,-10.75980205291045,,,,-15.938762463231015,,,,,,,,-10.095859804054786,,,,,,,,,,,,,,,,18.142123912931005,
