,LCOR,SOX5,MEIS2,NFKB1,EPAS1,ESR1,FOXO3,NFIB,HSF2,TBX15,PROX1,STAT2,STAT4,TCF4,CREB1,GRHL2,SIX4,BACH2,GLIS3,ETS1,EGR1,NFIX,LMX1B,CUX1,JUNB,TEAD1,NFATC2,JUND,AHR,TCF7L2,EHF,NR3C2,BBX,FOSB,TCF12,RARB,ARID5B,ZBTB20,NFIA,RORA,NPAS2,ASCL1,STAT1,CUX2,PKNOX2,TCF7L1,SIX1,FOS,PPARG,PRDM16,ZBTB18,JUN,SOX9,REST,THRB,SP100,PBX1,RORB,ZEB1,ZBTB7A,BACH1,KMT2A,SMAD3,RUNX1,HIF1A,NFE2L2,SOX6,MECOM
CUX2,,,,,,,,,,,,,,,,,,,,,-4.91726188412599,,,,,,,2.7364503980470127,,,,,,,,,,,,8.847249238706484,,,,,,,,5.044352930208498,,,17.072922035624952,,,,,,,1.9385624741038083,-4.992468224762883,9.618488865840282,,,,,,,,
PKNOX2,,,,,,,,,17.188476774733637,,,,,5.204933670550989,,,,,,,4.930621990886665,,,,,,,,,-2.659134461723919,,,,,,,,,,,,,4.811735502836059,,,,,,,,14.96671838912893,,,20.710995408405957,,,,,0.2988059330274362,,,,,,,,,
TCF7L1,,,,,,,,,,,,,,,,,,,,,2.0426292502528005,,,,3.5928883401523812,,,5.262839227354102,,21.33872053214919,,,,,,,,,,,,,,,,,,1.3709972383008395,,34.98991434976894,-3.8325749992733824,-2.9667932414360116,,,,,,,,,,,,,,,,
SIX1,,,15.544615820920276,,,,,,,,,,,0.23852038008414,,,,,,,7.496501123910486,,,,,,7.3068703723577855,,,,,,,,,,,,-6.070499973902706,,,,,,,,,,,,10.084633427681004,,,,,,,,0.760232244888261,,,,12.893714433947679,,,,,
FOS,,,,,,,4.807429797496342,,13.244866059619504,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39187689533618,,,,,,,,,,,,,,7.113044615766116,14.641400226511594,,,,,2.730420790789349,,,-0.05182637965973591,9.388054207414127,,,,,,,,
PPARG,,,,,,,,,,,,,,7.636705538779633,,,,,,,,,,,9.026643149863299,,,0.061765868735934204,,,,,,,,,,,,-4.3174202118343175,,,,,,,,11.165046413266566,,,,-3.250016802518043,,,,,,-9.644107993686394,2.884956528795753,,,,,,,,,
PRDM16,,,,,,,,,,,,,,,,,,,,,-5.9347003618244285,,,,,,,,,,12.446584370096975,,,,,,,,39.61828887448397,2.158231485848755,,,7.521594005632925,,,,,,,,,8.060693036200547,,,,,,-34.965761154400234,-0.734117700528073,,,,,,,,,
ZBTB18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
JUN,,,-0.3494548256720127,,,,5.304608181538033,,,,,,,,,,,,,-0.9143812779962539,28.376975509062433,,,,,,,,,8.121146018656871,3.7856320683415685,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.6684821340953704,,,,-2.3783597838153097,,,,,
SOX9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
REST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
THRB,,,,3.3924117581148856,,22.092352555967317,5.308209168187476,,,,,,,,,,,,,,,,,5.690856494562695,,,,,,,,,,,,9.707585536895598,,,18.864719617274716,,,,,6.538115066779961,,,,,,,-0.7622421491035705,,,,,,,,,,,,,,,,,
SP100,,,,,,,,,,,,,,,,,,,,,-0.7923744145539084,,,5.336580295096655,,2.565465068421306,,,,,,,,,,,,,19.441120955803175,1.0957243663561034,,,,1.7037703467555723,,,,,,,,,42.660173462504375,,,,,-12.942548300298686,,,,,,,,,,
PBX1,,,,,,,,,,,,,,,,,,,,,,,,2.9723803700732896,4.171126827084833,1.8357723575725142,,2.2388885464774204,,,,,,,,,,,,,,,,-5.118624344910587,,,,1.338915268946231,,6.448362815332124,,,,,,,75.61209503880902,,,,,,,,,,,
RORB,,,29.441755753703287,,,,-0.6733681142649528,,,,,,,,,,6.2692943342689915,,,,6.914467455530737,,,,8.386477778434855,,,2.828391214517106,,,,,,,,,,,,,,,,,,,11.987007188531027,5.624475615824012,,,,,,,,,,,,,,,,,,,,
ZEB1,,,,,,,,,,,,,,,,,,,,,,0.6519338794610257,,,,,,,,,,,,,,,,,0.29652255606178035,0.10980682784022067,,,,,,,,,0.9213135057974668,,,,,,,,,1.6299017091057264,,,,,,,,,,
ZBTB7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
BACH1,,,,,,,,,,,,,,0.3031630529645135,,,,,,6.448214715980703,,,23.128387052371103,,,,,,,10.372130598884418,-3.4230800378255304,,,,,,,,,,,,,,,,,,,,,0.0067651874032761405,,24.803107269180487,,,,,0.895090967978472,,,,,,,,,
KMT2A,,,,,,-17.411389954206026,,,,,,,,,,,,,,,-3.5251245945471696,,,,2.69559828930474,,,0.2384236661003376,,,,,,,,,,,,,,,5.41168028223492,,,,,,-1.7931444741958389,,,,,,,,,,0.597325316012336,,,,-14.586480060178483,,,,,
SMAD3,,,,,,,10.406238920167132,,,-6.686250910073554,,,,,,,,,,,,,,12.93304513211032,,,,,,,,,,,,,,,,1.3346688173696974,,,9.021395532160135,-1.9184299293691787,,,,,,,,2.6942350361095757,,,,,,-9.931460954723065,,,,,,,,,,
RUNX1,,,-53.61583409431284,,,,,,-6.958591747003691,,,,,-9.625414379900374,,,,,,,,,,,,,,,,110.42272983316747,,,,,,,,,,-6.04476393600139,,,11.977680130642748,,,,,,,,,,,,,,,-25.767295143392698,8.571354460942676,-2.731719009752872,,,,,,,,
HIF1A,,,,,,0.9436426951610464,,,,,,,,,6.768007646618511,,,,,,,,,-13.935855641923323,,,,,,7.030727540140625,,,,,,,,,-15.876803777568803,,,,,2.8192865323186846,,,,7.415939889692287,,,,2.3249694059751715,,,,,,,,,,,,,,,,
NFE2L2,,,,,,31.50840628393862,8.788149623937912,,-2.622778980682449,,,,,,,,,,,,-1.0460326339375718,,,,7.042062250802701,,,,,,,,,,,,,,,,,,7.862057759174039,,,,,7.644551016040214,,,,,,,,,,,-0.15997232184762677,,,,,,,,,
SOX6,,,,,,,-0.6632651567983692,,,,,,,,,,,,,,-0.25263602240108685,,,,,,1.832752594054189,,,,,,,,,,,,,,,-1.64978187784163,,,,,,,,,,,,0.43741185124456183,,,,,,,,,,,,,,
MECOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8466679571141292,,,,
