,tf,target,key
5196,Mef2c,Clmn,Mef2c_Clmn
5197,Mef2c,Clspn,Mef2c_Clspn
5198,Mef2c,Cltc,Mef2c_Cltc
5204,Mef2c,Cmtr1,Mef2c_Cmtr1
5206,Mef2c,Cndp2,Mef2c_Cndp2
5208,Mef2c,Cnot6l,Mef2c_Cnot6l
5212,Mef2c,Col3a1,Mef2c_Col3a1
5213,Mef2c,Col5a2,Mef2c_Col5a2
5214,Mef2c,Col6a1,Mef2c_Col6a1
5215,Mef2c,Col7a1,Mef2c_Col7a1
5221,Mef2c,Cox19,Mef2c_Cox19
5222,Mef2c,Cp,Mef2c_Cp
5225,Mef2c,Cpe,Mef2c_Cpe
5227,Mef2c,Creb5,Mef2c_Creb5
5229,Mef2c,Creg2,Mef2c_Creg2
5231,Mef2c,Cryab,Mef2c_Cryab
5233,Mef2c,Csde1,Mef2c_Csde1
5234,Mef2c,Cse1l,Mef2c_Cse1l
5235,Mef2c,Cspg4,Mef2c_Cspg4
5236,Mef2c,Csrp3,Mef2c_Csrp3
5238,Mef2c,Ctbp2,Mef2c_Ctbp2
5239,Mef2c,Ctgf,Mef2c_Ctgf
5240,Mef2c,Ctps,Mef2c_Ctps
5242,Mef2c,Ctsz,Mef2c_Ctsz
5244,Mef2c,Cux1,Mef2c_Cux1
5245,Mef2c,Cwc22,Mef2c_Cwc22
5246,Mef2c,Cx3cl1,Mef2c_Cx3cl1
5247,Mef2c,Cxcl10,Mef2c_Cxcl10
5250,Mef2c,Cxcr6,Mef2c_Cxcr6
5253,Mef2c,Cyp11b1,Mef2c_Cyp11b1
5256,Mef2c,Cyr61,Mef2c_Cyr61
5258,Mef2c,Cyyr1,Mef2c_Cyyr1
5263,Mef2c,D630024D03Rik,Mef2c_D630024D03Rik
5264,Mef2c,D730003I15Rik,Mef2c_D730003I15Rik
5269,Mef2c,Dab2ip,Mef2c_Dab2ip
5273,Mef2c,Dcaf11,Mef2c_Dcaf11
5274,Mef2c,Dchs1,Mef2c_Dchs1
5275,Mef2c,Dclre1a,Mef2c_Dclre1a
5277,Mef2c,Dcps,Mef2c_Dcps
5279,Mef2c,Ddb1,Mef2c_Ddb1
5280,Mef2c,Ddi2,Mef2c_Ddi2
5282,Mef2c,Ddx19a,Mef2c_Ddx19a
5290,Mef2c,Dennd4b,Mef2c_Dennd4b
5294,Mef2c,Deptor,Mef2c_Deptor
5295,Mef2c,Det1,Mef2c_Det1
5296,Mef2c,Dgke,Mef2c_Dgke
5297,Mef2c,Dguok,Mef2c_Dguok
5298,Mef2c,Dhrs7,Mef2c_Dhrs7
5303,Mef2c,Dip2b,Mef2c_Dip2b
5306,Mef2c,Dlc1,Mef2c_Dlc1
5307,Mef2c,Dleu2,Mef2c_Dleu2
5308,Mef2c,Dlg5,Mef2c_Dlg5
5313,Mef2c,Dnajb5,Mef2c_Dnajb5
5315,Mef2c,Dnajc12,Mef2c_Dnajc12
5321,Mef2c,Dnmt3aos,Mef2c_Dnmt3aos
5322,Mef2c,Dnttip1,Mef2c_Dnttip1
5323,Mef2c,Dot1l,Mef2c_Dot1l
5329,Mef2c,Dstn,Mef2c_Dstn
5330,Mef2c,Dusp1,Mef2c_Dusp1
5332,Mef2c,Dusp27,Mef2c_Dusp27
5334,Mef2c,Dusp5,Mef2c_Dusp5
5335,Mef2c,Dusp6,Mef2c_Dusp6
5336,Mef2c,Dusp8,Mef2c_Dusp8
5337,Mef2c,Dync1li2,Mef2c_Dync1li2
5341,Mef2c,E030030I06Rik,Mef2c_E030030I06Rik
5343,Mef2c,E230016K23Rik,Mef2c_E230016K23Rik
5345,Mef2c,Eapp,Mef2c_Eapp
5347,Mef2c,Edc4,Mef2c_Edc4
5348,Mef2c,Edem1,Mef2c_Edem1
5350,Mef2c,Efcab2,Mef2c_Efcab2
5352,Mef2c,Efr3b,Mef2c_Efr3b
5354,Mef2c,Ehd3,Mef2c_Ehd3
5358,Mef2c,Eif2s1,Mef2c_Eif2s1
5364,Mef2c,Eif4h,Mef2c_Eif4h
5366,Mef2c,Elf3,Mef2c_Elf3
5367,Mef2c,Elmo1,Mef2c_Elmo1
5370,Mef2c,Emg1,Mef2c_Emg1
5371,Mef2c,Enah,Mef2c_Enah
5372,Mef2c,Enox2,Mef2c_Enox2
5374,Mef2c,Epc1,Mef2c_Epc1
5375,Mef2c,Ephx4,Mef2c_Ephx4
5377,Mef2c,Erbin,Mef2c_Erbin
5378,Mef2c,Ercc3,Mef2c_Ercc3
5381,Mef2c,Ero1l,Mef2c_Ero1l
5383,Mef2c,Erv3,Mef2c_Erv3
5384,Mef2c,Etaa1,Mef2c_Etaa1
5385,Mef2c,Ets2,Mef2c_Ets2
5393,Mef2c,Fadd,Mef2c_Fadd
5395,Mef2c,Fam107b,Mef2c_Fam107b
5398,Mef2c,Fam124a,Mef2c_Fam124a
5402,Mef2c,Fam13b,Mef2c_Fam13b
5404,Mef2c,Fam160a2,Mef2c_Fam160a2
5409,Mef2c,Fam214b,Mef2c_Fam214b
5411,Mef2c,Fam26e,Mef2c_Fam26e
5412,Mef2c,Fam49a,Mef2c_Fam49a
5416,Mef2c,Fam71f2,Mef2c_Fam71f2
5418,Mef2c,Fam83h,Mef2c_Fam83h
5420,Mef2c,Fbln2,Mef2c_Fbln2
5424,Mef2c,Fbxl4,Mef2c_Fbxl4
5426,Mef2c,Fbxw11,Mef2c_Fbxw11
5429,Mef2c,Fchsd2,Mef2c_Fchsd2
5435,Mef2c,Fhl2,Mef2c_Fhl2
5436,Mef2c,Fhl3,Mef2c_Fhl3
5443,Mef2c,Fli1,Mef2c_Fli1
5444,Mef2c,Flnc,Mef2c_Flnc
5447,Mef2c,Fn1,Mef2c_Fn1
5452,Mef2c,Folr2,Mef2c_Folr2
5453,Mef2c,Fos,Mef2c_Fos
5458,Mef2c,Fut9,Mef2c_Fut9
5461,Mef2c,G530011O06Rik,Mef2c_G530011O06Rik
5463,Mef2c,Gabarapl2,Mef2c_Gabarapl2
5466,Mef2c,Galnt9,Mef2c_Galnt9
5470,Mef2c,Gata2,Mef2c_Gata2
5471,Mef2c,Gata4,Mef2c_Gata4
5473,Mef2c,Gbp7,Mef2c_Gbp7
5475,Mef2c,Gck,Mef2c_Gck
5476,Mef2c,Gcnt1,Mef2c_Gcnt1
5477,Mef2c,Gdi2,Mef2c_Gdi2
5479,Mef2c,Gid4,Mef2c_Gid4
5480,Mef2c,Gipc2,Mef2c_Gipc2
5481,Mef2c,Git1,Mef2c_Git1
5485,Mef2c,Gjd4,Mef2c_Gjd4
5487,Mef2c,Glg1,Mef2c_Glg1
5492,Mef2c,Gm11665,Mef2c_Gm11665
5493,Mef2c,Gm11729,Mef2c_Gm11729
5494,Mef2c,Gm11733,Mef2c_Gm11733
5496,Mef2c,Gm12295,Mef2c_Gm12295
5499,Mef2c,Gm12409,Mef2c_Gm12409
5500,Mef2c,Gm12532,Mef2c_Gm12532
5501,Mef2c,Gm12610,Mef2c_Gm12610
5502,Mef2c,Gm128,Mef2c_Gm128
5505,Mef2c,Gm13375,Mef2c_Gm13375
5506,Mef2c,Gm13446,Mef2c_Gm13446
5507,Mef2c,Gm13497,Mef2c_Gm13497
5511,Mef2c,Gm16833,Mef2c_Gm16833
5512,Mef2c,Gm17644,Mef2c_Gm17644
5513,Mef2c,Gm17745,Mef2c_Gm17745
5514,Mef2c,Gm19299,Mef2c_Gm19299
5519,Mef2c,Gm19582,Mef2c_Gm19582
5520,Mef2c,Gm19619,Mef2c_Gm19619
5521,Mef2c,Gm19705,Mef2c_Gm19705
5524,Mef2c,Gm20554,Mef2c_Gm20554
5526,Mef2c,Gm20735,Mef2c_Gm20735
5529,Mef2c,Gm28178,Mef2c_Gm28178
5531,Mef2c,Gm29685,Mef2c_Gm29685
5534,Mef2c,Gm32200,Mef2c_Gm32200
5535,Mef2c,Gm3230,Mef2c_Gm3230
5541,Mef2c,Gm36229,Mef2c_Gm36229
5542,Mef2c,Gm38426,Mef2c_Gm38426
5545,Mef2c,Gm4432,Mef2c_Gm4432
5547,Mef2c,Gm4793,Mef2c_Gm4793
5548,Mef2c,Gm5086,Mef2c_Gm5086
5552,Mef2c,Gm5535,Mef2c_Gm5535
5553,Mef2c,Gm6093,Mef2c_Gm6093
5557,Mef2c,Gm6936,Mef2c_Gm6936
5559,Mef2c,Gm8580,Mef2c_Gm8580
5560,Mef2c,Gm8615,Mef2c_Gm8615
5563,Mef2c,Gm884,Mef2c_Gm884
5566,Mef2c,Gng5,Mef2c_Gng5
5567,Mef2c,Gnpda1,Mef2c_Gnpda1
5568,Mef2c,Gnptab,Mef2c_Gnptab
5569,Mef2c,Golga3,Mef2c_Golga3
5570,Mef2c,Golga4,Mef2c_Golga4
5571,Mef2c,Golim4,Mef2c_Golim4
5572,Mef2c,Gpam,Mef2c_Gpam
5573,Mef2c,Gpc6,Mef2c_Gpc6
5577,Mef2c,Gpr161,Mef2c_Gpr161
5578,Mef2c,Gpr183,Mef2c_Gpr183
5579,Mef2c,Gpr19,Mef2c_Gpr19
5581,Mef2c,Grhl1,Mef2c_Grhl1
5583,Mef2c,Grk1,Mef2c_Grk1
5584,Mef2c,Gsdme,Mef2c_Gsdme
5585,Mef2c,Gsg1,Mef2c_Gsg1
5594,Mef2c,Gucy1b1,Mef2c_Gucy1b1
5601,Mef2c,Haus6,Mef2c_Haus6
5603,Mef2c,Hdac5,Mef2c_Hdac5
5605,Mef2c,Hdac9,Mef2c_Hdac9
5606,Mef2c,Heatr5a,Mef2c_Heatr5a
5607,Mef2c,Heatr5b,Mef2c_Heatr5b
5608,Mef2c,Hectd2os,Mef2c_Hectd2os
5612,Mef2c,Hes7,Mef2c_Hes7
5614,Mef2c,Hexim2,Mef2c_Hexim2
5617,Mef2c,Hipk2,Mef2c_Hipk2
5619,Mef2c,Hist1h2ae,Mef2c_Hist1h2ae
5620,Mef2c,Hist1h2bb,Mef2c_Hist1h2bb
5628,Mef2c,Hmgcl,Mef2c_Hmgcl
5631,Mef2c,Hmox2,Mef2c_Hmox2
5634,Mef2c,Hnrnpu,Mef2c_Hnrnpu
5636,Mef2c,Hoxb3,Mef2c_Hoxb3
5643,Mef2c,Hspa1l,Mef2c_Hspa1l
5644,Mef2c,Hspa4,Mef2c_Hspa4
5645,Mef2c,Hspa8,Mef2c_Hspa8
5646,Mef2c,Hspb1,Mef2c_Hspb1
5647,Mef2c,Hspb7,Mef2c_Hspb7
5648,Mef2c,Hspb8,Mef2c_Hspb8
5650,Mef2c,Hus1b,Mef2c_Hus1b
5652,Mef2c,Id2,Mef2c_Id2
5653,Mef2c,Idh2,Mef2c_Idh2
5655,Mef2c,Ier2,Mef2c_Ier2
5656,Mef2c,Ier3ip1,Mef2c_Ier3ip1
5657,Mef2c,Ifi207,Mef2c_Ifi207
5660,Mef2c,Ifnab,Mef2c_Ifnab
5662,Mef2c,Ifnlr1,Mef2c_Ifnlr1
5663,Mef2c,Ift43,Mef2c_Ift43
5671,Mef2c,Il20,Mef2c_Il20
5672,Mef2c,Il23r,Mef2c_Il23r
5675,Mef2c,Il33,Mef2c_Il33
5678,Mef2c,Inhbe,Mef2c_Inhbe
5679,Mef2c,Insig2,Mef2c_Insig2
5682,Mef2c,Irak3,Mef2c_Irak3
5685,Mef2c,Ism1,Mef2c_Ism1
5686,Mef2c,Itga7,Mef2c_Itga7
5688,Mef2c,Itgav,Mef2c_Itgav
5690,Mef2c,Itgb1,Mef2c_Itgb1
5691,Mef2c,Itih3,Mef2c_Itih3
5696,Mef2c,Jph4,Mef2c_Jph4
5698,Mef2c,Jun,Mef2c_Jun
5699,Mef2c,Jup,Mef2c_Jup
5701,Mef2c,Kansl1,Mef2c_Kansl1
5703,Mef2c,Kat2b,Mef2c_Kat2b
5711,Mef2c,Kcnv2,Mef2c_Kcnv2
5713,Mef2c,Kdm3a,Mef2c_Kdm3a
5718,Mef2c,Kif3a,Mef2c_Kif3a
5720,Mef2c,Kif5b,Mef2c_Kif5b
5722,Mef2c,Klf11,Mef2c_Klf11
5723,Mef2c,Klf2,Mef2c_Klf2
5724,Mef2c,Klf6,Mef2c_Klf6
5725,Mef2c,Klf7,Mef2c_Klf7
5726,Mef2c,Klf9,Mef2c_Klf9
5727,Mef2c,Klhdc4,Mef2c_Klhdc4
5728,Mef2c,Klhl13,Mef2c_Klhl13
5729,Mef2c,Klhl24,Mef2c_Klhl24
5730,Mef2c,Klhl30,Mef2c_Klhl30
5733,Mef2c,Klhl40,Mef2c_Klhl40
5734,Mef2c,Klhl41,Mef2c_Klhl41
5736,Mef2c,Kpna1,Mef2c_Kpna1
5737,Mef2c,Kpna3,Mef2c_Kpna3
5739,Mef2c,Krt13,Mef2c_Krt13
5741,Mef2c,Krt33a,Mef2c_Krt33a
5743,Mef2c,Krt42,Mef2c_Krt42
5744,Mef2c,Krt88,Mef2c_Krt88
5745,Mef2c,Krtap1-4,Mef2c_Krtap1-4
5746,Mef2c,Krtap3-2,Mef2c_Krtap3-2
5750,Mef2c,LOC102632231,Mef2c_LOC102632231
5754,Mef2c,Lama4,Mef2c_Lama4
